"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Russell Westbrook","LAL",46,1606,3354,851,274,583,0.4699828473413379,48,159,0.3018867924528302,0.3018867924528302,159,120,428,87,57,0.21897810218978103,0.22388059701492538,0.6041666666666666,0.21428571428571427,0.5160211590296496,0.46630727762803237,0.5,12,49,0.08404802744425385,0,0,27.646590607588223
"Miles Bridges","CHA",44,1586,3304,884,248,427,0.5807962529274004,87,268,0.3246268656716418,0.3283018867924528,127,280,216,213,48,0.5645161290322581,0.5932203389830508,0.8160919540229885,0.3856115107913669,0.5443317655571634,0.5446043165467626,0.5765706806282722,24,33,0.07728337236533958,2,0.007462686567164179,22.770142818647265
"Jayson Tatum","BOS",43,1583,3155,1085,265,550,0.4818181818181818,109,350,0.31142857142857144,0.3132183908045977,228,200,330,183,144,0.37735849056603776,0.3952569169960474,0.5596330275229358,0.3888888888888889,0.5065977703455965,0.4761111111111111,0.5291501976284585,24,49,0.0890909090909091,3,0.008571428571428572,32.15896279594138
"Julius Randle","NYK",44,1558,3101,826,224,485,0.4618556701030928,74,240,0.30833333333333335,0.30833333333333335,156,158,290,183,39,0.35267857142857145,0.4030612244897959,0.8243243243243243,0.3310344827586207,0.5137393793103449,0.46206896551724136,0.5055282555282555,56,42,0.0865979381443299,0,0,27.21357850070721
"Domantas Sabonis","IND",44,1534,3086,834,276,434,0.6359447004608295,34,105,0.3238095238095238,0.3238095238095238,180,348,204,102,0,0.6304347826086957,0.7310924369747899,1,0.19480519480519481,0.5437646567717996,0.6066790352504638,0.6455108359133127,76,35,0.08064516129032258,2,0.01904761904761905,22.03872437357631
"Mikal Bridges","PHX",45,1532,3135,551,157,265,0.5924528301886792,63,166,0.3795180722891566,0.3795180722891566,48,248,66,183,6,0.7898089171974523,0.8322147651006712,0.9682539682539683,0.3851508120649652,0.540577030162413,0.5835266821345708,0.608167770419426,16,11,0.04150943396226415,2,0.012048192771084338,14.040114613180517
"Fred VanVleet","TOR",40,1525,3034,872,140,306,0.45751633986928103,156,392,0.3979591836734694,0.40102827763496146,124,60,220,285,183,0.21428571428571427,0.2158273381294964,0.6089743589743589,0.5616045845272206,0.4925354768786127,0.5358166189111748,0.5710491367861886,2,26,0.08496732026143791,4,0.01020408163265306,24.20814479638009
"Franz Wagner","ORL",47,1517,3089,720,217,440,0.49318181818181817,56,164,0.34146341463414637,0.34146341463414637,118,204,230,144,24,0.4700460829493088,0.4857142857142857,0.8571428571428571,0.271523178807947,0.5148017384105961,0.49834437086092714,0.5397301349325337,14,59,0.1340909090909091,0,0,21.271113655883195
"Saddiq Bey","DET",45,1510,3097,683,128,293,0.43686006825938567,108,325,0.3323076923076923,0.3375,103,104,152,282,42,0.40625,0.45614035087719296,0.8703703703703703,0.5258899676375405,0.5183297872340425,0.4692556634304207,0.5067064083457526,28,30,0.10238907849829351,2,0.006153846153846154,20.871298405466973
"Tyrese Haliburton","SAC",44,1501,3070,615,137,276,0.4963768115942029,93,213,0.43661971830985913,0.44285714285714284,62,66,208,162,117,0.24087591240875914,0.25384615384615383,0.5806451612903226,0.43558282208588955,0.49700723140495867,0.565439672801636,0.5880077369439072,14,23,0.08333333333333333,0,0,17.738678973175656
