"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Russell Westbrook","LAL",46,1606,237,0,102,18,1,0,24,0.12454655380894801,0.15292353823088456,0.00625
"Miles Bridges","CHA",44,1586,165,4,80,21,0,0,10,0.10610079575596817,0.1646090534979424,0
"Jayson Tatum","BOS",43,1583,271,18,102,23,7,0,26,0.1105476673427992,0.16216216216216217,0.0196078431372549
"Julius Randle","NYK",44,1558,206,4,89,24,0,0,24,0.11265822784810127,0.1618181818181818,0
"Domantas Sabonis","IND",44,1534,242,0,107,28,0,0,28,0.17313915857605178,0.20857699805068225,0
"Mikal Bridges","PHX",45,1532,56,0,30,12,0,0,4,0.066815144766147,0.10600706713780919,0
"Fred VanVleet","TOR",40,1525,143,17,41,11,7,0,18,0.0653061224489796,0.12202380952380952,0.017543859649122806
"Franz Wagner","ORL",47,1517,140,1,61,12,2,0,12,0.09618320610687023,0.12474437627811862,0.012048192771084338
"Saddiq Bey","DET",45,1510,123,5,47,10,3,0,13,0.07598784194528875,0.14242424242424243,0.009146341463414634
"Tyrese Haliburton","SAC",44,1501,77,8,32,9,2,1,4,0.06627680311890838,0.10702341137123746,0.009345794392523364
"Gordon Hayward","CHA",45,1490,149,2,67,17,0,0,15,0.10501567398119123,0.1561771561771562,0
"James Harden","BKN",40,1480,328,10,115,28,30,9,22,0.19410977242302543,0.2595936794582393,0.09868421052631579
"De'Aaron Fox","SAC",43,1468,254,0,126,33,1,0,15,0.15264423076923078,0.18694362017804153,0.006329113924050633
"Chris Paul","PHX",45,1460,129,8,22,6,3,1,38,0.04826254826254826,0.057441253263707574,0.022222222222222223
"Stephen Curry","GSW",42,1459,205,27,47,9,21,2,16,0.07538802660753881,0.13505747126436782,0.03790613718411552
"Harrison Barnes","SAC",43,1444,221,3,99,26,0,0,23,0.17870036101083034,0.2903225806451613,0
"Dorian Finney-Smith","DAL",45,1443,53,0,22,1,0,0,5,0.05405405405405406,0.125,0
"Shai Gilgeous-Alexander","OKC",41,1431,277,17,109,19,1,0,29,0.12925969447708577,0.1766612641815235,0.004273504273504274
"Kyle Kuzma","WAS",43,1431,129,0,55,15,0,0,17,0.09136212624584718,0.14986376021798364,0
"Trae Young","ATL",41,1426,294,18,70,14,12,2,59,0.09050772626931568,0.11925042589437819,0.03761755485893417
"Darius Garland","CLE",41,1425,104,21,30,10,3,1,14,0.048600883652430045,0.07556675062972293,0.010638297872340425
"DeMar DeRozan","CHI",41,1425,319,15,148,33,3,2,15,0.16796440489432704,0.1798298906439854,0.039473684210526314
"Dejounte Murray","SAS",41,1407,101,0,48,14,3,2,6,0.06510416666666667,0.08094435075885328,0.011428571428571429
"Jalen Brunson","DAL",45,1402,119,8,37,13,2,0,23,0.065,0.07956989247311828,0.014814814814814815
"Buddy Hield","SAC",48,1395,90,17,20,4,5,1,11,0.03785488958990536,0.10362694300518134,0.009070294784580499
"Seth Curry","PHI",40,1392,73,19,14,6,6,3,10,0.04158004158004158,0.05384615384615385,0.027149321266968326
"Bojan Bogdanovic","UTA",45,1384,169,11,59,11,1,1,25,0.09389671361502347,0.16905444126074498,0.0034482758620689655
"Anthony Edwards","MIN",39,1370,133,3,59,14,0,0,13,0.07793923381770146,0.14182692307692307,0
"Patty Mills","BKN",44,1362,35,2,9,4,4,2,6,0.026970954356846474,0.06040268456375839,0.012012012012012012
"Royce O'Neale","UTA",43,1360,38,0,13,4,0,0,8,0.05394190871369295,0.1511627906976744,0
"Reggie Jackson","LAC",43,1358,90,4,29,5,0,0,17,0.040502793296089384,0.07397959183673469,0
"Christian Wood","HOU",44,1357,204,0,83,19,2,0,25,0.1297709923664122,0.18778280542986425,0.009389671361502348
"Luguentz Dort","OKC",42,1353,137,3,58,12,2,0,12,0.09584664536741214,0.1864951768488746,0.006349206349206349
"Terance Mann","LAC",46,1351,86,1,37,5,0,0,7,0.09046454767726161,0.13261648745519714,0
"Desmond Bane","MEM",45,1346,70,12,22,8,2,0,7,0.036418816388467376,0.06376811594202898,0.006369426751592357
"Donovan Mitchell","UTA",40,1340,169,2,70,25,8,0,14,0.08863636363636364,0.1417004048582996,0.02072538860103627
"Evan Mobley","CLE",39,1337,125,0,63,15,0,0,7,0.12092130518234165,0.1351931330472103,0
"Tyrese Maxey","PHI",38,1336,119,2,57,18,1,1,10,0.10583941605839416,0.13734939759036144,0.007518796992481203
"Kyle Lowry","MIA",39,1333,111,1,37,9,3,1,19,0.08849557522123894,0.18316831683168316,0.012
"Bradley Beal","WAS",37,1333,183,13,74,14,5,0,11,0.09962168978562422,0.1260647359454855,0.024271844660194174
"Jonas Valanciunas","NOP",42,1329,166,0,75,12,0,0,14,0.11961722488038277,0.1431297709923664,0
"Rudy Gobert","UTA",41,1328,282,1,114,19,0,0,35,0.2714285714285714,0.2720763723150358,0
"Andrew Wiggins","GSW",42,1322,149,0,79,22,1,1,6,0.12345679012345678,0.1867612293144208,0.0044444444444444444
"Devonte' Graham","NOP",42,1314,83,14,19,4,3,0,12,0.040515653775322284,0.10326086956521739,0.008356545961002786
"Kevin Durant","BKN",36,1313,255,10,80,16,9,2,39,0.1113892365456821,0.13071895424836602,0.0481283422459893
"Karl-Anthony Towns","MIN",38,1313,223,6,107,39,0,0,20,0.15198863636363635,0.21485943775100402,0
"Aaron Gordon","DEN",41,1311,127,0,58,18,1,0,13,0.12447257383966245,0.17008797653958943,0.007518796992481203
"Jarrett Allen","CLE",40,1309,171,0,83,25,0,0,15,0.18820861678004536,0.19168591224018475,0
"Jaren Jackson Jr.","MEM",47,1294,202,0,85,18,6,1,16,0.12834978843441466,0.19187358916478556,0.022556390977443608
"Marcus Smart","BOS",38,1294,99,0,37,12,3,1,14,0.09615384615384616,0.15879828326180256,0.01639344262295082
"Zach LaVine","CHI",38,1292,172,11,66,22,3,1,20,0.09286675639300135,0.14072494669509594,0.010948905109489052
"Nikola Jokic","DEN",39,1291,207,10,92,37,3,1,21,0.12734584450402145,0.15807560137457044,0.018292682926829267
"John Collins","ATL",40,1288,146,0,58,14,1,0,21,0.11238095238095239,0.14646464646464646,0.007751937984496124
"Keldon Johnson","SAS",42,1287,115,0,53,8,1,0,7,0.09712230215827339,0.13554987212276215,0.006060606060606061
"Will Barton","DEN",39,1279,66,3,29,5,1,1,5,0.05474452554744526,0.09698996655518395,0.004016064257028112
"Kentavious Caldwell-Pope","WAS",43,1278,57,7,17,3,3,3,8,0.045146726862302484,0.0821256038647343,0.012711864406779662
"Scottie Barnes","TOR",36,1277,107,0,52,13,0,0,8,0.10655737704918032,0.12967581047381546,0
"Evan Fournier","NYK",44,1277,64,7,24,8,3,0,4,0.05009276437847866,0.1038961038961039,0.00974025974025974
"Giannis Antetokounmpo","MIL",39,1276,420,1,202,49,0,0,31,0.2292849035187287,0.27595628415300544,0
"Pat Connaughton","MIL",46,1270,37,2,8,3,4,0,5,0.032,0.07692307692307693,0.014760147601476014
"Dennis Schroder","BOS",40,1268,133,0,52,13,0,0,20,0.09302325581395349,0.13367609254498714,0
"Josh Giddey","OKC",41,1263,51,0,25,5,0,0,3,0.04940711462450593,0.07309941520467836,0
"Devin Booker","PHX",38,1261,187,9,72,21,0,0,26,0.08955223880597014,0.1316270566727605,0
"RJ Barrett","NYK",39,1259,162,0,77,17,2,0,8,0.12519809825673534,0.1855421686746988,0.009259259259259259
"Tobias Harris","PHI",36,1258,135,5,59,14,2,0,10,0.1035653650254669,0.1299559471365639,0.014814814814814815
"Tyler Herro","MIA",38,1250,121,5,39,5,4,2,18,0.059154929577464786,0.08647450110864745,0.011583011583011582
"Derrick White","SAS",41,1245,140,7,64,16,1,0,8,0.12104283054003724,0.19875776397515527,0.004651162790697674
"LeBron James","LAL",34,1245,198,6,93,34,0,0,18,0.12093628088426528,0.18562874251497005,0
"LaMelo Ball","CHA",39,1239,111,7,40,12,3,0,13,0.0637037037037037,0.10282776349614396,0.01048951048951049
"Brandon Ingram","NOP",36,1238,198,14,80,22,5,2,18,0.11618257261410789,0.14466546112115733,0.023529411764705882
"Alec Burks","NYK",45,1237,146,2,59,13,7,2,9,0.14473684210526316,0.24583333333333332,0.032407407407407406
"Myles Turner","IND",42,1235,105,0,52,15,0,0,8,0.12064965197215777,0.21052631578947367,0
"Monte Morris","DEN",41,1230,35,2,13,4,3,1,2,0.034858387799564274,0.04744525547445255,0.016216216216216217
"Nikola Vucevic","CHI",37,1227,52,2,22,4,0,0,5,0.03678929765886288,0.05314009661835749,0
"Herbert Jones","NOP",42,1225,74,0,36,8,0,0,5,0.11145510835913312,0.1422924901185771,0
"Jae'Sean Tate","HOU",45,1224,117,0,52,16,1,1,14,0.11064718162839249,0.14444444444444443,0.008403361344537815
"Robert Covington","POR",42,1223,26,0,7,1,1,0,5,0.026936026936026935,0.07216494845360824,0.005
"Eric Bledsoe","LAC",47,1218,97,0,50,19,0,0,8,0.11312217194570136,0.16666666666666666,0
"Lonzo Ball","CHI",35,1212,28,0,12,4,2,2,3,0.03580562659846547,0.0916030534351145,0.007692307692307693
"Malik Beasley","MIN",45,1212,29,10,5,1,0,0,5,0.00929368029739777,0.033783783783783786,0
"Terry Rozier","CHA",37,1210,88,5,26,11,8,3,10,0.056572379367720464,0.087248322147651,0.026402640264026403
"Tim Hardaway Jr.","DAL",40,1209,96,2,34,8,6,1,9,0.072992700729927,0.13765182186234817,0.019933554817275746
"Josh Hart","NOP",36,1195,128,0,61,10,2,1,6,0.16237113402061856,0.21942446043165467,0.01818181818181818
"Gary Harris","ORL",40,1189,62,4,24,7,3,0,3,0.0661764705882353,0.11374407582938388,0.015228426395939087
"Khris Middleton","MIL",37,1182,176,10,49,12,16,5,21,0.10509031198686371,0.13279132791327913,0.0625
"Eric Gordon","HOU",40,1181,107,7,41,9,3,1,9,0.09843400447427293,0.1729957805907173,0.014285714285714285
"Duncan Robinson","MIA",43,1180,36,5,7,1,6,2,2,0.026905829596412557,0.09090909090909091,0.013550135501355014
"Justin Holiday","IND",41,1178,36,1,9,2,3,0,5,0.030612244897959183,0.0891089108910891,0.010309278350515464
"Jordan Clarkson","UTA",45,1175,89,5,30,15,7,1,10,0.05727554179566564,0.10526315789473684,0.019390581717451522
"Jrue Holiday","MIL",36,1174,89,2,36,5,0,0,9,0.06405693950177936,0.09090909090909091,0
"Kelly Oubre Jr.","CHA",42,1174,99,0,45,12,4,2,6,0.08263069139966273,0.16853932584269662,0.012269938650306749
"Jordan Poole","GSW",40,1170,125,8,45,14,6,2,13,0.09090909090909091,0.16791044776119404,0.020477815699658702
"Mike Conley","UTA",41,1168,91,0,29,5,0,0,19,0.06263498920086392,0.1288888888888889,0
"Carmelo Anthony","LAL",43,1155,101,4,32,4,9,4,9,0.08196721311475409,0.14096916299559473,0.03065134099616858
"Grayson Allen","MIL",41,1152,49,5,20,5,2,0,2,0.05339805825242718,0.14705882352941177,0.007246376811594203
"Gary Trent Jr.","TOR",34,1151,61,4,19,4,1,0,10,0.039603960396039604,0.07450980392156863,0.004
