"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Bradley Beal","WAS",82,3028,448,31,171,37,15,4,38,0.10604332953249715,0.14908456843940715,0.02471169686985173
"James Harden","HOU",78,2867,858,41,263,56,95,20,51,0.16339570972158832,0.2417279411764706,0.08612873980054397
"Kemba Walker","CHA",82,2863,450,18,152,34,34,6,37,0.10163934426229508,0.1419234360410831,0.04479578392621871
"Tobias Harris","PHI",82,2848,307,9,128,34,4,0,32,0.09763313609467456,0.13403141361256546,0.010075566750629723
"Paul George","OKC",77,2841,540,42,189,52,19,4,62,0.11778029445073612,0.19014084507042253,0.02461139896373057
"Damian Lillard","POR",80,2838,513,41,133,32,29,3,79,0.09759036144578313,0.13420787083753785,0.043348281016442454
"PJ Tucker","HOU",82,2802,59,0,12,1,0,0,18,0.02247191011235955,0.08163265306122448,0
"Kevin Durant","GSW",78,2702,506,12,201,44,10,2,56,0.13630490956072353,0.17447916666666666,0.025252525252525252
"Ben Simmons","PHI",79,2700,428,0,183,46,0,0,55,0.16681859617137648,0.1677360219981668,0
"DeMar DeRozan","SAS",77,2688,441,17,212,62,0,0,31,0.14490772385509226,0.14950634696755993,0
"LaMarcus Aldridge","SAS",81,2687,412,10,182,49,1,0,43,0.1259463179628355,0.12907801418439716,0.023255813953488372
"Steven Adams","OKC",80,2669,292,0,110,20,0,0,46,0.12235817575083426,0.12263099219620958,0
"Klay Thompson","GSW",78,2652,158,9,63,6,7,4,8,0.047879616963064295,0.07325581395348837,0.011627906976744186
"Andre Drummond","DET",79,2647,412,0,193,37,0,0,32,0.1597682119205298,0.16495726495726495,0
"Aaron Gordon","ORL",78,2633,253,0,125,37,4,1,15,0.11345646437994723,0.1588310038119441,0.011428571428571429
"Russell Westbrook","OKC",73,2630,451,7,201,44,4,1,38,0.12553582363747703,0.16488925348646433,0.00966183574879227
"Blake Griffin","DET",75,2622,550,0,214,55,5,1,82,0.1456117021276596,0.21881390593047034,0.009505703422053232
"Buddy Hield","SAC",82,2615,193,27,56,15,12,3,20,0.04822695035460993,0.07466666666666667,0.01818181818181818
"Jerami Grant","OKC",80,2612,221,1,115,34,0,0,12,0.12721238938053098,0.18821603927986907,0
"Justin Holiday","MEM",82,2607,106,11,31,7,6,3,15,0.046019900497512436,0.09226190476190477,0.01282051282051282
"Collin Sexton","CLE",82,2605,255,3,92,17,1,0,41,0.07254290171606864,0.09340101522842639,0.003367003367003367
"Donovan Mitchell","UTA",77,2598,396,11,140,29,10,1,53,0.09090909090909091,0.12477718360071301,0.01893939393939394
"Rudy Gobert","UTA",81,2577,522,0,230,50,0,0,56,0.257847533632287,0.257847533632287,0
"Bojan Bogdanovic","IND",81,2573,305,29,117,25,3,0,30,0.10471204188481675,0.154557463672391,0.007712082262210797
"Joe Ingles","UTA",82,2568,123,2,27,8,5,1,31,0.03878787878787879,0.07988165680473373,0.01026694045174538
"Evan Fournier","ORL",81,2553,170,9,70,29,1,1,25,0.06396396396396396,0.10606060606060606,0.0022222222222222222
"Pascal Siakam","TOR",80,2548,302,0,150,48,0,0,25,0.14326647564469913,0.18007202881152462,0
"De'Aaron Fox","SAC",81,2546,417,0,194,53,2,0,38,0.157429718875502,0.19188921859545005,0.008547008547008548
