"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Joe Johnson","PHX",82,3334,232,3,100,21,1,0,23,0.0736688548504741,0.09107468123861566,0.003663003663003663
"Peja Stojakovic","SAC",81,3269,425,50,129,30,8,2,63,0.09188464118041582,0.1385606874328679,0.014285714285714285
"Stephon Marbury","NYK",81,3255,436,10,176,38,4,0,50,0.11780104712041885,0.1408,0.014388489208633094
"Cuttino Mobley","HOU",80,3236,217,12,82,12,1,0,25,0.0720486111111111,0.1121751025991792,0.0023752969121140144
"Kevin Garnett","MIN",82,3235,465,0,207,42,0,0,47,0.11655405405405406,0.11944604731679169,0
"Shawn Marion","PHX",79,3210,268,35,105,23,0,0,23,0.07378777231201687,0.09067357512953368,0
"Steve Francis","HOU",79,3197,435,3,166,28,2,0,61,0.13365155131264916,0.16517412935323383,0.007936507936507936
"Richard Jefferson","NJN",82,3136,468,0,211,41,1,1,43,0.1649805447470817,0.18300086730268864,0.007575757575757576
"LeBron James","CLE",79,3127,460,17,189,47,3,0,51,0.11728772144166158,0.1333803810868031,0.013636363636363636
"Damon Stoudamire","POR",82,3123,145,34,31,5,2,0,24,0.03154875717017208,0.050243111831442464,0.004662004662004662
"Jim Jackson","HOU",80,3120,127,44,23,3,1,0,18,0.026058631921824105,0.04466019417475728,0.0024630541871921183
"Latrell Sprewell","MIN",82,3101,295,0,122,26,3,0,34,0.09157509157509157,0.1147695202257761,0.009933774834437087
"Paul Pierce","BOS",80,3100,631,38,226,49,8,0,83,0.13912009512485138,0.17519379844961241,0.02040816326530612
"Zach Randolph","POR",81,3072,393,1,188,46,0,0,31,0.12450331125827814,0.12491694352159469,0
"Ben Wallace","DET",81,3060,290,1,115,23,0,0,42,0.13690476190476192,0.13822115384615385,0
"Michael Redd","MIL",82,3020,441,37,153,36,3,1,63,0.10012836970474968,0.12824811399832356,0.00821917808219178
"Jason Terry","ATL",81,3013,260,30,81,20,1,0,43,0.06518282988871224,0.09688995215311005,0.002369668246445498
"Lamar Odom","MIA",80,3002,458,0,198,49,1,0,55,0.1558339859044636,0.18487394957983194,0.0048543689320388345
"Eddie Jones","MIA",81,3001,333,61,104,25,1,0,43,0.08495145631067962,0.13756613756613756,0.0020833333333333333
"Carmelo Anthony","DEN",82,2991,525,1,220,40,1,0,61,0.13426488456865127,0.15373864430468204,0.004651162790697674
"Mike Bibby","SAC",82,2983,373,6,108,20,4,1,82,0.08881839809674862,0.12272727272727273,0.010498687664041995
"Donyell Marshall","TOR",82,2982,182,3,79,22,3,0,17,0.07592592592592592,0.10505319148936171,0.009146341463414634
"Eric Snow","PHI",82,2976,316,14,115,20,0,0,46,0.1419753086419753,0.1452020202020202,0
"Stephen Jackson","ATL",80,2943,297,2,125,24,0,0,34,0.09177679882525698,0.13368983957219252,0
"Jason Richardson","GSW",78,2941,377,5,156,40,4,0,42,0.11396011396011396,0.13842058562555457,0.01444043321299639
"Rashard Lewis","SEA",80,2934,270,3,102,31,2,0,44,0.07987711213517665,0.11159737417943107,0.005154639175257732
"Dirk Nowitzki","DAL",77,2920,423,12,175,31,6,2,39,0.12414266117969822,0.15034364261168384,0.02040816326530612
