"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Andrew Wiggins","MIN",82,3048,542,4,255,53,3,1,37,0.14543404735062007,0.17194875252865813,0.010309278350515464
"Karl-Anthony Towns","MIN",82,3030,428,4,204,56,1,0,35,0.12584407612031923,0.15077605321507762,0.0036231884057971015
"James Harden","HOU",81,2947,881,38,190,27,124,2,61,0.17271727172717272,0.20212765957446807,0.14123006833712984
"Giannis Antetokounmpo","MIL",80,2845,612,1,283,62,1,0,52,0.19176232275489535,0.21769230769230768,0.0055248618784530384
"John Wall","WAS",78,2836,527,12,209,55,4,0,71,0.1337099811676083,0.15869400151860288,0.014492753623188406
"Jimmy Butler","CHI",76,2809,676,28,292,52,9,2,47,0.20066666666666666,0.23453815261044178,0.03529411764705882
"Harrison Barnes","DAL",79,2804,281,7,123,30,1,0,28,0.09024745269286755,0.10686359687228497,0.004484304932735426
"Russell Westbrook","OKC",81,2802,840,37,323,63,27,1,71,0.1571621014818141,0.1996291718170581,0.04433497536945813
"CJ McCollum","POR",80,2796,294,12,116,27,4,0,33,0.07822685788787484,0.10632447296058661,0.009029345372460496
"LeBron James","CLE",74,2795,531,7,258,77,5,1,36,0.17200784826684107,0.2180896027049873,0.014450867052023121
"Trevor Ariza","HOU",80,2773,126,1,46,9,6,1,13,0.06190476190476191,0.16428571428571428,0.010714285714285714
"Rudy Gobert","UTA",81,2744,476,0,207,50,0,0,57,0.2647058823529412,0.26504481434058896,0
"Kemba Walker","CHA",79,2739,359,5,119,30,28,6,37,0.09417040358744394,0.12700106723585913,0.04487179487179487
"Devin Booker","PHX",78,2731,441,10,192,54,5,0,44,0.12515883100381195,0.16494845360824742,0.012195121951219513
"Anthony Davis","NOP",75,2708,647,30,283,73,1,0,63,0.16350028785261947,0.1766541822721598,0.007407407407407408
"Damian Lillard","POR",75,2693,545,30,181,43,30,4,58,0.12772397094430993,0.1728748806112703,0.049586776859504134
"Paul George","IND",75,2689,374,22,128,32,15,3,46,0.09828178694158075,0.1350210970464135,0.029585798816568046
"Bradley Beal","WAS",77,2684,342,34,119,34,5,1,46,0.08788093550673282,0.1391812865497076,0.008992805755395683
"Jeff Teague","IND",82,2657,415,2,134,23,28,3,45,0.15502392344497606,0.17447916666666666,0.10108303249097472
"Gorgui Dieng","MIN",82,2653,167,0,71,17,0,0,21,0.0993006993006993,0.1056547619047619,0
"Klay Thompson","GSW",78,2649,218,8,88,16,4,1,21,0.06340454858718125,0.10986267166042447,0.006153846153846154
"Stephen Curry","GSW",79,2639,362,30,115,32,23,5,39,0.08937823834196891,0.1560379918588874,0.028500619578686492
"DeMar DeRozan","TOR",74,2620,647,25,279,46,7,1,46,0.16031390134529147,0.1686819830713422,0.05384615384615385
"Nicolas Batum","CHA",77,2617,284,29,84,24,26,3,20,0.10406811731315042,0.13354531001589826,0.06074766355140187
"Otto Porter Jr.","WAS",80,2605,119,0,49,21,4,1,16,0.06354916067146282,0.1,0.011627906976744186
"DeAndre Jordan","LAC",81,2571,425,0,138,34,1,0,90,0.20381231671554254,0.203240058910162,0.3333333333333333
"Isaiah Thomas","BOS",76,2570,649,33,221,39,26,3,72,0.1471990464839094,0.21902874132804756,0.03886397608370702
"Tobias Harris","DET",82,2566,226,10,105,27,1,0,15,0.09281961471103327,0.12696493349455865,0.0031746031746031746
"Marcus Morris","DET",79,2565,185,0,74,15,2,0,23,0.07116104868913857,0.10437235543018336,0.005571030640668524
"Marcin Gortat","WAS",82,2556,158,0,76,14,0,0,10,0.10326086956521739,0.10354223433242507,0
"Myles Turner","IND",81,2541,303,0,148,39,1,0,22,0.1520408163265306,0.17149478563151796,0.008547008547008548
"Carmelo Anthony","NYK",74,2538,365,17,145,29,11,2,29,0.10303830911492734,0.13376383763837638,0.02558139534883721
"Marc Gasol","MEM",74,2531,332,17,135,34,3,1,36,0.10926365795724466,0.13595166163141995,0.011111111111111112
"Kentavious Caldwell-Pope","DET",76,2529,185,14,47,11,24,2,10,0.0720081135902637,0.08918406072106262,0.05228758169934641
"Kyrie Irving","CLE",72,2525,328,38,113,39,17,0,26,0.08603573792190602,0.10731244064577398,0.03711790393013101
"Gordon Hayward","UTA",73,2516,429,29,164,43,10,2,46,0.13540856031128404,0.18161683277962348,0.02617801047120419
"Hassan Whiteside","MIA",77,2514,358,0,169,51,0,0,36,0.15490375802016498,0.15490375802016498,0
