"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Antoine Walker","BOS",81,3407,324,3,142,30,0,0,33,0.07884508606329817,0.12283737024221453,0
"Tim Duncan","SAS",82,3332,701,5,315,70,0,0,69,0.18010291595197256,0.18113858539390454,0
"Latrell Sprewell","NYK",81,3328,346,27,137,31,1,1,36,0.09049180327868853,0.12210338680926916,0.0024813895781637717
"Baron Davis","CHH",82,3320,338,1,144,40,4,1,39,0.10220994475138122,0.14891416752843847,0.008316008316008316
"Paul Pierce","BOS",82,3299,643,30,262,55,6,1,64,0.14806629834254142,0.20389105058365758,0.011428571428571429
"Gary Payton","SEA",82,3297,335,22,122,34,1,0,51,0.07378524295140972,0.08531468531468532,0.004219409282700422
"Stephon Marbury","PHX",82,3187,452,7,194,43,2,0,47,0.1251596424010217,0.1474164133738602,0.008
"Kevin Garnett","MIN",81,3172,448,0,179,33,1,0,60,0.11627906976744186,0.12508735150244585,0.008547008547008548
"Jalen Rose","CHI",83,3156,335,20,120,29,0,0,52,0.0774693350548741,0.0920951650038373,0
"Eddie Jones","MIA",81,3155,355,59,112,24,1,0,46,0.08780108780108781,0.12389380530973451,0.0026109660574412533
"Anthony Mason","MIL",82,3140,221,0,94,24,0,0,30,0.13505747126436782,0.13525179856115108,0
"Wally Szczerbiak","MIN",82,3121,272,7,96,25,3,0,45,0.07770800627943485,0.08888888888888889,0.015463917525773196
"Cuttino Mobley","HOU",74,3116,314,46,102,23,1,0,43,0.07162726008344923,0.09622641509433963,0.0026455026455026454
"Shawn Marion","PHX",81,3108,226,24,94,20,0,0,17,0.06398910823689585,0.06978470675575353,0
"Shane Battier","MEM",78,3098,283,7,103,17,3,0,39,0.10095238095238095,0.13359273670557717,0.010752688172043012
"Kobe Bryant","LAL",80,3065,589,45,218,47,1,1,76,0.12386877828054299,0.1332518337408313,0.007575757575757576
"Jason Kidd","NJN",82,3056,247,33,70,15,1,0,42,0.059463986599664995,0.08443908323281062,0.0027397260273972603
"Brent Barry","SEA",81,3038,234,38,81,18,0,0,26,0.09495896834701055,0.17381974248927037,0
"Karl Malone","UTA",80,3038,639,16,249,42,1,0,81,0.1555693839452396,0.15749525616698293,0.038461538461538464
"Antawn Jamison","GSW",82,3033,440,11,165,44,2,0,71,0.11148197596795728,0.12830482115085537,0.009433962264150943
"Jeff McInnis","LAC",81,3032,219,35,59,11,1,0,36,0.05128205128205128,0.06310160427807486,0.00425531914893617
"Andre Miller","CLE",81,3019,447,15,166,20,1,0,58,0.1401006711409396,0.1503623188405797,0.011363636363636364
"Elton Brand","LAC",80,3016,524,0,245,73,0,0,54,0.20727580372250423,0.20727580372250423,0
"Pau Gasol","MEM",82,3002,477,0,196,54,0,0,70,0.1625207296849088,0.16319733555370525,0
"Shareef Abdur-Rahim","ATL",77,2978,523,2,226,48,1,0,57,0.1537940379403794,0.1608540925266904,0.014084507042253521
"Antonio Davis","TOR",77,2977,358,11,142,25,0,0,44,0.13148148148148148,0.13160333642261354,0
"Jason Terry","ATL",78,2968,340,46,111,14,4,2,39,0.08725341426403642,0.12729357798165136,0.008968609865470852
"Rasheed Wallace","POR",79,2966,274,2,128,33,1,1,24,0.09334298118668596,0.12018779342723004,0.0031545741324921135
"Alvin Williams","TOR",82,2933,140,7,43,11,0,0,29,0.04287138584247258,0.05308641975308642,0
"Ben Wallace","DET",80,2919,234,0,94,21,0,0,34,0.16998191681735986,0.1709090909090909,0
"Allan Houston","NYK",77,2915,339,51,103,23,7,1,43,0.07930785868781542,0.09951690821256039,0.019886363636363636
"Tracy McGrady","ORL",76,2909,555,0,262,58,5,0,37,0.14874651810584957,0.1738553417385534,0.017361111111111112
"Dikembe Mutombo","PHI",80,2906,364,0,145,26,0,0,50,0.19078947368421054,0.19078947368421054,0
"Dirk Nowitzki","DAL",76,2891,516,9,216,45,9,4,51,0.15690376569037656,0.20018535681186284,0.02535211267605634
"Reggie Miller","IND",79,2891,325,46,80,13,5,1,60,0.08638211382113821,0.148975791433892,0.011185682326621925
"Clifford Robinson","DET",80,2855,206,0,84,20,0,0,29,0.07413945278022947,0.10132689987937274,0
"Steve Nash","DAL",82,2838,293,66,66,15,1,0,54,0.058771929824561406,0.0829145728643216,0.0029069767441860465
"Doug Christie","SAC",81,2796,242,53,67,16,0,0,35,0.08524173027989822,0.12641509433962264,0
"Damon Stoudamire","POR",75,2793,196,41,42,14,1,0,41,0.0454065469904963,0.06451612903225806,0.0033783783783783786
"Wesley Person","CLE",78,2793,124,47,24,8,2,1,17,0.027055150884495317,0.03761755485893417,0.006191950464396285
"Kurt Thomas","NYK",82,2770,265,0,118,23,0,0,28,0.11423039690222653,0.11489776046738072,0
"Michael Finley","DAL",69,2755,251,11,108,21,1,0,21,0.08282674772036475,0.09899175068744272,0.0044444444444444444
"Darrell Armstrong","ORL",82,2733,205,57,37,6,4,1,35,0.047619047619047616,0.08043478260869565,0.00997506234413965
"Jermaine O'Neal","IND",72,2708,413,0,185,35,0,0,39,0.1441932969602494,0.1457840819542947,0
"Jerry Stackhouse","DET",76,2686,577,47,188,32,3,0,89,0.12922868741542626,0.16,0.009900990099009901
"Mike Bibby","SAC",80,2657,193,3,74,16,0,0,29,0.07094918504314478,0.08176795580110498,0
"Peja Stojakovic","SAC",71,2648,323,20,100,22,0,0,62,0.08278145695364239,0.111358574610245,0
"Juwan Howard","DEN",81,2634,343,0,147,21,0,0,35,0.129973474801061,0.13020372010628875,0
"Jason Richardson","GSW",80,2628,210,0,83,20,0,0,32,0.07198612315698179,0.09151047409040794,0
"Allen Iverson","PHI",60,2624,585,51,210,38,1,0,74,0.11454940282301845,0.13350286077558804,0.0037174721189591076
"Sam Cassell","MIL",74,2607,328,10,103,16,1,1,64,0.08099688473520249,0.09537037037037037,0.004901960784313725
"Kerry Kittles","NJN",82,2599,172,1,77,20,2,0,16,0.07907907907907907,0.10198675496688742,0.00819672131147541
"Rashard Lewis","SEA",71,2584,200,2,91,26,0,0,21,0.08775313404050145,0.1262135922330097,0
