"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Russell Westbrook","LAL",40,1427,2988,771,251,513,0.48927875243664715,42,140,0.3,0.3,143,112,390,75,51,0.22310756972111553,0.22764227642276422,0.5952380952380952,0.21439509954058192,0.5220938744257274,0.48085758039816234,0.5105960264900662,10,43,0.08382066276803118,0,0,28.071748878923763
"Miles Bridges","CHA",38,1358,2837,744,207,357,0.5798319327731093,73,227,0.32158590308370044,0.32589285714285715,111,236,178,183,36,0.5700483091787439,0.5959595959595959,0.8356164383561644,0.3886986301369863,0.5435035344827587,0.5419520547945206,0.5744186046511628,18,28,0.0784313725490196,2,0.00881057268722467,22.396486825595986
"Domantas Sabonis","IND",39,1351,2715,753,249,383,0.6501305483028721,31,97,0.31958762886597936,0.31958762886597936,162,310,188,93,0,0.6224899598393574,0.7209302325581395,1,0.20208333333333334,0.5473494791666667,0.615625,0.6536458333333334,68,29,0.07571801566579635,2,0.020618556701030927,22.485399091499026
"Julius Randle","NYK",38,1350,2689,740,200,425,0.47058823529411764,68,215,0.31627906976744186,0.31627906976744186,136,140,260,171,33,0.35,0.40229885057471265,0.8382352941176471,0.3359375,0.513962734375,0.471875,0.5139470013947002,52,38,0.08941176470588236,0,0,27.79050736497545
"Mikal Bridges","PHX",39,1325,2724,483,135,228,0.5921052631578947,58,143,0.40559440559440557,0.40559440559440557,39,214,56,168,6,0.7925925925925926,0.8359375,0.9655172413793104,0.38544474393531,0.5444877358490566,0.5983827493261455,0.6208226221079691,14,8,0.03508771929824561,2,0.013986013986013986,13.879709187045604
"Tyrese Haliburton","SAC",39,1322,2706,530,119,248,0.4798387096774194,81,182,0.44505494505494503,0.45,49,58,180,150,93,0.24369747899159663,0.2543859649122807,0.6172839506172839,0.4232558139534884,0.4962607728337236,0.5593023255813954,0.5798226164079823,10,21,0.0846774193548387,0,0,17.539267015706805
"Jayson Tatum","BOS",36,1317,2635,919,217,458,0.4737991266375546,102,305,0.3344262295081967,0.33663366336633666,179,166,268,168,138,0.3824884792626728,0.4029126213592233,0.5490196078431373,0.399737876802097,0.5073285526315789,0.4849279161205767,0.5322769953051644,22,41,0.08951965065502183,2,0.006557377049180328,32.02834964562943
"Gordon Hayward","CHA",39,1292,2714,664,169,336,0.5029761904761905,68,179,0.37988826815642457,0.37988826815642457,122,184,154,177,27,0.5443786982248521,0.5609756097560976,0.8676470588235294,0.34757281553398056,0.5179893203883496,0.5262135922330097,0.5735294117647058,10,23,0.06845238095238096,1,0.00558659217877095,21.13368283093054
"Franz Wagner","ORL",40,1288,2617,627,182,376,0.48404255319148937,53,144,0.3680555555555556,0.3680555555555556,104,164,200,135,24,0.45054945054945056,0.4659090909090909,0.8490566037735849,0.27692307692307694,0.5179502884615385,0.5028846153846154,0.5452173913043479,12,48,0.1276595744680851,0,0,21.476736345246124
"Saddiq Bey","DET",38,1279,2623,564,109,258,0.42248062015503873,86,266,0.3233082706766917,0.3282442748091603,88,86,132,219,39,0.3944954128440367,0.44329896907216493,0.8488372093023255,0.5076335877862596,0.5199113680154143,0.4541984732824427,0.4921052631578947,24,27,0.10465116279069768,2,0.007518796992481203,20.966118752096612
"Marcus Smart","BOS",37,1271,2573,429,96,201,0.47761194029850745,53,177,0.2994350282485876,0.3028571428571429,78,74,118,150,9,0.3854166666666667,0.3978494623655914,0.9433962264150944,0.46825396825396826,0.5042878989361702,0.4642857142857143,0.5119331742243437,6,16,0.07960199004975124,0,0,16.966136834830685
"De'Aaron Fox","SAC",37,1267,2634,781,254,498,0.5100401606425703,35,141,0.24822695035460993,0.24822695035460993,168,102,406,63,42,0.20078740157480315,0.2015810276679842,0.6,0.22065727699530516,0.49054835680751174,0.47965571205007823,0.5312925170068027,2,30,0.060240963855421686,0,0,28.187016481668348
"Chris Paul","PHX",39,1257,2574,545,166,316,0.5253164556962026,38,116,0.3275862068965517,0.33043478260869563,99,34,298,42,72,0.10240963855421686,0.10365853658536585,0.3684210526315789,0.26851851851851855,0.4582538372093023,0.5162037037037037,0.5588842975206612,4,9,0.028481012658227847,0,0,20.232640112795206
"Fred VanVleet","TOR",33,1237,2478,717,127,260,0.48846153846153845,122,301,0.4053156146179402,0.4080267558528428,97,56,198,231,135,0.2204724409448819,0.2222222222222222,0.6311475409836066,0.5365418894830659,0.4948818671454219,0.5525846702317291,0.5872093023255814,2,22,0.08461538461538462,3,0.009966777408637873,24.050191704426627
"Kyle Lowry","MIA",36,1235,2480,494,91,162,0.5617283950617284,75,231,0.3246753246753247,0.32751091703056767,87,52,130,150,75,0.2857142857142857,0.2988505747126437,0.6666666666666666,0.5877862595419847,0.5104450127877238,0.5178117048346056,0.5627853881278538,8,9,0.05555555555555555,1,0.004329004329004329,19.66512290701817
"Kyle Kuzma","WAS",37,1225,2468,553,140,260,0.5384615384615384,68,213,0.3192488262910798,0.3192488262910798,69,148,132,192,12,0.5285714285714286,0.5736434108527132,0.9411764705882353,0.4503171247357294,0.5060137420718817,0.5116279069767442,0.534816247582205,22,20,0.07692307692307693,1,0.004694835680751174,21.700879765395893
"Dorian Finney-Smith","DAL",38,1223,2384,399,73,131,0.5572519083969466,74,194,0.38144329896907214,0.38341968911917096,31,114,32,219,3,0.7808219178082192,0.8507462686567164,0.9864864864864865,0.5969230769230769,0.5772941358024691,0.5661538461538461,0.5732758620689655,12,12,0.0916030534351145,3,0.015463917525773196,14.275092936802976
"Seth Curry","PHI",35,1217,2406,572,138,230,0.6,78,190,0.4105263157894737,0.4105263157894737,62,136,140,183,51,0.4927536231884058,0.49635036496350365,0.782051282051282,0.4523809523809524,0.48795988095238096,0.6071428571428571,0.634090909090909,2,7,0.030434782608695653,2,0.010526315789473684,19.069239500567537
"Stephen Curry","GSW",35,1215,2532,938,122,256,0.4765625,180,462,0.38961038961038963,0.39215686274509803,154,96,148,321,219,0.39344262295081966,0.4,0.5944444444444444,0.6434540389972145,0.5173893661971831,0.5459610027855153,0.5905006418485238,4,19,0.07421875,5,0.010822510822510822,31.588193956430075
"James Harden","BKN",33,1209,2476,737,135,277,0.48736462093862815,78,237,0.3291139240506329,0.3291139240506329,233,46,224,60,174,0.17037037037037037,0.18699186991869918,0.2564102564102564,0.46108949416342415,0.5285134241245135,0.490272373540856,0.5877616747181964,24,43,0.1552346570397112,3,0.012658227848101266,28.2703488372093
