"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Allen Iverson","DEN",82,3424,797,25,314,68,12,0,89,0.17971334068357223,0.20563195808775375,0.041811846689895474
"Joe Johnson","ATL",82,3343,379,40,134,31,0,0,51,0.08375,0.11591695501730104,0
"Andre Iguodala","PHI",82,3242,506,24,205,43,4,1,53,0.1449375866851595,0.18109540636042404,0.012903225806451613
"Richard Jefferson","NJN",82,3200,679,28,284,41,2,0,59,0.18181818181818182,0.20913107511045656,0.009302325581395349
"Baron Davis","GSW",82,3196,424,13,178,42,2,0,46,0.10817307692307693,0.1565523306948109,0.003795066413662239
"Kobe Bryant","LAL",82,3192,742,22,296,62,16,2,73,0.1609907120743034,0.19615639496355203,0.037296037296037296
"Jamal Crawford","NYK",80,3190,381,40,129,33,14,1,38,0.09533333333333334,0.1299093655589124,0.027613412228796843
"Jason Richardson","CHA",82,3149,331,0,144,32,5,2,32,0.09412507896399241,0.14678899082568808,0.008305647840531562
"Dwight Howard","ORL",82,3088,897,0,387,84,0,0,104,0.303054032889585,0.3040062843676355,0
"Rashard Lewis","ORL",81,3076,260,26,88,28,10,3,31,0.08153078202995008,0.13707165109034267,0.017857142857142856
"Monta Ellis","GSW",81,3071,417,5,195,40,0,0,31,0.1410998552821997,0.14661654135338345,0
"Antawn Jamison","WAS",79,3061,438,2,187,45,13,3,38,0.12746972594008923,0.15518672199170125,0.03571428571428571
"Deron Williams","UTA",82,3059,411,11,172,46,2,1,49,0.13987138263665594,0.1665053242981607,0.009478672985781991
"LeBron James","CLE",75,3027,771,19,342,87,4,1,74,0.18210526315789474,0.2223667100130039,0.011049723756906077
"Hedo Turkoglu","ORL",82,3026,391,3,176,39,1,0,36,0.13043478260869565,0.18703506907545164,0.002403846153846154
"Andre Miller","PHI",82,3016,333,0,136,31,0,0,46,0.10785091197462332,0.11083944580277098,0
"Chris Paul","NOH",80,3006,390,13,118,32,1,0,85,0.08635703918722787,0.10460992907801418,0.004
"Rudy Gay","MEM",81,3000,316,10,132,27,1,0,33,0.09103353867214237,0.12301957129543337,0.002577319587628866
"Raymond Felton","CHA",79,2972,325,20,109,26,1,0,55,0.10175763182238667,0.12386363636363637,0.004975124378109453
"Ricky Davis","MIA",82,2963,197,10,75,14,1,0,24,0.07357212003872217,0.1072961373390558,0.0029940119760479044
"Vince Carter","NJN",76,2959,429,14,162,31,2,0,58,0.11549295774647887,0.14148471615720523,0.007272727272727273
"Mike Dunleavy","IND",82,2953,403,12,156,32,8,1,45,0.13141025641025642,0.18309859154929578,0.020202020202020204
"Lamar Odom","LAL",77,2921,328,0,152,32,0,0,28,0.16612021857923498,0.18952618453865336,0
"Al Jefferson","MIN",82,2919,394,0,211,62,0,0,17,0.13270440251572327,0.1331230283911672,0
"Shane Battier","HOU",80,2907,101,8,32,8,1,0,17,0.05124223602484472,0.11678832116788321,0.002702702702702703
"Jason Kidd","DAL",80,2906,165,10,53,9,2,0,26,0.06555423122765197,0.10095238095238095,0.006369426751592357
"Danny Granger","IND",80,2876,378,12,156,37,7,1,36,0.12255639097744361,0.17314095449500555,0.016317016317016316
"Paul Pierce","BOS",80,2874,485,13,202,44,3,1,53,0.16295707472178061,0.22671156004489337,0.008174386920980926
"Josh Smith","ATL",81,2873,469,0,232,65,2,0,32,0.17972350230414746,0.19317235636969193,0.019801980198019802
"David West","NOH",76,2870,353,3,162,35,0,0,31,0.11312849162011174,0.11513859275053305,0
"Stephen Jackson","GSW",73,2855,370,48,127,27,3,1,44,0.0995405819295559,0.1581569115815691,0.005964214711729622
"Carlos Boozer","UTA",81,2827,393,1,202,56,0,0,22,0.13998613998613998,0.14008321775312066,0
"Carmelo Anthony","DEN",77,2807,590,56,223,41,2,2,64,0.13529765484064943,0.14876584389593062,0.012195121951219513
"Brandon Roy","POR",74,2792,373,0,157,41,2,1,48,0.12354312354312354,0.1465919701213819,0.009259259259259259
"Tyson Chandler","NOH",79,2783,295,0,137,38,0,0,30,0.19460227272727273,0.19487908961593173,0
"Steve Nash","PHX",81,2780,245,57,39,9,2,0,58,0.04124748490945674,0.06382978723404255,0.005221932114882507
"Dirk Nowitzki","DAL",77,2769,544,34,197,44,3,0,76,0.1360544217687075,0.15797914995990378,0.013452914798206279
"Kevin Durant","SEA",80,2768,448,31,186,37,2,0,38,0.12392880685563612,0.14198473282442747,0.00966183574879227
"Marvin Williams","ATL",80,2765,409,14,166,23,0,0,43,0.15645617342130066,0.15794481446241673,0
"Marcus Camby","DEN",79,2758,202,0,74,12,0,0,33,0.10616929698708752,0.10930576070901034,0
"Josh Howard","DAL",76,2757,384,1,181,44,3,2,30,0.1328519855595668,0.15417376490630325,0.014218009478672985
"Samuel Dalembert","PHI",82,2724,263,0,120,22,0,0,23,0.15810276679841898,0.158311345646438,0
"Andrew Bogut","MIL",78,2720,322,0,146,29,0,0,30,0.14216163583252192,0.14313725490196078,0
"Emeka Okafor","CHA",82,2718,374,0,188,44,0,0,21,0.18725099601593626,0.18725099601593626,0
"Peja Stojakovic","NOH",77,2711,140,18,43,10,5,1,17,0.045155221072436504,0.08037383177570094,0.00946969696969697
"Michael Redd","MIL",72,2702,490,32,178,49,7,1,66,0.13425253991291727,0.175715695952616,0.019178082191780823
"Cuttino Mobley","LAC",77,2702,199,4,77,13,0,0,27,0.08244111349036402,0.10377358490566038,0
"Tayshaun Prince","DET",82,2694,241,3,102,23,1,0,27,0.10098039215686275,0.11683848797250859,0.006802721088435374
"Amar'e Stoudemire","PHX",79,2677,691,0,367,110,1,0,32,0.25051055139550715,0.255393180236604,0.03125
"Tim Duncan","SAS",78,2651,463,0,226,48,0,0,30,0.16666666666666666,0.16715976331360946,0
"LaMarcus Aldridge","POR",76,2649,298,1,144,29,0,0,19,0.11294117647058824,0.11356466876971609,0
"Raja Bell","PHX",75,2646,91,6,21,3,2,0,20,0.029754204398447608,0.06325301204819277,0.0045351473922902496
"Anthony Parker","TOR",82,2634,125,1,50,11,3,1,14,0.06091954022988506,0.08865248226950355,0.00980392156862745
"Ray Allen","BOS",73,2624,237,39,71,11,1,0,32,0.06876790830945559,0.11952861952861953,0.002207505518763797
