"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"James Harden","HOU",82,3125,837,39,294,53,46,6,71,0.1791359325605901,0.24479600333055787,0.06599713055954089
"Gordon Hayward","UTA",80,2893,477,34,180,39,3,1,58,0.13605947955390335,0.19292604501607716,0.007281553398058253
"Kemba Walker","CHA",81,2885,438,13,151,26,11,0,58,0.11042944785276074,0.15631469979296067,0.021956087824351298
"Trevor Ariza","HOU",81,2859,161,3,63,9,5,1,14,0.07415485278080698,0.15217391304347827,0.009940357852882704
"Marcus Morris","DET",80,2856,271,0,100,23,6,2,40,0.10331384015594541,0.13812154696132597,0.019867549668874173
"Khris Middleton","MIL",79,2852,312,29,103,19,12,2,32,0.09296685529506872,0.11907514450867052,0.03225806451612903
"Kyle Lowry","TOR",77,2851,491,15,170,25,23,1,48,0.1413919413919414,0.2135678391959799,0.040421792618629174
"Andrew Wiggins","MIN",81,2845,565,0,260,51,2,0,45,0.17408637873754154,0.19801980198019803,0.010416666666666666
"Giannis Antetokounmpo","MIL",80,2823,409,0,187,38,1,0,35,0.16165090283748926,0.17758784425451093,0.00909090909090909
"Paul George","IND",81,2819,528,29,186,38,17,2,59,0.1259305210918114,0.18040737148399613,0.029259896729776247
"Draymond Green","GSW",81,2808,329,0,149,36,1,0,33,0.1607717041800643,0.22106824925816024,0.003861003861003861
"DeMar DeRozan","TOR",78,2804,653,38,272,54,1,0,61,0.17105263157894737,0.18681318681318682,0.007142857142857143
"Kentavious Caldwell-Pope","DET",76,2789,228,9,95,25,4,1,22,0.09583736689254599,0.1437216338880484,0.010752688172043012
"John Wall","WAS",77,2784,344,22,134,40,2,0,44,0.09411764705882353,0.12017937219730941,0.006060606060606061
"CJ McCollum","POR",80,2780,226,7,78,16,7,2,31,0.056742323097463285,0.07639569049951028,0.014675052410901468
"Russell Westbrook","OKC",80,2750,572,8,246,49,3,0,56,0.15145985401459855,0.18923076923076923,0.00872093023255814
"Monta Ellis","IND",81,2734,206,1,88,24,1,0,25,0.08195211786372007,0.1095890410958904,0.0035335689045936395
"LeBron James","CLE",76,2709,491,13,223,75,2,0,51,0.14367816091954022,0.17394695787831513,0.007042253521126761
"Joe Johnson","MIA",81,2704,142,7,53,9,2,0,16,0.06077348066298342,0.08983050847457627,0.006349206349206349
"Stephen Curry","GSW",79,2700,400,31,110,30,21,2,60,0.07719505008839128,0.1388888888888889,0.023204419889502764
"Damian Lillard","POR",75,2676,464,36,157,30,15,7,57,0.10689869484151647,0.1584258324924319,0.024271844660194174
"Klay Thompson","GSW",80,2666,221,5,87,20,6,0,22,0.06374228923920494,0.10834371108343711,0.009146341463414634
"Andre Drummond","DET",81,2666,586,0,199,46,0,0,118,0.1640560593569662,0.16487158243579123,0
"Paul Millsap","ATL",81,2647,408,0,186,40,0,0,38,0.15346534653465346,0.18979591836734694,0
"Isaiah Thomas","BOS",82,2644,544,23,199,42,13,2,65,0.1367741935483871,0.18528864059590316,0.0273109243697479
"Wesley Matthews","DAL",78,2644,146,6,50,8,6,0,15,0.06208425720620843,0.1347708894878706,0.011299435028248588
"Al Horford","ATL",82,2631,129,0,58,17,0,0,15,0.05325987144168962,0.06962785114045618,0
"Karl-Anthony Towns","MIN",82,2627,275,0,133,45,0,0,27,0.10717163577759871,0.11535125758889853,0
"DeAndre Jordan","LAC",77,2598,619,0,149,40,1,0,180,0.24271844660194175,0.2418831168831169,0.5
"Kevin Durant","OKC",72,2578,498,37,157,31,24,3,56,0.11845549738219895,0.1530214424951267,0.04780876494023904
"Evan Fournier","ORL",79,2566,238,8,98,24,2,0,26,0.09950248756218906,0.1598694942903752,0.00510204081632653
"Jordan Clarkson","LAL",79,2552,204,10,85,14,2,2,18,0.07442258340461934,0.10011778563015312,0.00625
"Rodney Hood","UTA",79,2541,200,7,75,7,10,1,11,0.08102955195424213,0.12690355329949238,0.021834061135371178
"PJ Tucker","PHX",82,2540,142,0,56,14,4,0,16,0.09554140127388536,0.1339712918660287,0.01904761904761905
"Rajon Rondo","SAC",72,2537,150,0,40,6,0,0,38,0.049019607843137254,0.06191950464396285,0
"Avery Bradley","BOS",76,2536,123,8,48,6,3,1,9,0.04797742238946378,0.07339449541284404,0.007334963325183374
"Carmelo Anthony","NYK",72,2530,403,18,158,26,1,0,47,0.11041666666666666,0.13994685562444642,0.003215434083601286
"George Hill","IND",74,2524,150,6,50,11,5,1,21,0.07033248081841433,0.10775862068965517,0.015723270440251572
"Tobias Harris","DET",76,2513,243,3,117,33,1,1,19,0.12127440904419322,0.15940054495912806,0.0041841004184100415
"Serge Ibaka","OKC",78,2500,121,0,52,15,0,0,16,0.05739514348785872,0.07202216066481995,0
"Jimmy Butler","CHI",67,2474,475,19,193,30,6,2,43,0.16555740432612312,0.19436052366565962,0.028708133971291867
"Brook Lopez","BKN",73,2457,403,3,195,58,0,0,34,0.15069551777434312,0.15234375,0
"Nicolas Batum","CHA",70,2448,192,27,42,9,20,6,21,0.06739130434782609,0.08284023668639054,0.048426150121065374
"Gary Harris","DEN",76,2439,133,7,62,17,1,1,9,0.07777777777777778,0.12085769980506822,0.003367003367003367
"Kevin Love","CLE",77,2425,314,2,123,15,7,2,32,0.11926605504587157,0.19040247678018576,0.015765765765765764
"Reggie Jackson","DET",79,2424,336,22,113,30,5,0,52,0.08858858858858859,0.11379657603222558,0.014749262536873156
"Chris Paul","LAC",74,2420,328,36,65,13,3,0,83,0.058169375534645,0.07765830346475508,0.009036144578313253
"Jabari Parker","MIL",76,2408,228,1,116,21,0,0,8,0.11670020120724346,0.12095933263816476,0
"Thaddeus Young","BKN",73,2408,163,0,70,9,0,0,16,0.068359375,0.07042253521126761,0
"Kyle Korver","ATL",80,2401,54,25,7,3,4,2,5,0.01765650080256822,0.03125,0.010025062656641603
"Luol Deng","MIA",74,2394,192,0,83,18,2,1,20,0.10480887792848335,0.14981949458483754,0.007782101167315175
"Kawhi Leonard","SAS",72,2380,334,31,130,38,3,1,37,0.11233108108108109,0.14590347923681257,0.010238907849829351
"Victor Oladipo","ORL",72,2379,247,10,90,14,7,0,25,0.09211775878442545,0.11780104712041885,0.02422145328719723
"Rudy Gay","SAC",70,2379,254,17,95,17,4,2,28,0.09107635694572216,0.10919540229885058,0.018433179723502304
"Arron Afflalo","NYK",71,2371,131,3,67,23,1,0,7,0.08056872037914692,0.11074380165289256,0.0041841004184100415
"Dirk Nowitzki","DAL",75,2364,280,24,90,15,1,1,45,0.07666385846672283,0.10650887573964497,0.0029239766081871343
"Goran Dragic","MIA",72,2363,165,0,66,11,2,0,19,0.07296137339055794,0.0910344827586207,0.00966183574879227
"JR Smith","CLE",77,2362,71,0,24,3,2,0,10,0.029782359679266894,0.0664819944598338,0.00390625
"Will Barton","DEN",82,2353,268,14,100,26,8,2,30,0.10159924741298212,0.1366120218579235,0.02416918429003021
"Al-Farouq Aminu","POR",82,2341,156,0,74,18,2,0,10,0.0978120978120978,0.17370892018779344,0.005698005698005698
"Marvin Williams","CHA",81,2338,144,0,46,11,3,0,27,0.062420382165605096,0.11386138613861387,0.007874015748031496
"Courtney Lee","CHA",79,2334,118,26,42,12,0,0,10,0.06278026905829596,0.09292035398230089,0
"Ricky Rubio","MIN",76,2323,314,24,83,11,5,0,60,0.13273001508295626,0.17735042735042736,0.02564102564102564
"Greg Monroe","MIL",79,2314,308,0,146,36,0,0,26,0.13891531874405327,0.13904761904761906,0
"Jae Crowder","BOS",73,2308,239,2,105,29,8,1,17,0.12611607142857142,0.19961977186311788,0.021621621621621623
"Zach LaVine","MIN",82,2293,203,6,88,22,1,0,20,0.08674463937621832,0.12411847672778561,0.0031545741324921135
"Pau Gasol","CHI",72,2292,289,0,105,27,2,0,50,0.09953488372093024,0.10458167330677291,0.028169014084507043
"Julius Randle","LAL",81,2286,270,0,135,34,0,0,17,0.14423076923076922,0.15,0
"Dwight Howard","HOU",71,2280,474,0,173,49,0,0,91,0.23895027624309392,0.24094707520891365,0
"Otto Porter Jr.","WAS",75,2276,126,0,56,15,3,0,10,0.07752956636005257,0.11405295315682282,0.011111111111111112
"Evan Turner","BOS",81,2271,179,3,74,15,1,0,20,0.09225092250922509,0.10150891632373114,0.011904761904761904
"Tristan Thompson","CLE",82,2269,242,0,96,26,0,0,38,0.19591836734693877,0.19591836734693877,0
"LaMarcus Aldridge","SAS",74,2261,302,1,146,27,0,0,18,0.1254295532646048,0.12717770034843207,0
"D'Angelo Russell","LAL",80,2259,190,1,85,19,4,1,14,0.08682926829268292,0.1303680981595092,0.010723860589812333
"Dwyane Wade","MIA",74,2258,406,10,167,27,1,0,43,0.1268882175226586,0.1305707584050039,0.022222222222222223
"Marcin Gortat","WAS",75,2256,207,0,95,20,0,0,19,0.11323003575685339,0.11336515513126491,0
"Jeff Teague","ATL",79,2255,312,15,127,27,2,0,32,0.11834862385321102,0.15601965601965603,0.007246376811594203
"Jeff Green","LAC",80,2253,220,1,104,23,0,0,17,0.11491712707182321,0.15028901734104047,0
"DeMarcus Cousins","SAC",65,2246,663,4,276,62,2,0,83,0.17958656330749354,0.20658682634730538,0.009433962264150943
"Ish Smith","PHI",77,2239,176,2,69,22,1,1,29,0.06903353057199212,0.08175355450236967,0.0058823529411764705
"Justise Winslow","MIA",78,2232,117,0,56,12,0,0,9,0.11067193675889328,0.14358974358974358,0
"Gorgui Dieng","MIN",82,2220,248,1,122,27,0,0,15,0.18100890207715134,0.18654434250764526,0
"Robin Lopez","NYK",82,2219,160,0,68,15,0,0,20,0.0951048951048951,0.09523809523809523,0
"Darren Collison","SAC",74,2219,226,16,89,23,1,0,26,0.10676156583629894,0.1424,0.0045871559633027525
"Raymond Felton","DAL",80,2192,176,3,60,15,0,0,34,0.08253094910591471,0.11673151750972763,0
"Matt Barnes","MEM",76,2190,138,7,49,8,3,0,16,0.07055630936227951,0.1346153846153846,0.00804289544235925
"Anthony Davis","NOP",61,2164,430,38,171,37,1,0,44,0.13532651455546812,0.14716006884681584,0.009174311926605505
"Hollis Thompson","PHI",77,2154,96,2,32,13,11,2,7,0.06073446327683616,0.10423452768729642,0.02743142144638404
"Dion Waiters","OKC",78,2152,156,2,69,14,3,0,12,0.09424083769633508,0.1324376199616123,0.012345679012345678
"Elfrid Payton","ORL",73,2145,190,0,84,28,0,0,25,0.10687022900763359,0.12103746397694524,0
"Jamal Crawford","LAC",79,2126,271,14,97,17,16,7,23,0.10992217898832685,0.1437037037037037,0.0453257790368272
"Hassan Whiteside","MIA",73,2126,329,0,148,43,0,0,38,0.1880559085133418,0.1880559085133418,0
"Bojan Bogdanovic","BKN",79,2115,132,7,53,11,2,0,12,0.06935687263556116,0.11699779249448124,0.0058823529411764705
"Devin Booker","PHX",76,2108,256,10,91,18,4,1,36,0.1007423117709438,0.13978494623655913,0.0136986301369863
"Deron Williams","DAL",65,2106,206,14,64,7,7,2,27,0.08482676224611709,0.11636363636363636,0.024390243902439025
"Allen Crabbe","POR",81,2105,113,4,35,11,10,1,11,0.06329113924050633,0.08393285371702638,0.034013605442176874
"Jared Dudley","WAS",81,2098,98,0,33,8,4,0,14,0.07170542635658915,0.12043795620437957,0.01652892561983471
"Derrick Rose","CHI",66,2098,179,3,89,23,1,0,9,0.08071748878923767,0.09232365145228216,0.006622516556291391
"JJ Redick","LAC",75,2097,205,8,52,8,17,6,32,0.07379679144385026,0.10337972166998012,0.03935185185185185
"Mason Plumlee","POR",82,2084,335,0,146,28,0,0,37,0.22992125984251968,0.23137876386687797,0
"Kent Bazemore","ATL",75,2083,151,0,70,18,1,0,13,0.09125964010282776,0.1483050847457627,0.0032679738562091504
"Emmanuel Mudiay","DEN",68,2068,209,1,93,16,2,1,17,0.09664292980671414,0.124,0.008583690987124463
"Jerami Grant","PHI",77,2066,322,1,152,24,0,0,21,0.20907840440165062,0.26161790017211706,0
"Danny Green","SAS",79,2061,46,3,12,0,3,1,6,0.02608695652173913,0.05357142857142857,0.008547008547008548
"Jeremy Lin","CHA",78,2048,292,4,106,14,3,1,42,0.13260340632603407,0.17845117845117844,0.013157894736842105
"Kristaps Porzingis","NYK",72,2046,240,0,94,13,0,0,33,0.09720785935884178,0.1298342541436464,0
"Cory Joseph","TOR",80,2046,174,4,66,15,0,0,27,0.10377358490566038,0.12547528517110265,0
"Harrison Barnes","GSW",66,2041,134,0,61,16,1,0,13,0.09131075110456553,0.1314655172413793,0.004651162790697674
"Patrick Beverley","HOU",71,2041,87,1,30,5,0,0,16,0.048465266558966075,0.0970873786407767,0
"Nikola Vucevic","ORL",65,2037,150,2,62,18,0,0,21,0.05688073394495413,0.05735430157261795,0
"Langston Galloway","NYK",82,2033,114,5,45,12,3,0,11,0.07692307692307693,0.11335012594458438,0.013215859030837005
"Jose Calderon","NYK",72,2024,48,2,14,4,0,0,11,0.030107526881720432,0.05343511450381679,0
"Patrick Patterson","TOR",79,2020,34,1,16,5,0,0,3,0.031746031746031744,0.07582938388625593,0
"Zach Randolph","MEM",68,2017,216,2,81,9,1,0,29,0.0836734693877551,0.08499475341028331,0.037037037037037035
"Steven Adams","OKC",80,2015,196,0,84,20,0,0,25,0.17142857142857143,0.17142857142857143,0
"Ryan Anderson","NOP",66,2008,228,20,95,14,0,0,16,0.09405940594059406,0.14570552147239263,0
"Zaza Pachulia","DAL",76,2004,276,0,119,15,0,0,27,0.2073170731707317,0.2084063047285464,0
"Derrick Favors","UTA",62,1983,254,1,126,37,0,0,19,0.14,0.140625,0
"Tony Parker","SAS",72,1981,171,0,65,11,0,0,26,0.08507853403141362,0.09298998569384835,0
"Dante Cunningham","NOP",80,1971,82,0,41,6,0,0,3,0.09172259507829977,0.15018315018315018,0
"Isaiah Canaan","PHI",77,1966,180,26,46,9,21,7,11,0.08667529107373868,0.1678832116788321,0.04208416833667335
"Nerlens Noel","PHI",67,1965,227,0,104,19,0,0,20,0.15476190476190477,0.15522388059701492,0
"Garrett Temple","WAS",80,1951,125,1,47,7,1,0,17,0.08791208791208792,0.16376306620209058,0.003861003861003861
"Taj Gibson","CHI",73,1936,146,0,67,23,0,0,18,0.12316176470588236,0.12384473197781885,0
"Rudy Gobert","UTA",61,1932,283,0,106,10,0,0,41,0.23555555555555555,0.23555555555555555,0
"Jared Sullinger","BOS",81,1915,161,0,71,12,0,0,16,0.08208092485549133,0.09317585301837271,0
"Lou Williams","LAL",67,1907,424,10,141,20,45,2,11,0.21703617269544925,0.2854251012145749,0.12396694214876033
"Robert Covington","PHI",67,1903,177,8,60,9,12,1,12,0.09302325581395349,0.21352313167259787,0.02434077079107505
"Ersan Ilyasova","ORL",74,1880,154,0,65,8,4,0,10,0.09556786703601108,0.14161220043572983,0.015209125475285171
"Omri Casspi","SAC",69,1880,159,0,76,17,0,0,12,0.11160058737151249,0.18673218673218672,0
"Roy Hibbert","LAL",81,1878,145,0,57,10,0,0,21,0.12445414847161572,0.125,0
"Brandon Knight","PHX",52,1870,183,12,57,15,2,0,33,0.06283280085197018,0.09726962457337884,0.0056657223796034
"Matthew Dellavedova","CLE",76,1867,66,10,18,4,0,0,12,0.03428571428571429,0.06293706293706294,0
"Kobe Bryant","LAL",66,1863,281,24,79,12,29,4,16,0.08962655601659751,0.11079943899018233,0.05894308943089431
"Aaron Gordon","ORL",78,1863,193,0,86,21,0,0,21,0.13354037267080746,0.17131474103585656,0
"Doug McDermott","CHI",81,1860,84,7,28,9,6,3,9,0.05105105105105105,0.06930693069306931,0.022900763358778626
"Danilo Gallinari","DEN",53,1839,432,16,175,22,2,0,41,0.20701754385964913,0.28501628664495116,0.008298755186721992
"Jrue Holiday","NOP",65,1831,216,3,94,22,1,0,22,0.09424603174603174,0.12566844919786097,0.0038461538461538464
"Alex Len","PHX",78,1821,239,0,113,20,0,0,17,0.15760111576011157,0.1591549295774648,0
"Ian Mahinmi","IND",71,1816,225,0,95,19,0,0,27,0.18129770992366412,0.18129770992366412,0
"Nik Stauskas","PHI",73,1809,118,5,52,10,3,0,5,0.09322033898305085,0.1984732824427481,0.009146341463414634
"Bismack Biyombo","TOR",82,1808,226,0,89,15,0,0,32,0.24585635359116023,0.24653739612188366,0
"Amir Johnson","BOS",79,1800,121,0,44,6,0,0,20,0.09482758620689655,0.10451306413301663,0
"Chandler Parsons","DAL",61,1799,136,0,58,11,7,1,6,0.09232954545454546,0.1297539149888143,0.027237354085603113
"Marc Gasol","MEM",52,1791,245,2,94,21,0,0,38,0.12051282051282051,0.12097812097812098,0
"Chris Bosh","MIA",53,1778,268,7,126,26,1,0,16,0.14631336405529954,0.19534883720930232,0.004484304932735426
"Cody Zeller","CHA",73,1774,232,0,105,19,0,0,21,0.20076481835564053,0.2046783625730994,0
"Mike Conley","MEM",56,1761,228,18,79,15,6,1,26,0.1111111111111111,0.14495412844036698,0.02727272727272727
"Thabo Sefolosha","ATL",75,1758,99,0,44,13,0,0,12,0.10945273631840796,0.15770609318996415,0
"Shane Larkin","BKN",78,1751,107,0,47,12,1,1,12,0.0893854748603352,0.10955710955710955,0.009259259259259259
"Terrence Ross","TOR",73,1747,62,5,16,3,4,2,10,0.031201248049921998,0.05333333333333334,0.011730205278592375
"Nikola Jokic","DEN",80,1733,190,0,78,24,0,0,29,0.11926605504587157,0.1368421052631579,0
"Andre Iguodala","GSW",65,1732,83,0,27,7,2,2,17,0.07474226804123711,0.11538461538461539,0.012987012987012988
"Enes Kanter","OKC",82,1721,251,0,123,30,0,0,20,0.15147783251231528,0.1554993678887484,0
"Bradley Beal","WAS",55,1708,176,17,69,21,0,0,21,0.08146399055489964,0.11979166666666667,0
"Frank Kaminsky","CHA",81,1708,148,0,63,17,1,0,18,0.11188811188811189,0.17073170731707318,0.0049261083743842365
"Kenneth Faried","DEN",67,1695,222,0,104,32,0,0,23,0.1489971346704871,0.14942528735632185,0
"Stanley Johnson","DET",73,1687,102,2,45,14,0,0,12,0.07131537242472266,0.1056338028169014,0
"Mirza Teletovic","PHX",79,1685,155,2,48,8,5,0,25,0.06447688564476886,0.13445378151260504,0.010752688172043012
"Ed Davis","POR",81,1684,204,0,96,26,0,0,19,0.23587223587223588,0.23587223587223588,0
"Shabazz Muhammad","MIN",82,1682,242,1,117,23,0,0,15,0.15096774193548387,0.18780096308186195,0
"Marco Belinelli","SAC",68,1672,138,12,42,14,10,3,16,0.07761194029850746,0.11475409836065574,0.03289473684210526
"Corey Brewer","HOU",82,1669,140,0,60,15,1,0,16,0.1020066889632107,0.16085790884718498,0.0044444444444444444
"Kyrie Irving","CLE",53,1667,191,27,66,17,5,2,19,0.07626208378088077,0.0990990990990991,0.018867924528301886
"Ramon Sessions","WAS",82,1667,283,2,142,33,0,0,15,0.20256776034236804,0.24067796610169492,0
"J.J. Barea","DAL",74,1667,96,2,38,10,1,0,13,0.052702702702702706,0.07933194154488518,0.0038314176245210726
"Marcus Smart","BOS",61,1667,166,0,49,8,9,1,26,0.10034602076124567,0.14893617021276595,0.03614457831325301
"Wesley Johnson","LAC",80,1666,46,1,22,8,1,1,4,0.043478260869565216,0.1,0.003236245954692557
"Patty Mills","SAS",81,1662,58,1,6,1,6,4,18,0.01938610662358643,0.020202020202020204,0.018633540372670808
"Michael Carter-Williams","MIL",54,1649,162,0,70,18,0,0,20,0.11532125205930807,0.12681159420289856,0
"Nikola Mirotic","CHI",66,1646,181,1,56,6,7,0,27,0.0945945945945946,0.17891373801916932,0.019830028328611898
"Randy Foye","OKC",81,1641,74,4,31,6,0,0,7,0.0611439842209073,0.12062256809338522,0
"Luis Scola","TOR",76,1636,84,0,39,8,0,0,7,0.06200317965023847,0.08333333333333333,0
"Trevor Booker","UTA",79,1632,106,0,42,10,0,0,16,0.1,0.11081794195250659,0
"Alonzo Gee","NOP",73,1632,66,0,33,8,0,0,4,0.11785714285714285,0.15,0
