"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Kevin Durant","OKC",82,3239,840,44,303,55,26,1,85,0.16950025759917567,0.19361022364217254,0.06914893617021277
"Andre Iguodala","PHI",82,3193,430,29,174,30,7,0,31,0.14240755310778913,0.18106139438085328,0.02258064516129032
"Rudy Gay","MEM",80,3175,400,3,190,37,0,0,27,0.131852879944483,0.15334947538337368,0
"Stephen Jackson","CHA",81,3129,434,34,174,39,3,0,41,0.11375321336760925,0.15,0.007575757575757576
"Gerald Wallace","CHA",76,3120,544,1,251,49,0,0,45,0.21921397379912663,0.24975124378109453,0
"O.J. Mayo","MEM",82,3114,262,29,92,29,2,0,36,0.07532051282051282,0.10325476992143659,0.0056022408963585435
"Zach Randolph","MEM",81,3051,465,12,208,63,0,0,50,0.14044564483457123,0.14555633310007,0
"Jeff Green","OKC",82,3043,223,1,122,37,0,0,8,0.10562770562770563,0.14472123368920523,0
"Dirk Nowitzki","DAL",81,3039,586,45,216,41,2,0,72,0.13030484160191272,0.1393548387096774,0.016260162601626018
"Brook Lopez","NJN",82,3027,509,12,240,49,0,0,34,0.18181818181818182,0.18209408194233687,0
"David Lee","NYK",81,3019,330,2,176,52,0,0,14,0.12735166425470332,0.12809315866084425,0
"LeBron James","CLE",76,2966,773,25,329,82,2,0,83,0.1862689926842994,0.23703170028818443,0.005141388174807198
"Rajon Rondo","BOS",81,2963,282,0,116,28,2,0,36,0.11871227364185111,0.12719298245614036,0.024390243902439025
"David West","NOH",81,2949,342,8,143,37,0,0,43,0.10735735735735735,0.10957854406130269,0
"LaMarcus Aldridge","POR",78,2922,304,0,146,38,0,0,25,0.11433046202036022,0.11578112609040445,0
"Aaron Brooks","HOU",82,2919,297,32,77,20,11,3,53,0.06303724928366762,0.08922363847045191,0.020637898686679174
"Boris Diaw","CHA",82,2906,147,0,60,19,0,0,24,0.07371007371007371,0.09868421052631579,0
"Stephen Curry","GSW",80,2896,200,11,66,15,4,2,32,0.05852842809364549,0.08108108108108109,0.010471204188481676
