"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Kira Lewis Jr.","NOP",24,341,12,0,6,2,0,0,1,0.04,0.06521739130434782,0
"P.J. Dozier","DEN",18,340,13,0,7,1,0,0,0,0.06666666666666667,0.12280701754385964,0
"Josh Green","DAL",28,339,19,0,8,3,0,0,3,0.09090909090909091,0.11594202898550725,0
"Enes Freedom","BOS",27,335,21,0,11,4,0,0,2,0.11956521739130435,0.125,0
"Thanasis Antetokounmpo","MIL",28,332,24,0,11,2,0,0,2,0.12087912087912088,0.1375,0
"Luka Garza","DET",27,327,42,1,19,5,0,0,2,0.1450381679389313,0.2087912087912088,0
"Thaddeus Young","SAS",23,324,18,0,6,4,0,0,5,0.05128205128205128,0.05263157894736842,0
"Brad Wanamaker","WAS",23,320,25,0,12,5,0,0,3,0.14285714285714285,0.1791044776119403,0
"Collin Sexton","CLE",11,316,39,0,20,5,0,0,2,0.12121212121212122,0.16666666666666666,0
"Yuta Watanabe","TOR",17,315,24,0,12,2,0,0,1,0.11009174311926606,0.2222222222222222,0
"Jordan McLaughlin","MIN",28,314,22,0,8,2,0,0,4,0.1,0.15384615384615385,0
"Aaron Nesmith","BOS",30,312,10,0,5,3,1,0,0,0.0594059405940594,0.14705882352941177,0.014925373134328358
"Isaiah Joe","PHI",27,308,15,0,4,2,3,0,0,0.07,0.15384615384615385,0.04054054054054054
"Gorgui Dieng","ATL",31,305,23,0,11,3,0,0,2,0.11956521739130435,0.2391304347826087,0
"Justin Robinson","DET",25,304,8,0,1,0,0,0,3,0.010638297872340425,0.030303030303030304,0
"Jalen Smith","PHX",21,303,41,1,20,5,0,0,2,0.15625,0.20408163265306123,0
"Semi Ojeleye","MIL",17,291,11,0,4,1,0,0,2,0.05714285714285714,0.12903225806451613,0
"Danuel House Jr.","UTA",20,289,21,0,6,1,0,0,5,0.06521739130434782,0.125,0
"Dylan Windler","CLE",28,289,4,0,2,0,0,0,0,0.029850746268656716,0.1,0
"DeMarcus Cousins","MIL",17,287,38,0,20,11,1,1,4,0.16535433070866143,0.25316455696202533,0.020833333333333332
"Nick Richards","CHA",31,287,29,0,15,7,0,0,3,0.18518518518518517,0.18518518518518517,0
"Theo Maledon","OKC",21,285,30,0,14,2,0,0,2,0.15555555555555556,0.30434782608695654,0
"Trent Forrest","UTA",32,285,14,0,6,2,0,0,2,0.14634146341463414,0.16216216216216217,0
"Davon Reed","DEN",17,280,5,0,2,1,0,0,1,0.03125,0.058823529411764705,0
"Paul Millsap","BKN",24,270,17,0,7,1,0,0,2,0.07692307692307693,0.109375,0
"Joshua Primo","SAS",20,269,12,0,3,0,0,0,3,0.0375,0.07692307692307693,0
"Sandro Mamukelashvili","MIL",23,267,12,0,6,2,0,0,1,0.0759493670886076,0.13636363636363635,0
"Trey Burke","DAL",21,265,17,0,5,0,1,0,2,0.04411764705882353,0.058823529411764705,0.0196078431372549
"Michael Porter Jr.","DEN",9,265,9,0,5,3,0,0,1,0.047619047619047616,0.08771929824561403,0
"Jock Landale","SAS",25,264,23,0,13,5,0,0,1,0.12871287128712872,0.20634920634920634,0
"Elfrid Payton","PHX",23,263,15,0,7,3,0,0,2,0.07608695652173914,0.08045977011494253,0
"Kessler Edwards","BKN",11,252,1,0,1,1,0,0,0,0.0125,0.022727272727272728,0
"Isaiah Roby","OKC",18,246,21,0,11,3,0,0,1,0.11956521739130435,0.15714285714285714,0
"Santi Aldama","MEM",23,245,19,0,10,3,0,0,0,0.10752688172043011,0.1724137931034483,0
"KZ Okpala","MIA",21,244,11,0,6,1,0,0,0,0.08108108108108109,0.125,0
"David Duke Jr.","BKN",13,243,17,0,6,1,0,0,3,0.07228915662650602,0.10344827586206896,0
"Chris Chiozza","GSW",22,242,1,0,1,1,0,0,0,0.01818181818181818,0.05263157894736842,0
"CJ Elleby","POR",23,232,14,0,4,1,1,0,2,0.06756756756756757,0.10810810810810811,0.02702702702702703
"Malachi Flynn","TOR",27,231,7,0,2,0,1,1,1,0.03409090909090909,0.045454545454545456,0.022727272727272728
"Kelly Olynyk","DET",10,230,35,1,14,5,0,0,5,0.1308411214953271,0.21212121212121213,0
"Duane Washington Jr.","IND",12,228,19,0,9,1,0,0,1,0.0891089108910891,0.16363636363636364,0
"Onyeka Okongwu","ATL",10,226,23,0,12,3,0,0,1,0.21818181818181817,0.21818181818181817,0
"Lance Stephenson","IND",13,223,11,0,5,1,0,0,1,0.05555555555555555,0.08771929824561403,0
"Denzel Valentine","UTA",24,222,0,0,0,0,0,0,0,0,0,0
"Naji Marshall","NOP",23,220,29,0,14,1,0,0,1,0.1686746987951807,0.2545454545454545,0
"Keifer Sykes","IND",9,210,9,2,1,0,1,0,1,0.02857142857142857,0.02857142857142857,0.02857142857142857
"Justin Champagnie","TOR",23,204,9,0,4,1,0,0,1,0.07142857142857142,0.10526315789473684,0
"Tim Frazier","ORL",10,200,9,0,4,1,0,0,1,0.08695652173913043,0.13793103448275862,0
"Mychal Mulder","ORL",15,195,2,0,1,0,0,0,0,0.014705882352941176,0.045454545454545456,0
"Matt Thomas","CHI",18,188,10,0,2,0,2,0,0,0.05970149253731343,0.08695652173913043,0.045454545454545456
"Markieff Morris","MIA",10,187,5,0,3,1,0,0,0,0.041666666666666664,0.06,0
"Leandro Bolmaro","MIN",24,186,9,0,2,1,0,0,3,0.06060606060606061,0.09523809523809523,0
"Jarrett Culver","MEM",18,184,18,0,8,2,0,0,2,0.10126582278481013,0.14285714285714285,0
"Skylar Mays","ATL",17,184,7,0,3,3,0,0,2,0.05084745762711865,0.08823529411764706,0
"Stanley Johnson","LAL",9,183,10,0,5,2,0,0,1,0.125,0.2777777777777778,0
"Nathan Knight","MIN",22,182,40,0,20,2,0,0,1,0.3076923076923077,0.3448275862068966,0
"Day'Ron Sharpe","BKN",17,182,17,0,10,3,0,0,0,0.12048192771084337,0.125,0
"Admiral Schofield","ORL",12,181,1,0,1,1,0,0,0,0.024390243902439025,0.047619047619047616,0
"Frank Kaminsky","PHX",9,181,20,0,10,4,0,0,2,0.1388888888888889,0.17543859649122806,0
"Paul Reed","PHI",20,180,6,0,3,0,0,0,0,0.06666666666666667,0.07317073170731707,0
"Willie Cauley-Stein","DAL",18,177,2,0,1,0,0,0,0,0.027777777777777776,0.029411764705882353,0
"Goga Bitadze","IND",23,176,20,0,11,4,0,0,1,0.16176470588235295,0.28205128205128205,0
"Moses Moody","GSW",25,175,11,0,6,1,0,0,0,0.09836065573770492,0.2,0
"Hassani Gravett","ORL",8,171,4,0,2,0,0,0,0,0.05,0.14285714285714285,0
"Moses Brown","DAL",25,165,43,0,18,3,0,0,5,0.27692307692307694,0.27692307692307694,0
"Alfonzo McKinnie","CHI",10,165,6,0,3,0,0,0,0,0.05555555555555555,0.1,0
"Trevor Ariza","LAL",9,163,2,0,1,0,0,0,0,0.041666666666666664,0.25,0
"Rodney McGruder","DET",17,161,4,0,2,0,0,0,0,0.043478260869565216,0.08,0
"Javonte Smart","MIL",13,160,6,0,3,0,0,0,0,0.06521739130434782,0.10714285714285714,0
"Kevin Pangos","CLE",19,159,4,0,0,0,0,0,2,0,0,0
"Jake Layman","MIN",19,158,8,0,5,2,0,0,0,0.10204081632653061,0.2,0
"Paul Watson","OKC",9,156,2,0,0,0,0,0,1,0,0,0
"Vlatko Cancar","DEN",14,152,12,0,5,0,0,0,1,0.11363636363636363,0.15625,0
"Ignas Brazdeikis","ORL",17,150,6,0,1,0,0,0,2,0.021739130434782608,0.043478260869565216,0
"Marquese Chriss","DAL",13,147,16,0,6,0,0,0,2,0.0967741935483871,0.125,0
"James Bouknight","CHA",18,147,10,0,3,0,0,0,2,0.04285714285714286,0.07142857142857142,0
"Abdel Nader","PHX",14,145,10,0,4,0,0,0,1,0.10256410256410256,0.16,0
"Charles Bassey","PHI",19,144,11,0,6,1,0,0,0,0.14285714285714285,0.15384615384615385,0
"Miles McBride","NYK",17,143,4,0,1,1,0,0,2,0.019230769230769232,0.04,0
"Cassius Stanley","DET",7,142,10,0,5,2,0,0,1,0.1111111111111111,0.1724137931034483,0
"Solomon Hill","ATL",13,139,0,0,0,0,0,0,0,0,0,0
"Alize Johnson","WAS",19,139,8,0,5,2,0,0,0,0.16129032258064516,0.17857142857142858,0
"Keon Johnson","LAC",15,135,21,0,8,1,0,0,3,0.13793103448275862,0.1702127659574468,0
"Trendon Watford","POR",16,133,19,0,10,3,0,0,1,0.21739130434782608,0.22727272727272727,0
"Jose Alvarado","NOP",16,131,14,1,4,1,0,0,3,0.09523809523809523,0.2,0
"Marcus Garrett","MIA",12,128,5,0,3,1,0,0,0,0.13043478260869565,0.15789473684210525,0
"Gary Clark","NOP",12,128,4,0,1,0,0,0,1,0.03333333333333333,0.25,0
"Patrick Williams","CHI",5,125,4,0,0,0,0,0,1,0,0,0
"Ish Wainright","PHX",18,121,4,0,2,0,0,0,0,0.04878048780487805,0.10526315789473684,0
"Freddie Gillespie","ORL",9,119,7,0,3,1,0,0,1,0.125,0.13043478260869565,0
"Markus Howard","DEN",17,118,8,1,0,0,1,0,1,0.015384615384615385,0,0.02040816326530612
"Isaiah Thomas","DAL",5,114,11,1,3,0,1,0,1,0.0784313725490196,0.12,0.038461538461538464
"Jared Butler","UTA",20,113,9,1,3,0,0,0,1,0.05454545454545454,0.12,0
"Jabari Parker","BOS",12,112,9,0,3,1,0,0,2,0.075,0.125,0
"Ed Davis","CLE",12,112,6,0,2,0,0,0,1,0.14285714285714285,0.14285714285714285,0
"Kevin Knox II","NYK",13,111,10,0,4,0,0,0,1,0.09090909090909091,0.25,0
"JT Thor","CHA",10,109,8,0,6,4,0,0,0,0.2222222222222222,0.5454545454545454,0
"Derrick Walton Jr.","DET",3,108,4,0,2,0,0,0,0,0.07142857142857142,0.13333333333333333,0
"Anthony Gill","WAS",16,108,12,0,4,0,0,0,2,0.12903225806451613,0.16666666666666666,0
"Langston Galloway","MIL",7,107,0,0,0,0,0,0,0,0,0,0
"Usman Garuba","HOU",15,105,2,0,1,0,0,0,0,0.04,0.08333333333333333,0
"Brandon Goodwin","CLE",6,104,8,0,1,0,0,0,3,0.02564102564102564,0.034482758620689655,0
"Chaundee Brown Jr.","ATL",5,104,6,0,2,0,0,0,1,0.058823529411764705,0.125,0
"Donte DiVincenzo","MIL",6,103,13,0,1,0,1,1,5,0.05263157894736842,0.08333333333333333,0.038461538461538464
"Kyle Guy","MIA",6,103,5,0,2,1,0,0,1,0.05555555555555555,0.125,0
"Kyrie Irving","BKN",3,96,5,3,1,0,0,0,0,0.02040816326530612,0.027777777777777776,0
"Juancho Hernangomez","BOS",18,96,9,0,5,1,0,0,0,0.16129032258064516,0.38461538461538464,0
"Boban Marjanovic","DAL",16,95,16,0,8,4,0,0,2,0.13333333333333333,0.14035087719298245,0
"Jay Scrubb","LAC",14,95,7,0,2,1,0,0,2,0.04878048780487805,0.09090909090909091,0
"Theo Pinson","DAL",11,94,4,0,2,0,0,0,0,0.06896551724137931,0.2222222222222222,0
"Tyler Cook","CHI",9,94,16,0,7,0,0,0,1,0.25925925925925924,0.25925925925925924,0
"Tyler Johnson","SAS",6,91,0,0,0,0,0,0,0,0,0,0
"Goran Dragic","TOR",5,90,10,0,2,0,0,0,3,0.05555555555555555,0.09090909090909091,0
"Jericho Sims","NYK",13,85,4,0,2,0,0,0,0,0.2,0.2,0
"Devon Dotson","CHI",11,85,9,0,3,1,0,0,2,0.12,0.1875,0
"Xavier Moon","LAC",6,83,3,0,0,0,1,0,0,0.02857142857142857,0,0.09090909090909091
"Jahmi'us Ramsey","SAC",15,83,10,0,4,0,0,0,1,0.10526315789473684,0.14814814814814814,0
"Klay Thompson","GSW",4,83,5,0,1,0,1,0,0,0.034482758620689655,0.034482758620689655,0.034482758620689655
"Greg Brown III","POR",16,83,13,0,6,1,0,0,1,0.17142857142857143,0.20689655172413793,0
"Wes Iwundu","ATL",3,82,4,0,2,0,0,0,0,0.1,0.13333333333333333,0
"Bol Bol","DEN",14,81,5,0,2,1,0,0,0,0.07142857142857142,0.08333333333333333,0
"Greg Monroe","WAS",5,81,5,0,3,1,0,0,0,0.125,0.125,0
"Bismack Biyombo","PHX",5,79,10,0,5,2,0,0,1,0.2,0.2,0
"Justin Anderson","IND",6,77,7,0,3,1,0,0,1,0.14285714285714285,0.5,0
"Aleem Ford","ORL",5,74,0,0,0,0,0,0,0,0,0,0
"Trevelin Queen","HOU",8,69,3,0,2,1,0,0,0,0.06666666666666667,0.25,0
