"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Miles Bridges","CHA",58,2103,242,4,118,30,0,0,15,0.11991869918699187,0.184375,0
"Julius Randle","NYK",57,2034,294,4,125,34,0,0,37,0.11837121212121213,0.16622340425531915,0
"Jayson Tatum","BOS",56,2020,336,23,128,29,7,0,33,0.10722795869737888,0.16326530612244897,0.014736842105263158
"Mikal Bridges","PHX",58,2019,94,0,49,18,0,0,7,0.08006535947712418,0.12468193384223919,0
"Russell Westbrook","LAL",57,1970,292,1,127,27,2,0,29,0.12861415752741776,0.15796019900497513,0.010050251256281407
"DeMar DeRozan","CHI",55,1960,440,18,209,51,3,2,21,0.16919393455706305,0.18126626192541198,0.03
"Saddiq Bey","DET",58,1950,171,5,69,16,5,1,16,0.08466819221967964,0.1571753986332574,0.011494252873563218
"Fred VanVleet","TOR",50,1920,175,20,50,13,10,1,21,0.06571741511500548,0.12406947890818859,0.0196078431372549
"Franz Wagner","ORL",60,1918,171,1,76,15,2,0,14,0.094316807738815,0.12418300653594772,0.009302325581395349
"Chris Paul","PHX",58,1916,185,10,29,7,3,1,58,0.04630969609261939,0.05719921104536489,0.016304347826086956
"Tyrese Haliburton","IND",55,1912,120,10,45,14,3,1,13,0.07090103397341212,0.11479591836734694,0.010526315789473684
"Dorian Finney-Smith","DAL",58,1906,66,0,29,4,0,0,6,0.05642023346303502,0.13425925925925927,0
"Stephen Curry","GSW",54,1881,259,29,65,18,25,3,24,0.07985803016858918,0.14705882352941177,0.0364963503649635
"Jalen Brunson","DAL",58,1861,155,9,49,18,4,0,28,0.0678617157490397,0.08207705192629816,0.021739130434782608
"Harrison Barnes","SAC",55,1852,309,6,143,36,0,0,27,0.1991643454038997,0.31497797356828194,0
"Anthony Edwards","MIN",53,1834,214,6,96,25,1,1,20,0.0947265625,0.16991150442477876,0.002178649237472767
"Kyle Kuzma","WAS",55,1825,175,0,79,21,0,0,19,0.09850374064837905,0.158953722334004,0
"Trae Young","ATL",53,1824,364,21,89,18,13,3,75,0.08747855917667238,0.11978465679676985,0.030732860520094562
"Tyrese Maxey","PHI",51,1816,171,7,80,25,1,1,14,0.10945945945945947,0.14336917562724014,0.005494505494505495
"Patty Mills","BKN",58,1804,48,3,11,4,6,2,7,0.025914634146341462,0.052884615384615384,0.013392857142857142
"Dejounte Murray","SAS",52,1790,149,0,72,20,3,2,9,0.07520325203252033,0.09302325581395349,0.009523809523809525
"Karl-Anthony Towns","MIN",52,1783,309,8,144,52,2,0,28,0.15192507804370448,0.20869565217391303,0.007380073800738007
"Nikola Vucevic","CHI",52,1763,86,3,36,9,0,0,9,0.041379310344827586,0.05825242718446602,0
"Domantas Sabonis","SAC",51,1761,268,0,122,32,0,0,28,0.1701534170153417,0.20165289256198346,0
"Reggie Jackson","LAC",57,1759,115,4,38,7,1,1,21,0.04148936170212766,0.07037037037037037,0.0025
"Devin Booker","PHX",51,1741,255,13,93,25,0,0,39,0.08244680851063829,0.12156862745098039,0
"Scottie Barnes","TOR",49,1736,146,0,72,18,0,0,9,0.1111111111111111,0.13926499032882012,0
"Terance Mann","LAC",60,1734,109,1,47,10,0,0,11,0.08623853211009175,0.12239583333333333,0
"Bojan Bogdanovic","UTA",56,1734,208,14,73,16,2,1,30,0.09305210918114144,0.16441441441441443,0.0055248618784530384
"LaMelo Ball","CHA",53,1733,189,13,65,17,4,1,27,0.07293868921775898,0.11690647482014388,0.010256410256410256
"Tobias Harris","PHI",49,1732,168,8,78,24,2,0,11,0.1008827238335435,0.12460063897763578,0.011976047904191617
"Buddy Hield","IND",59,1730,97,20,20,4,5,1,13,0.03076923076923077,0.08264462809917356,0.007434944237918215
"Terry Rozier","CHA",51,1721,127,6,40,16,9,3,16,0.057919621749408984,0.09523809523809523,0.02112676056338028
"Keldon Johnson","SAS",55,1720,155,0,75,19,2,0,9,0.10335570469798658,0.15120967741935484,0.008032128514056224
"Nikola Jokic","DEN",52,1718,292,17,120,49,3,1,37,0.12563840653728295,0.15978695073235685,0.013157894736842105
"Andrew Wiggins","GSW",54,1713,171,0,90,26,1,1,8,0.1116564417177914,0.17307692307692307,0.003389830508474576
"Evan Mobley","CLE",50,1703,180,0,88,22,0,0,12,0.13213213213213212,0.14715719063545152,0
"Royce O'Neale","UTA",54,1695,44,0,16,6,0,0,9,0.05161290322580645,0.14814814814814814,0
"Desmond Bane","MEM",56,1691,108,22,35,12,2,0,10,0.04463208685162847,0.07954545454545454,0.005141388174807198
"Devonte' Graham","NOP",55,1688,107,15,28,5,3,0,15,0.045722713864306784,0.12280701754385964,0.006666666666666667
"Aaron Gordon","DEN",53,1683,151,0,69,22,1,0,16,0.112,0.15753424657534246,0.0053475935828877
