"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Kevin Durant","OKC",66,2546,501,44,195,48,1,0,57,0.1356401384083045,0.17727272727272728,0.002898550724637681
"Pau Gasol","LAL",65,2430,261,1,104,22,0,0,37,0.1041041041041041,0.10699588477366255,0
"Rudy Gay","MEM",65,2422,263,10,117,25,0,0,22,0.10094909404659189,0.11866125760649088,0
"Blake Griffin","LAC",66,2392,467,0,208,58,0,0,56,0.17747440273037543,0.17993079584775087,0
"John Wall","WAS",66,2386,401,2,188,48,0,0,36,0.18181818181818182,0.18951612903225806,0
"Marc Gasol","MEM",65,2371,317,0,138,27,0,0,34,0.16216216216216217,0.16448152562574495,0
"Brandon Jennings","MIL",66,2331,239,32,82,16,3,1,26,0.07148864592094197,0.10262828535669587,0.007692307692307693
"Russell Westbrook","OKC",66,2331,413,0,184,35,3,0,36,0.1318758815232722,0.1509433962264151,0.01507537688442211
"Josh Smith","ATL",66,2329,322,0,165,50,0,0,21,0.1356907894736842,0.14905149051490515,0
"LeBron James","MIA",62,2326,502,10,212,51,0,0,60,0.1593984962406015,0.17950889077053345,0
"Kobe Bryant","LAL",58,2232,451,36,171,43,6,1,50,0.12049012933968686,0.14528462192013594,0.02054794520547945
"Wesley Matthews","POR",66,2228,171,17,70,8,0,0,11,0.08484848484848485,0.14344262295081966,0
"Andre Iguodala","PHI",62,2209,196,0,81,9,4,3,19,0.12056737588652482,0.15851272015655576,0.020618556701030927
"DeMar DeRozan","TOR",63,2206,331,3,155,31,1,0,23,0.1517509727626459,0.1657754010695187,0.010752688172043012
"Jrue Holiday","PHI",65,2196,120,6,58,14,0,0,6,0.06605922551252848,0.08203677510608204,0
"Jeff Teague","ATL",66,2183,185,7,75,12,0,0,20,0.10204081632653061,0.12798634812286688,0
"Chris Paul","LAC",60,2180,302,38,63,13,7,1,66,0.07399577167019028,0.08665749656121045,0.0319634703196347
"Mike Conley","MEM",62,2174,158,12,48,12,2,0,28,0.06925207756232687,0.0855614973262032,0.012422360248447204
"Tyreke Evans","SAC",63,2162,258,9,122,27,0,0,17,0.12261306532663317,0.13616071428571427,0
"Kris Humphries","NJN",62,2162,278,0,112,20,0,0,38,0.14678899082568808,0.14678899082568808,0
"Antawn Jamison","CLE",65,2151,271,0,110,24,5,2,33,0.10150044130626655,0.12746234067207415,0.018518518518518517
"Kevin Love","MIN",55,2146,460,13,174,32,3,0,62,0.14700996677740863,0.1893362350380849,0.010526315789473684
"Luol Deng","CHI",54,2129,165,0,67,15,2,0,20,0.08529048207663782,0.11317567567567567,0.009216589861751152
"Brandon Knight","DET",66,2129,137,3,49,12,0,0,24,0.060794044665012405,0.09245283018867924,0
"Joe Johnson","ATL",60,2127,186,21,53,9,0,0,34,0.05435897435897436,0.08116385911179173,0
"Ty Lawson","DEN",61,2124,216,2,81,16,0,0,34,0.09735576923076923,0.1281645569620253,0
"David Lee","GSW",57,2121,280,1,140,35,0,0,17,0.13631937682570594,0.136986301369863,0
"Monta Ellis","MIL",58,2120,275,8,96,20,5,1,41,0.09017857142857143,0.10491803278688525,0.024390243902439025
"Marcin Gortat","PHX",66,2114,251,0,113,21,0,0,23,0.13124274099883856,0.13154831199068684,0
"Andrew Bynum","LAL",60,2112,338,0,165,40,0,0,24,0.1791530944625407,0.18013100436681223,0
"Paul Millsap","UTA",64,2100,255,1,120,28,0,0,21,0.1259181532004197,0.1301518438177874,0
"Tayshaun Prince","DET",63,2087,115,2,44,5,0,0,15,0.052568697729988054,0.06002728512960437,0
"Arron Afflalo","DEN",62,2086,247,32,89,18,7,1,18,0.12371134020618557,0.1621129326047359,0.030837004405286344
"Greg Monroe","DET",66,2082,272,1,132,27,0,0,17,0.1489841986455982,0.14915254237288136,0
"Dirk Nowitzki","DAL",62,2079,355,34,105,20,5,1,59,0.09795191451469279,0.11576626240352811,0.023148148148148147
"Gerald Wallace","NJN",58,2076,225,0,93,21,1,0,29,0.13333333333333333,0.16787003610108303,0.006622516556291391
"Al Jefferson","UTA",61,2075,177,0,90,23,0,0,10,0.08071748878923767,0.081008100810081,0
"Paul Pierce","BOS",61,2075,344,24,141,30,2,0,31,0.14257228315054835,0.1936813186813187,0.007272727272727273
"Dwight Howard","ORL",54,2070,572,0,238,58,0,0,77,0.26269315673289184,0.26473859844271413,0
"Luis Scola","HOU",66,2067,198,0,80,12,0,0,25,0.08368200836820083,0.08394543546694648,0
"Danny Granger","IND",62,2062,290,25,101,17,5,2,35,0.10311284046692606,0.14387464387464388,0.015337423312883436
"Tyson Chandler","NYK",62,2061,315,0,139,26,0,0,33,0.297008547008547,0.2982832618025751,0
"Jared Dudley","PHX",65,2020,164,0,73,20,4,2,15,0.11031518624641834,0.14989733059548255,0.018957345971563982
"Gordon Hayward","UTA",66,2015,232,18,76,19,0,0,41,0.1181959564541213,0.15702479338842976,0
"Chris Bosh","MIA",57,2007,279,2,136,26,1,0,14,0.14923747276688454,0.15419501133786848,0.027777777777777776
"Jason Terry","DAL",63,2000,111,12,35,7,2,1,16,0.04307334109429569,0.07099391480730223,0.00546448087431694
"Deron Williams","NJN",55,1999,305,14,106,21,14,6,35,0.11385199240986717,0.15056818181818182,0.04
"LaMarcus Aldridge","POR",55,1995,274,0,128,30,0,0,24,0.12295869356388088,0.12427184466019417,0
"Marco Belinelli","NOH",66,1966,129,5,45,12,2,0,20,0.0651872399445215,0.10344827586206896,0.006993006993006993
"Ryan Anderson","ORL",61,1964,171,7,70,16,4,0,14,0.09079754601226994,0.17994858611825193,0.009389671361502348
"Steve Nash","PHX",62,1962,142,27,18,5,2,0,39,0.03508771929824561,0.04215456674473068,0.013986013986013986
"Paul George","IND",66,1958,182,0,75,13,1,0,21,0.10826210826210826,0.16059957173447537,0.00425531914893617
"Rajon Rondo","BOS",53,1957,181,1,64,12,0,0,32,0.10256410256410256,0.10996563573883161,0
"DeMarcus Cousins","SAC",64,1950,373,1,176,47,0,0,34,0.15602836879432624,0.15798922800718132,0
"Carlos Boozer","CHI",66,1949,137,0,73,15,0,0,3,0.0811111111111111,0.08120133481646273,0
"James Harden","OKC",62,1946,369,11,156,29,11,0,21,0.21773142112125163,0.33620689655172414,0.036303630363036306
"Joakim Noah","CHI",64,1945,206,0,85,12,0,0,24,0.15097690941385436,0.1512455516014235,0
"Roy Hibbert","IND",65,1937,239,0,102,28,0,0,32,0.13746630727762804,0.13765182186234817,0
"David West","IND",66,1925,176,0,78,14,0,0,17,0.1,0.10116731517509728,0
"Tony Parker","SAS",60,1923,284,13,105,25,0,0,43,0.10824742268041238,0.11551155115511551,0
"Shawn Marion","DAL",63,1920,93,1,42,6,0,0,7,0.06158357771260997,0.06840390879478828,0
"Raymond Felton","POR",60,1906,124,11,42,9,0,0,19,0.06222222222222222,0.08898305084745763,0
"Landry Fields","NYK",66,1894,137,0,62,13,2,0,10,0.11347517730496454,0.14058956916099774,0.016260162601626018
"Darren Collison","IND",60,1878,153,11,48,10,0,0,28,0.0855614973262032,0.10278372591006424,0
