"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Bogdan Bogdanovic","SAC",78,2175,172,81,2,3,5,2,8,1,2,1,0,0,121
"Jimmy Butler","MIN",59,2164,78,39,2,5,4,6,4,7,2,5,0,0,307
"Eric Gordon","HOU",69,2154,116,52,3,1,4,5,4,3,3,4,0,0,188
"Derrick Favors","UTA",77,2153,164,93,12,9,11,5,8,0,3,1,0,1,175
"Jaylen Brown","BOS",70,2152,181,58,15,8,7,8,12,7,2,3,0,1,203
"T.J. Warren","PHX",65,2142,149,63,7,7,4,12,6,1,2,15,0,1,202
"Wesley Matthews","DAL",63,2131,140,62,2,3,2,1,22,4,11,8,0,2,127
"JJ Redick","PHI",70,2116,123,58,6,0,7,2,5,9,3,2,0,0,168
"Patty Mills","SAS",82,2107,128,44,6,2,5,1,33,4,6,8,0,1,158
"Denzel Valentine","CHI",77,2095,185,80,5,3,0,7,1,2,2,0,0,4,45
"Serge Ibaka","TOR",76,2093,209,96,15,6,14,8,1,1,4,6,0,3,94
"Jae Crowder","UTA",80,2090,187,86,8,4,10,5,5,3,3,6,0,1,119
"Jusuf Nurkic","POR",79,2088,247,110,22,51,27,16,5,4,6,5,1,6,277
"Dennis Schroder","ATL",67,2078,147,57,5,6,8,5,18,17,7,10,0,0,270
"Marcin Gortat","WAS",82,2075,175,80,13,27,28,2,7,21,3,0,0,2,185
"Al-Farouq Aminu","POR",69,2072,136,62,6,5,5,3,8,0,2,3,0,1,86
"Dragan Bender","PHX",82,2069,166,109,10,9,7,1,9,0,8,0,0,1,59
"Terry Rozier","BOS",80,2068,123,48,4,4,8,1,13,3,1,0,1,0,147
"Austin Rivers","LAC",61,2057,152,66,7,2,3,3,9,3,3,2,0,1,133
"Tony Snell","MIL",75,2053,115,58,3,4,1,3,2,0,1,0,0,2,40
"Tyler Johnson","MIA",72,2052,148,88,5,3,5,2,13,8,9,2,0,1,129
"Dennis Smith Jr.","DAL",69,2049,152,68,6,2,5,5,2,3,12,8,0,0,178
"Willie Cauley-Stein","SAC",73,2044,185,101,10,12,16,7,7,9,12,4,0,4,208
"Ish Smith","DET",82,2043,140,76,2,2,3,4,10,8,1,3,0,3,133
"Wayne Ellington","MIA",77,2041,94,56,3,1,1,1,2,1,1,0,0,0,59
"Clint Capela","HOU",74,2034,185,75,29,14,17,5,4,8,4,5,0,2,217
"Evan Turner","POR",79,2034,163,76,8,3,2,2,11,1,1,0,0,0,116
"Jonathon Simmons","ORL",69,2029,175,69,1,3,3,9,14,7,3,4,0,0,199
"De'Aaron Fox","SAC",73,2026,163,80,5,5,3,2,12,5,3,2,0,0,196
"Buddy Hield","SAC",80,2024,148,59,4,3,5,5,5,3,2,0,0,0,75
"Lauri Markkanen","CHI",68,2020,103,49,8,10,1,5,4,1,4,2,0,1,188
"Darren Collison","IND",69,2018,122,53,0,4,4,1,13,1,2,7,0,1,120
"Marvin Williams","CHA",78,2006,116,39,8,6,11,1,9,0,2,1,0,0,102
"Nicolas Batum","CHA",64,1981,72,22,6,4,5,1,4,2,0,2,0,0,116
"Kyle Anderson","SAS",74,1978,114,44,8,5,2,1,10,4,1,1,0,0,119
"Brandon Ingram","LAL",59,1975,162,85,5,3,5,12,4,0,1,7,0,1,237
"Joe Harris","BKN",78,1975,153,75,10,6,10,6,7,2,3,4,0,0,93
"Blake Griffin","DET",58,1970,139,47,6,12,9,6,15,11,2,8,1,4,319
"John Henson","MIL",76,1970,202,102,20,17,12,2,5,3,1,1,0,4,149
"Markieff Morris","WAS",73,1968,216,111,3,9,29,3,3,4,3,1,0,6,119
"Jeremy Lamb","CHA",80,1967,138,64,3,4,4,3,5,1,1,0,2,1,175
"Josh Jackson","PHX",77,1959,218,92,12,10,5,14,10,7,9,21,0,0,224
"Marco Belinelli","PHI",80,1947,91,38,6,6,4,1,6,0,0,1,1,1,150
