"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Miles Plumlee","ATL",55,918,79,39,11,3,11,1,0,2,3,1,0,2,48
"Jose Calderon","CLE",57,914,81,36,2,0,3,0,7,6,4,0,0,0,48
"Kevon Looney","GSW",66,910,106,46,12,4,4,5,2,1,1,1,0,0,64
"Sam Dekker","LAC",73,883,71,38,5,6,2,1,0,1,1,2,0,0,44
"Noah Vonleh","CHI",54,876,68,34,2,10,5,2,3,1,5,0,0,2,59
"Langston Galloway","DET",58,863,39,16,2,0,2,0,3,1,1,1,1,0,39
"Isaiah Thomas","LAL",32,862,58,26,0,2,3,0,7,3,2,7,0,0,117
"Malik Monk","CHA",63,853,60,33,1,0,3,1,5,2,0,0,0,1,46
"Tyrone Wallace","LAC",30,851,83,36,2,0,1,3,1,0,4,6,0,0,52
"Tim Frazier","WAS",59,838,97,44,0,6,2,3,9,7,5,1,0,0,59
"Michael Carter-Williams","CHA",52,835,99,42,1,2,5,3,20,1,0,2,0,0,106
"Paul Zipser","CHI",54,824,86,40,4,0,4,2,3,0,4,1,0,0,34
"Jason Terry","MIL",51,814,52,22,1,0,0,0,1,1,0,0,0,0,11
"Ekpe Udoh","UTA",63,810,105,60,7,9,7,0,4,1,2,1,0,1,60
"Jordan Bell","GSW",57,809,92,63,3,4,2,2,1,1,0,0,0,2,43
"Timothe Luwawu-Cabarrot","PHI",52,807,97,51,1,3,2,3,7,1,0,0,0,2,53
"Thabo Sefolosha","UTA",38,806,59,27,2,3,2,2,1,0,0,0,0,0,47
"Eric Moreland","DET",67,805,116,50,19,10,11,1,0,12,4,0,0,1,59
"Trey Burke","NYK",36,785,43,15,2,1,3,1,1,0,1,1,0,0,58
"Jawun Evans","LAC",48,778,97,48,2,2,0,1,19,3,2,3,1,0,66
"Sterling Brown","MIL",54,776,80,42,2,1,1,2,2,0,2,0,1,1,23
"Shane Larkin","BOS",54,775,58,20,4,2,0,0,11,5,1,1,0,0,59
"Terrance Ferguson","OKC",61,763,83,39,6,2,0,0,2,0,4,0,0,2,15
"Nene","HOU",52,758,123,48,14,7,12,1,3,2,4,4,0,3,81
"Richaun Holmes","PHI",48,746,97,48,17,6,2,2,1,0,0,1,0,2,48
"Jabari Parker","MIL",31,743,50,22,2,1,0,2,1,1,0,1,0,0,36
"Omri Casspi","GSW",53,742,71,33,5,3,2,3,1,4,1,0,0,0,59
"Quinn Cook","GSW",33,740,59,21,2,0,1,2,1,0,1,0,0,0,26
"Salah Mejri","DAL",61,729,121,55,16,10,7,1,4,11,9,3,0,1,80
"DeAndre Liggins","NOP",57,723,81,38,1,3,1,1,5,9,4,0,0,0,30
"Luke Babbitt","MIA",50,715,54,31,1,1,4,1,3,0,2,0,0,2,18
"Dwayne Bacon","CHA",53,713,46,22,3,0,0,0,1,0,1,0,0,1,25
"Matthew Dellavedova","MIL",38,712,67,24,3,1,4,3,5,4,0,0,0,1,36
"C.J. Williams","LAC",38,706,63,32,1,0,3,0,2,0,2,0,0,0,15
"Channing Frye","LAL",53,695,69,39,2,9,3,0,3,2,2,0,0,0,38
"Chandler Parsons","MEM",36,691,53,28,2,2,3,1,2,4,1,0,0,0,31
"Wayne Selden","MEM",35,691,59,19,3,0,2,5,3,0,1,0,0,0,48
"Mike James","NOP",36,686,48,22,0,1,1,1,5,0,1,3,0,0,66
"Jared Dudley","PHX",48,686,85,28,6,7,0,1,6,2,3,2,0,0,41
"Tyler Ennis","LAL",54,683,75,33,4,3,2,2,6,1,3,2,0,1,41
"Arron Afflalo","ORL",53,682,56,31,5,1,4,0,2,0,0,0,0,1,25
"Marreese Speights","ORL",52,675,106,58,5,7,3,4,0,19,13,0,1,1,73
"Cedi Osman","CLE",61,672,78,33,6,3,4,2,8,0,2,0,0,0,40
"Danilo Gallinari","LAC",21,671,30,12,3,2,0,0,2,5,2,3,1,0,80
"Zach LaVine","CHI",24,656,55,21,0,1,1,2,1,0,1,3,0,1,66
"Kobi Simmons","MEM",32,643,61,29,3,5,2,0,5,7,1,0,0,0,39
"Sean Kilpatrick","CHI",52,640,33,21,0,1,0,4,2,1,0,3,0,0,57
"Torrey Craig","DEN",39,629,63,36,1,2,0,2,4,1,2,2,0,2,32
"Cody Zeller","CHA",33,627,81,31,12,20,8,1,5,2,0,0,0,1,76
"JaVale McGee","GSW",65,616,91,45,11,6,3,3,0,0,3,0,0,3,44
"Terrence Ross","ORL",24,600,45,20,0,1,0,1,2,0,0,1,0,1,27
"Malik Beasley","DEN",62,583,36,19,0,0,0,1,6,3,0,0,0,0,32
"Cameron Payne","CHI",25,582,44,23,2,1,1,1,4,0,0,0,0,1,26
"Cheick Diallo","NOP",52,581,82,40,7,8,10,4,1,0,2,2,0,2,49
"Khem Birch","ORL",42,578,56,34,4,10,7,1,1,3,1,0,0,0,54
"Brandon Paul","SAS",64,576,58,25,1,4,0,0,9,9,5,1,0,0,59
"Alex Caruso","LAL",37,562,52,29,0,2,0,0,5,3,1,2,0,0,38
"Joe Young","IND",53,558,39,17,0,1,0,3,3,3,1,2,0,3,36
"Tarik Black","HOU",51,536,107,61,15,7,6,0,2,1,2,0,0,1,52
"Jonathan Isaac","ORL",27,535,48,31,3,6,1,0,1,5,2,1,0,1,37
"Joffrey Lauvergne","SAS",55,534,45,22,5,5,5,1,0,0,2,0,0,0,38
"Nik Stauskas","BKN",41,523,24,19,0,1,0,0,2,0,0,0,1,0,25
"Abdel Nader","BOS",48,522,45,26,0,1,0,0,3,0,1,0,0,0,31
"Justin Anderson","PHI",38,519,54,26,3,2,1,1,1,4,2,1,0,1,31
"Tyler Cavanaugh","ATL",39,518,61,25,12,5,3,1,0,4,5,0,0,1,23
"Ivan Rabb","MEM",36,516,55,42,0,9,2,1,2,0,0,0,0,0,39
"Raul Neto","UTA",41,498,38,14,0,0,1,1,6,4,1,1,0,0,44
"Willy Hernangomez","CHA",48,494,64,30,7,10,5,1,1,0,4,0,0,0,81
"Al Jefferson","IND",36,484,66,43,3,1,1,0,0,2,2,1,0,0,33
"Kyle Collinsworth","DAL",32,480,44,15,4,3,0,1,2,0,0,2,0,0,32
"Damyean Dotson","NYK",44,474,34,18,0,1,1,1,3,1,0,1,0,0,22
"Nerlens Noel","DAL",29,472,59,26,6,5,4,0,3,2,3,0,0,0,41
"Kenneth Faried","DEN",32,461,51,25,5,5,8,0,1,6,5,1,0,1,53
"TJ Leaf","IND",53,459,45,28,3,2,0,0,0,1,2,3,0,0,18
"DeAndre' Bembry","ATL",26,455,38,19,0,2,1,0,6,0,0,2,0,0,33
"Dorian Finney-Smith","DAL",21,448,43,20,0,1,2,2,1,1,1,0,0,0,13
"Willie Reed","DET",42,428,56,34,4,8,2,2,1,10,5,2,0,1,48
"Dwight Buycks","DET",29,427,39,18,1,1,1,1,1,2,0,1,0,0,43
"Isaiah Canaan","PHX",20,422,36,10,0,0,0,0,4,2,3,3,0,0,41
"Derrick Rose","MIN",25,419,16,9,1,0,0,2,2,0,0,2,0,0,31
"Shabazz Muhammad","MIL",43,418,30,12,5,2,0,1,1,2,0,0,0,0,36
"Lucas Nogueira","TOR",49,418,49,24,5,4,3,3,0,0,3,1,0,2,27
"Ivica Zubac","LAL",43,410,47,28,3,4,4,1,0,0,3,0,0,0,45
"Damion Lee","ATL",15,404,25,12,1,2,0,1,4,1,0,1,0,0,29
"Danuel House Jr.","PHX",23,403,23,10,0,3,1,0,2,0,3,2,0,0,25
"Ramon Sessions","WAS",28,392,29,12,1,2,0,1,5,0,0,1,0,0,46
"Ron Baker","NYK",29,385,33,13,0,3,0,0,2,0,0,1,0,0,20
"Shaquille Harrison","PHX",23,384,42,23,1,1,0,0,3,0,0,3,0,0,36
"Brandan Wright","HOU",28,381,32,22,2,4,1,0,0,0,0,0,0,0,26
"Johnny O'Bryant III","CHA",36,379,45,21,7,3,4,0,2,4,2,0,0,1,26
"Myke Henry","MEM",20,378,28,12,0,1,0,0,0,0,0,1,0,0,9
"Mike Conley","MEM",12,373,24,10,0,0,0,1,5,1,0,1,0,0,58
"Timofey Mozgov","BKN",31,359,39,17,6,2,8,1,0,1,4,0,0,4,35
"Emeka Okafor","NOP",26,353,30,15,5,3,3,0,0,1,0,0,0,0,21
"Jahlil Okafor","BKN",28,353,51,37,4,4,3,0,2,0,1,0,0,3,36
"JaKarr Sampson","SAC",22,344,48,23,4,2,2,0,3,1,0,0,0,0,19
"Boban Marjanovic","LAC",37,338,51,21,4,4,10,0,0,0,0,0,0,0,78
"Glenn Robinson III","IND",23,338,14,9,1,0,0,0,2,0,0,0,0,0,15
"Patrick Beverley","LAC",11,334,34,8,0,0,0,1,8,3,1,0,0,0,30
"Henry Ellenson","DET",38,329,22,11,4,2,1,0,0,0,0,0,0,0,21
"Luke Kornet","NYK",20,326,28,16,3,1,0,0,3,1,0,0,0,0,17
"Malachi Richardson","TOR",26,323,27,12,1,1,2,1,2,1,0,0,0,0,18
"Antonio Blakeney","CHI",19,314,19,8,1,0,0,1,1,1,0,0,0,1,25
"Troy Williams","NYK",21,307,34,15,2,2,0,1,1,0,0,0,0,0,21
"Ryan Arcidiacono","CHI",24,304,18,6,0,2,0,0,2,4,0,0,0,0,16
"Rodney McGruder","MIA",18,299,21,10,1,1,0,0,3,0,0,0,0,0,12
"Rodney Purvis","ORL",16,290,26,15,2,0,0,1,1,0,0,0,0,0,10
"Jason Smith","WAS",33,285,44,20,2,0,6,1,4,3,0,0,0,0,26
"Jordan Mickey","MIA",23,284,36,12,8,0,6,2,1,0,0,1,0,0,16
"Jamel Artis","ORL",15,279,11,6,0,1,0,1,1,0,0,1,0,0,11
"Juancho Hernangomez","DEN",25,277,25,14,0,2,1,0,1,1,1,0,0,0,13
"Iman Shumpert","CLE",14,276,22,10,0,0,0,0,4,0,0,0,0,1,14
"Jamil Wilson","LAC",15,274,34,22,1,1,1,0,0,2,0,0,0,2,8
"Tony Allen","NOP",22,272,49,22,2,0,2,2,3,0,0,0,0,0,17
"Meyers Leonard","POR",33,254,36,21,2,2,4,0,0,0,2,0,0,0,17
"Markelle Fultz","PHI",14,253,22,12,1,2,0,0,1,1,1,1,1,0,20
"Derrick Jones Jr.","MIA",20,245,24,13,2,1,0,2,2,2,3,1,0,0,19
"Davon Reed","PHX",21,242,17,11,0,0,0,1,1,1,0,0,0,0,10
"Isaiah Hicks","NYK",18,239,45,23,3,0,5,1,2,0,2,0,0,0,15
"Briante Weber","MEM",18,237,28,9,1,0,1,0,3,1,1,0,0,0,14
"Guerschon Yabusele","BOS",33,235,23,11,2,0,2,0,0,0,0,0,0,0,14
"Dante Exum","UTA",14,235,20,10,0,0,1,2,1,2,0,1,0,0,26
"Aaron Harrison","DAL",9,233,27,13,2,0,0,1,2,0,2,1,0,0,13
"Travis Wear","LAL",17,228,30,17,0,1,0,0,1,0,0,0,0,0,8
"Alec Peters","PHX",20,225,13,9,0,2,0,0,0,2,0,1,0,0,10
"Marcus Georges-Hunt","MIN",42,224,32,15,1,0,0,1,2,2,0,1,0,0,17
"Gary Payton II","LAL",23,221,30,14,3,0,0,0,0,0,1,0,0,0,5
"Andrew Bogut","LAL",23,216,40,16,2,0,8,1,1,1,2,0,0,0,6
"Josh Magette","ATL",18,216,16,3,2,0,0,0,1,3,0,0,0,0,18
"Ante Zizic","CLE",32,214,30,20,4,3,2,0,1,0,0,0,0,0,23
"Rashad Vaughn","ORL",28,212,15,9,2,1,0,0,0,0,0,0,0,0,5
"Kawhi Leonard","SAS",9,210,9,4,0,0,1,1,0,0,0,0,0,0,27
"Andrew White III","ATL",15,209,12,7,1,0,0,1,2,0,1,0,0,0,6
"Brandon Jennings","MIL",14,205,11,3,0,0,1,0,1,0,0,0,0,0,12
"Quincy Pondexter","CHI",23,196,24,11,0,0,0,0,0,1,0,0,0,0,9
"MarShon Brooks","MEM",7,193,6,2,0,1,0,1,0,0,0,0,0,1,17
"Aaron Brooks","MIN",32,189,28,14,0,0,0,0,2,1,2,0,0,0,11
"Caleb Swanigan","POR",27,189,37,18,9,0,3,1,2,0,1,0,0,1,15
"Solomon Hill","NOP",12,187,22,16,1,0,0,1,2,0,0,1,0,0,8
"Omer Asik","CHI",18,182,20,13,0,1,2,0,1,1,1,0,0,1,13
"Jalen Jones","DAL",15,181,22,11,1,0,0,2,0,1,2,1,0,0,18
"Isaiah Whitehead","BKN",16,180,23,10,0,0,1,1,0,0,1,1,0,0,13
"Johnathan Motley","DAL",11,176,18,10,1,3,1,1,2,0,0,0,0,1,23
"Julyan Stone","CHA",23,175,21,14,0,1,0,0,3,0,0,0,0,0,6
"John Holland","CLE",24,174,10,8,0,1,0,0,1,2,0,0,0,0,13
"Richard Jefferson","DEN",20,163,11,6,0,1,0,0,0,0,2,0,0,0,7
"Dakari Johnson","OKC",31,161,27,14,1,1,2,0,2,0,0,0,0,2,16
"Jake Layman","POR",34,160,13,10,0,0,0,0,0,0,0,0,0,0,2
"Mirza Teletovic","MIL",10,159,14,6,0,0,0,0,0,2,0,0,0,0,4
"Damien Wilkins","IND",19,152,7,5,0,0,0,0,0,0,0,0,0,1,3
"Derrick Walton Jr.","MIA",16,147,7,5,0,0,0,0,1,0,0,0,0,0,6
"Darrell Arthur","DEN",19,141,22,14,0,0,3,0,0,0,1,0,0,0,3
"Kay Felder","DET",16,140,11,5,0,0,0,0,4,2,0,0,0,0,16
"Derrick White","SAS",17,139,8,6,0,0,0,0,0,1,0,0,0,0,14
"Lorenzo Brown","TOR",14,139,7,5,0,0,0,0,0,0,0,0,0,1,1
"Jon Leuer","DET",8,136,16,9,0,1,1,1,0,0,1,0,0,0,13
"Malcolm Miller","TOR",15,126,10,5,0,0,0,1,1,0,0,0,0,0,3
"Milton Doyle","BKN",10,125,13,2,1,0,0,0,1,0,0,0,0,0,8
"Zhou Qi","HOU",18,124,14,10,2,0,1,0,1,0,0,1,0,0,8
"Antonius Cleveland","ATL",17,122,23,12,2,0,0,0,0,1,0,0,0,0,5
"Nigel Hayes","SAC",9,122,8,5,0,0,0,0,0,0,0,0,0,0,3
"Georgios Papagiannis","POR",17,122,12,8,1,0,2,0,1,0,0,0,0,0,3
"James Webb III","BKN",10,120,10,5,1,0,0,1,0,0,0,0,0,0,1
"Xavier Rathan-Mayes","MEM",5,118,18,8,1,1,0,0,3,0,0,1,0,0,13
"Bobby Brown","HOU",20,115,6,4,0,0,0,0,0,0,0,0,0,0,1
"Jabari Bird","BOS",13,115,7,2,1,1,0,0,0,0,0,0,0,0,7
"Kadeem Allen","BOS",18,107,15,7,0,0,3,0,1,0,0,0,0,0,7
"Bruno Caboclo","SAC",12,106,8,4,1,2,0,0,0,0,1,0,0,0,5
"Alex Poythress","IND",25,104,16,7,1,0,1,0,1,0,1,0,0,0,2
"Jaylen Morris","ATL",6,98,2,0,0,0,0,0,1,1,0,0,0,0,2
"Brice Johnson","MEM",18,98,13,8,0,0,0,1,0,0,0,0,0,0,3
"Darrun Hilliard","SAS",14,95,7,5,0,0,0,0,1,0,0,0,0,0,5
"Chris McCullough","WAS",19,90,8,4,1,0,0,0,0,0,1,0,0,0,8
"Damian Jones","GSW",15,89,14,7,2,1,2,0,1,0,1,0,0,0,10
"Jack Cooley","SAC",7,87,13,6,3,5,1,0,1,0,1,0,0,0,18
"Josh Gray","PHX",5,86,8,5,1,0,0,0,0,0,0,0,0,0,8
"Wade Baldwin IV","POR",7,80,12,3,0,0,1,0,1,0,2,0,0,0,7
"Demetrius Jackson","PHI",15,80,7,4,1,0,0,0,0,0,0,0,0,0,2
"Furkan Korkmaz","PHI",14,80,12,7,2,0,0,0,0,0,0,0,0,0,4
"Okaro White","MIA",6,80,6,4,0,0,0,0,0,2,2,0,0,0,6
"Omari Johnson","MEM",4,75,6,4,0,0,0,0,0,0,0,0,0,0,0
"Nick Collison","OKC",15,75,7,4,0,0,2,0,0,1,0,0,0,0,10
"Marquis Teague","MEM",3,74,5,5,0,1,0,0,1,0,0,0,0,0,5
"Thomas Bryant","LAL",15,72,6,4,0,2,2,0,0,0,1,0,0,0,9
"Udonis Haslem","MIA",14,72,3,2,0,1,0,0,0,2,0,0,0,0,4
"D.J. Wilson","MIL",22,71,7,6,0,0,0,0,0,0,0,0,0,1,1
"Alan Williams","PHX",5,70,13,9,2,1,1,0,0,0,0,0,0,1,9
"Larry Drew II","NOP",10,70,6,2,1,0,0,0,0,0,0,0,0,0,2
"London Perrantes","CLE",14,66,6,3,1,0,0,0,0,0,0,0,0,0,2
"Andre Ingram","LAL",2,64,3,1,0,0,0,1,1,2,0,0,0,0,5
"Gian Clavell","DAL",7,64,8,3,0,1,0,0,2,1,0,0,0,0,6
"James Young","PHI",6,61,4,4,0,0,0,0,0,0,0,0,0,0,3
"Kyle Singler","OKC",12,59,4,1,0,1,0,0,0,0,1,0,0,0,8
"Alfonzo McKinnie","TOR",14,53,8,4,0,0,0,1,0,0,0,0,0,0,3
"Jordan Crawford","NOP",5,53,7,3,0,0,0,0,0,0,0,0,0,0,0
"Marshall Plumlee","MIL",8,52,10,4,3,1,0,0,0,0,0,0,0,0,10
"Cole Aldrich","MIN",21,49,11,2,1,0,1,0,0,0,0,0,0,0,3
"RJ Hunter","HOU",5,45,7,2,0,0,1,0,0,0,1,0,0,0,5
"Vander Blue","LAL",5,45,2,1,0,0,0,0,0,0,0,0,0,0,1
"Adreian Payne","ORL",5,43,6,2,2,4,1,0,0,0,0,0,0,0,5
"Joakim Noah","NYK",7,40,5,3,0,1,0,0,0,0,0,0,0,0,6
"Jonathan Gibson","BOS",4,40,5,4,0,0,0,0,1,0,0,0,0,0,3
"Jeff Withey","DAL",9,39,3,3,0,1,0,0,1,0,0,0,0,0,4
"Charles Cooke","NOP",13,38,0,0,0,0,0,0,1,0,0,0,0,0,2
"Joel Bolomboy","MIL",6,38,3,2,1,1,0,0,0,0,0,0,0,0,3
"Walter Lemon Jr.","NOP",5,35,5,4,0,0,0,0,1,0,0,0,0,0,4
"Aaron Jackson","HOU",1,34,4,1,0,1,0,0,0,0,0,0,0,0,3
"Jacob Wiley","BKN",5,33,4,2,0,0,0,0,0,0,0,0,0,0,1
"Matt Costello","SAS",4,32,7,6,1,1,0,0,0,0,0,0,0,0,1
"Georges Niang","UTA",9,32,1,1,0,0,0,0,0,0,0,0,0,0,2
"Markel Brown","HOU",4,31,6,4,0,0,0,0,1,0,0,0,0,0,1
"Ike Anigbogu","IND",11,30,1,0,0,0,0,0,0,0,0,0,0,0,3
"Tony Bradley","UTA",9,29,1,0,0,0,0,0,0,0,0,0,0,0,1
