"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Russell Westbrook","LAL",43,1517,3172,804,261,546,0.47802197802197804,43,148,0.2905405405405405,0.2905405405405405,153,118,404,78,51,0.2260536398467433,0.23137254901960785,0.6046511627906976,0.2132564841498559,0.5181851585014409,0.46902017291066284,0.50187265917603,12,46,0.08424908424908426,0,0,27.681078046041552
"Miles Bridges","CHA",41,1481,3094,802,225,394,0.5710659898477157,78,246,0.3170731707317073,0.32098765432098764,118,260,190,192,42,0.5777777777777777,0.6074766355140186,0.8205128205128205,0.384375,0.5436686320754718,0.534375,0.5666666666666667,22,32,0.08121827411167512,2,0.008130081300813009,22.45896919090124
"Jayson Tatum","BOS",40,1469,2929,1019,243,511,0.4755381604696673,109,333,0.32732732732732733,0.3293051359516616,206,186,300,183,144,0.38271604938271603,0.40086206896551724,0.5596330275229358,0.39454976303317535,0.5073224137931034,0.4816350710900474,0.5317460317460317,22,44,0.08610567514677103,3,0.009009009009009009,32.27272727272727
"Domantas Sabonis","IND",42,1464,2940,795,262,411,0.6374695863746959,32,102,0.3137254901960784,0.3137254901960784,175,330,194,96,0,0.6297709923664122,0.7236842105263158,1,0.19883040935672514,0.5429879142300195,0.6042884990253411,0.6442463533225283,68,31,0.07542579075425791,2,0.0196078431372549,22.17235188509874
"Tyrese Haliburton","SAC",43,1463,2988,591,134,270,0.4962962962962963,88,205,0.4292682926829268,0.43564356435643564,59,66,202,159,105,0.2462686567164179,0.2578125,0.6022727272727273,0.43157894736842106,0.497815,0.56,0.5828343313373253,12,23,0.08518518518518518,0,0,17.62962962962963
"Julius Randle","NYK",41,1459,2905,783,214,458,0.4672489082969432,71,227,0.31277533039647576,0.31277533039647576,142,148,280,177,36,0.34579439252336447,0.39361702127659576,0.8309859154929577,0.33138686131386863,0.5127357664233576,0.4678832116788321,0.5098039215686274,52,40,0.08733624454148471,0,0,27.44622841563163
"De'Aaron Fox","SAC",42,1431,2981,877,289,564,0.5124113475177305,39,154,0.2532467532467532,0.2532467532467532,182,118,460,72,45,0.2041522491349481,0.2048611111111111,0.6153846153846154,0.21448467966573817,0.48989129526462394,0.483983286908078,0.5321601941747572,2,31,0.0549645390070922,0,0,28.010704727921496
"Mikal Bridges","PHX",42,1426,2923,509,142,242,0.5867768595041323,61,157,0.3885350318471338,0.3885350318471338,42,224,60,177,6,0.7887323943661971,0.8296296296296296,0.9672131147540983,0.39348370927318294,0.5420216791979949,0.5852130325814536,0.6088516746411483,14,10,0.04132231404958678,2,0.012738853503184714,13.982790411800861
"Saddiq Bey","DET",42,1415,2905,630,120,277,0.4332129963898917,98,296,0.3310810810810811,0.3356164383561644,96,94,146,255,39,0.39166666666666666,0.44339622641509435,0.8673469387755102,0.5165794066317626,0.5204539682539683,0.46596858638743455,0.5032102728731942,28,29,0.10469314079422383,2,0.006756756756756757,20.74096568478591
"Franz Wagner","ORL",44,1414,2868,682,203,414,0.49033816425120774,54,152,0.35526315789473684,0.35526315789473684,114,186,220,138,24,0.458128078817734,0.4744897959183674,0.8518518518518519,0.26855123674911663,0.5166413427561837,0.5017667844522968,0.543859649122807,14,52,0.12560386473429952,0,0,21.46371463714637
