"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Russell Westbrook","LAL",40,1427,220,0,93,15,1,0,23,0.1284153005464481,0.15736040609137056,0.0070921985815602835
"Miles Bridges","CHA",38,1358,147,4,72,19,0,0,8,0.1130298273155416,0.17560975609756097,0
"Domantas Sabonis","IND",39,1351,218,0,95,26,0,0,27,0.17304189435336975,0.21017699115044247,0
"Julius Randle","NYK",38,1350,178,4,75,20,0,0,22,0.1079136690647482,0.15625,0
"Mikal Bridges","PHX",39,1325,46,0,24,10,0,0,4,0.06233766233766234,0.09917355371900827,0
"Tyrese Haliburton","SAC",39,1322,60,8,27,7,1,1,1,0.06222222222222222,0.10074626865671642,0.005494505494505495
"Jayson Tatum","BOS",36,1317,214,16,84,16,5,0,16,0.10645933014354067,0.1596958174904943,0.016129032258064516
"Gordon Hayward","CHA",39,1292,142,1,64,15,0,0,14,0.11347517730496454,0.16623376623376623,0
"Franz Wagner","ORL",40,1288,124,1,53,12,2,0,12,0.09769094138543517,0.12709832134292565,0.0136986301369863
"Saddiq Bey","DET",38,1279,106,4,41,8,3,0,10,0.07857142857142857,0.140893470790378,0.011152416356877323
"Marcus Smart","BOS",37,1271,98,0,36,11,3,1,14,0.0962962962962963,0.1592920353982301,0.01675977653631285
"De'Aaron Fox","SAC",37,1267,222,0,108,27,1,0,14,0.15117891816920942,0.18652849740932642,0.007042253521126761
"Chris Paul","PHX",39,1257,119,6,22,6,3,1,34,0.05555555555555555,0.06626506024096386,0.025423728813559324
"Fred VanVleet","TOR",33,1237,109,13,33,10,5,0,13,0.06451612903225806,0.1166077738515901,0.016339869281045753
"Kyle Lowry","MIA",36,1235,103,1,34,9,3,1,18,0.0880952380952381,0.18181818181818182,0.012875536480686695
"Kyle Kuzma","WAS",37,1225,100,0,44,12,0,0,12,0.08712871287128712,0.1506849315068493,0
"Dorian Finney-Smith","DAL",38,1223,47,0,19,1,0,0,5,0.05539358600583091,0.12751677852348994,0
"Seth Curry","PHI",35,1217,71,19,14,6,6,3,9,0.04640371229698376,0.058823529411764705,0.031088082901554404
"Stephen Curry","GSW",35,1215,168,21,39,7,16,2,15,0.07198952879581152,0.13541666666666666,0.03361344537815126
