"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Miles Bridges","CHA",58,2103,4381,1161,325,552,0.5887681159420289,106,344,0.3081395348837209,0.31268436578171094,193,382,268,267,51,0.5876923076923077,0.6141479099678456,0.839622641509434,0.38392857142857145,0.5465828089887641,0.5401785714285714,0.5795795795795796,28,42,0.07608695652173914,3,0.00872093023255814,22.530364372469638
"Julius Randle","NYK",57,2034,4075,1130,313,661,0.4735249621785174,93,304,0.3059210526315789,0.3059210526315789,225,228,398,228,51,0.36421725239616615,0.41155234657039713,0.8172043010752689,0.3150259067357513,0.5136295124481328,0.4689119170984456,0.5155535224153706,72,45,0.0680786686838124,0,0,27.77777777777778
"Jayson Tatum","BOS",56,2020,4038,1439,346,685,0.5051094890510949,154,468,0.32905982905982906,0.33047210300429186,285,282,410,252,210,0.407514450867052,0.42727272727272725,0.5454545454545454,0.40589765828274066,0.5116759130434783,0.5004336513443192,0.5495356037151703,32,63,0.09197080291970802,3,0.00641025641025641,31.920035149384884
"Mikal Bridges","PHX",58,2019,4128,775,228,362,0.6298342541436464,80,219,0.365296803652968,0.365296803652968,79,358,98,234,6,0.7850877192982456,0.8211009174311926,0.975,0.3769363166953528,0.5388397590361446,0.5989672977624785,0.6260096930533118,20,15,0.04143646408839779,3,0.0136986301369863,14.472252448313384
"Russell Westbrook","LAL",57,1970,4098,1042,335,704,0.4758522727272727,59,197,0.29949238578680204,0.29949238578680204,195,154,516,111,66,0.2298507462686567,0.2347560975609756,0.6271186440677966,0.21864594894561598,0.517619755826859,0.4700332963374029,0.5043604651162791,14,61,0.08664772727272728,1,0.005076142131979695,27.446715963462378
"DeMar DeRozan","CHI",55,1960,4017,1547,532,995,0.5346733668341709,34,99,0.3434343434343434,0.35051546391752575,381,228,836,90,12,0.21428571428571427,0.21714285714285714,0.8823529411764706,0.09049360146252285,0.46892431318681316,0.5329067641681902,0.6008634222919937,14,61,0.061306532663316586,1,0.010101010101010102,31.49977548271217
"Saddiq Bey","DET",58,1950,3999,925,168,386,0.43523316062176165,149,431,0.345707656612529,0.35141509433962265,142,138,198,393,54,0.4107142857142857,0.4726027397260274,0.8791946308724832,0.5275397796817626,0.519074504950495,0.4791921664626683,0.5179775280898876,44,34,0.08808290155440414,3,0.0069605568445475635,21.091865818899365
"Fred VanVleet","TOR",50,1920,3825,1080,162,366,0.4426229508196721,201,501,0.40119760479041916,0.4044265593561368,153,70,254,360,243,0.21604938271604937,0.21739130434782608,0.5970149253731343,0.5778546712802768,0.49306866279069766,0.5346020761245674,0.5701284796573876,2,30,0.08196721311475409,5,0.00998003992015968,24.102100745425794
"Franz Wagner","ORL",60,1918,3935,935,279,551,0.5063520871143375,77,213,0.3615023474178404,0.3615023474178404,146,288,270,192,39,0.5161290322580645,0.5294117647058824,0.8311688311688312,0.2787958115183246,0.5201773560209424,0.5163612565445026,0.5558858501783591,14,75,0.13611615245009073,0,0,21.194299932142048
"Chris Paul","PHX",58,1916,3918,866,265,485,0.5463917525773195,60,182,0.32967032967032966,0.3333333333333333,156,58,472,75,105,0.10943396226415095,0.11026615969581749,0.4166666666666667,0.272863568215892,0.4558514328808446,0.5322338830584707,0.5734312416555407,4,11,0.02268041237113402,1,0.005494505494505495,20.43829296424452
"Tyrese Haliburton","IND",55,1912,3907,810,178,361,0.4930747922437673,118,283,0.4169611307420495,0.4229390681003584,100,86,270,207,147,0.24157303370786518,0.2529411764705882,0.5847457627118644,0.4394409937888199,0.4964491379310345,0.5512422360248447,0.5804347826086956,16,27,0.07479224376731301,2,0.007067137809187279,18.494234682342302
"Dorian Finney-Smith","DAL",58,1906,3719,588,105,191,0.5497382198952879,111,298,0.3724832214765101,0.375,45,162,48,330,3,0.7714285714285715,0.826530612244898,0.990990990990991,0.6094069529652352,0.5772409650924025,0.5552147239263804,0.5653846153846154,14,20,0.10471204188481675,3,0.010067114093959731,13.934034416826004
"Stephen Curry","GSW",54,1881,3892,1393,201,395,0.5088607594936709,251,663,0.37858220211161386,0.38145896656534956,238,142,260,432,321,0.35323383084577115,0.35678391959798994,0.5737051792828686,0.6266540642722117,0.5132432664756447,0.5458412098298677,0.5942658557775847,4,29,0.07341772151898734,6,0.00904977375565611,30.32036613272311
"Jalen Brunson","DAL",58,1861,3648,943,308,566,0.5441696113074205,67,180,0.37222222222222223,0.37222222222222223,126,146,470,159,42,0.237012987012987,0.238562091503268,0.7910447761194029,0.24128686327077747,0.4690366621983914,0.5475871313672922,0.5784919653893696,4,29,0.05123674911660778,0,0,22.22766217870257
"Harrison Barnes","SAC",55,1852,3830,934,177,347,0.5100864553314121,108,264,0.4090909090909091,0.4090909090909091,256,194,160,306,18,0.5480225988700564,0.5808383233532934,0.9444444444444444,0.4320785597381342,0.525496317512275,0.5548281505728314,0.623489932885906,20,36,0.1037463976945245,1,0.003787878787878788,19.312107831745294
"Anthony Edwards","MIN",53,1834,3793,1159,252,494,0.5101214574898786,163,459,0.355119825708061,0.3558951965065502,166,184,320,282,207,0.36507936507936506,0.37398373983739835,0.5766871165644172,0.48163693599160545,0.5551006827731093,0.5209863588667366,0.5526819923371648,12,34,0.06882591093117409,0,0,27.343749999999996
"Kyle Kuzma","WAS",55,1825,3671,897,234,439,0.5330296127562643,102,305,0.3344262295081967,0.3344262295081967,123,230,238,279,27,0.49145299145299143,0.5324074074074074,0.9117647058823529,0.4099462365591398,0.5004427321668911,0.5201612903225806,0.546285018270402,36,32,0.07289293849658314,1,0.003278688524590164,23.405299313052012
"Trae Young","ATL",53,1824,3760,1475,337,672,0.5014880952380952,158,413,0.38256658595641646,0.38349514563106796,327,86,588,108,366,0.12759643916913946,0.12951807228915663,0.22784810126582278,0.38064516129032255,0.5073440074906367,0.5290322580645161,0.5874294923448832,10,62,0.09226190476190477,7,0.01694915254237288,34.50887573964497
"Tyrese Maxey","PHI",51,1816,3587,862,250,503,0.4970178926441352,71,182,0.3901098901098901,0.39444444444444443,149,202,298,135,78,0.404,0.4089068825910931,0.6338028169014085,0.2656934306569343,0.5070387096774194,0.5204379562043796,0.5669761273209549,6,37,0.073558648111332,1,0.005494505494505495,20.53481331987891
"Patty Mills","BKN",58,1804,3706,775,88,201,0.43781094527363185,186,444,0.4189189189189189,0.4198645598194131,41,106,70,510,48,0.6022727272727273,0.6162790697674418,0.9139784946236559,0.6883720930232559,0.5305345496894409,0.5689922480620155,0.5829562594268477,4,14,0.06965174129353234,10,0.02252252252252252,17.296127014674045
"Dejounte Murray","SAS",52,1790,3703,1036,361,722,0.5,67,210,0.319047619047619,0.319047619047619,113,142,580,144,57,0.19667590027700832,0.2022792022792023,0.7164179104477612,0.22532188841201717,0.5054837446351932,0.4951716738197425,0.5211267605633803,20,43,0.05955678670360111,1,0.004761904761904762,26.541745730550286
"Karl-Anthony Towns","MIN",52,1783,3699,1269,343,598,0.5735785953177257,110,269,0.40892193308550184,0.40892193308550184,253,358,328,294,36,0.521865889212828,0.6067796610169491,0.8909090909090909,0.3102652825836217,0.5333602771362587,0.5859284890426759,0.6385237613751263,96,68,0.11371237458193979,1,0.0037174721189591076,27.25772223532186
"Nikola Vucevic","CHI",52,1763,3607,945,320,591,0.5414551607445008,80,252,0.31746031746031744,0.32,65,456,184,240,0,0.7125,0.8231046931407943,1,0.298932384341637,0.5077189060642093,0.5219454329774614,0.5358361774744027,86,26,0.043993231810490696,1,0.003968253968253968,24.59758551307847
"Domantas Sabonis","SAC",51,1761,3550,957,327,515,0.6349514563106796,35,112,0.3125,0.3125,198,402,252,105,0,0.6146788990825688,0.7178571428571429,1,0.17862838915470494,0.544466985645933,0.6052631578947368,0.6422818791946309,94,41,0.07961165048543689,2,0.017857142857142856,22.202970297029704
"Reggie Jackson","LAC",57,1759,3565,944,229,509,0.449901768172888,130,400,0.325,0.32663316582914576,96,96,362,237,153,0.2096069868995633,0.21145374449339208,0.6076923076923076,0.44004400440044006,0.4957842541436464,0.46644664466446645,0.48959417273673256,4,26,0.05108055009823183,2,0.005,27.408343868520863
"Devin Booker","PHX",51,1741,3600,1300,339,697,0.48637015781922527,134,363,0.3691460055096419,0.37119113573407203,220,272,406,267,135,0.40117994100294985,0.4146341463414634,0.664179104477612,0.3424528301886792,0.486609640831758,0.5094339622641509,0.5518423307626392,22,43,0.06169296987087518,3,0.008264462809917356,32.01295465869457
