"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Michael Finley","DAL",82,3444,325,2,128,22,3,0,39,0.07886815171583383,0.09175627240143369,0.011278195488721804
"Antoine Walker","BOS",81,3394,348,2,153,38,0,0,39,0.08337874659400545,0.1241883116883117,0
"Antawn Jamison","GSW",82,3393,534,14,213,53,2,0,72,0.10891590678824721,0.12054329371816638,0.00966183574879227
"Anthony Mason","MIA",80,3255,474,0,182,40,0,0,76,0.16605839416058393,0.16605839416058393,0
"Gary Payton","SEA",79,3244,354,35,110,34,1,0,64,0.06654676258992806,0.07885304659498207,0.003663003663003663
"Shareef Abdur-Rahim","VAN",81,3241,531,56,204,48,0,0,58,0.14206128133704735,0.14868804664723032,0
"Jerry Stackhouse","DET",80,3211,810,37,254,45,7,1,143,0.12184873949579832,0.15273601924233313,0.014613778705636743
"Kevin Garnett","MIN",81,3203,467,3,194,46,0,0,61,0.11953173136167591,0.1245985870263327,0
"Steve Francis","HOU",80,3194,438,34,152,34,1,1,66,0.11443530291697832,0.15184815184815184,0.002976190476190476
"Mike Bibby","VAN",82,3191,188,10,45,6,2,0,44,0.03923205342237062,0.04939626783754116,0.006968641114982578
"Baron Davis","CHH",82,3189,337,2,133,29,0,0,48,0.12535344015080113,0.16899618805590852,0
"Reggie Miller","IND",81,3183,348,44,80,11,5,2,73,0.06810897435897435,0.10243277848911651,0.010706638115631691
"Tim Duncan","SAS",82,3174,662,0,285,52,0,0,72,0.17388651616839537,0.17679900744416874,0
"Ray Allen","MIL",82,3131,392,32,137,32,1,0,57,0.09752650176678446,0.1446673706441394,0.002136752136752137
"Paul Pierce","BOS",82,3124,738,9,299,65,11,4,86,0.17673888255416192,0.2193690388848129,0.028132992327365727
"Dirk Nowitzki","DAL",82,3123,538,24,208,49,26,4,39,0.1638655462184874,0.2047244094488189,0.06310679611650485
"David Wesley","CHH",82,3105,339,39,95,13,2,0,57,0.07331821617535904,0.08936970837253057,0.007692307692307693
"Tracy McGrady","ORL",77,3094,587,0,277,60,0,0,47,0.14270994332818135,0.156056338028169,0
"Jason Terry","ATL",82,3091,358,32,110,21,2,0,59,0.07681755829903979,0.09632224168126094,0.006329113924050633
"Jason Kidd","PHX",77,3067,403,43,104,21,3,0,80,0.0904480135249366,0.10970464135021098,0.01276595744680851
"Latrell Sprewell","NYK",77,3013,351,3,149,33,0,0,41,0.11161048689138577,0.12416666666666666,0
"Cuttino Mobley","HOU",79,3006,474,40,155,33,1,0,76,0.11667913238593867,0.1429889298892989,0.003952569169960474
"Jamal Mashburn","CHH",76,2992,364,9,133,23,0,0,56,0.08878504672897196,0.11000827129859388,0
"Vince Carter","TOR",75,2980,502,19,174,27,2,1,79,0.0975609756097561,0.12375533428165007,0.005025125628140704
"Allen Iverson","PHI",71,2976,719,42,269,45,5,1,85,0.13424791768740812,0.15540150202195263,0.016129032258064516
"Juwan Howard","DAL",81,2976,383,2,164,33,0,0,43,0.12157153446997776,0.12184249628528974,0
"Jalen Rose","IND",72,2948,344,6,121,27,1,0,60,0.0912490650710546,0.10413080895008606,0.005714285714285714
"Rasheed Wallace","POR",77,2943,320,2,133,25,0,0,39,0.10342146189735614,0.11832740213523131,0
"Doug Christie","SAC",81,2941,312,54,89,16,0,0,47,0.10336817653890824,0.14566284779050737,0
"Shaquille O'Neal","LAL",74,2922,972,0,404,115,0,0,140,0.23611922852133255,0.2363955529549444,0
"Elton Brand","CHI",74,2910,472,0,199,47,0,0,62,0.14546783625730994,0.1457875457875458,0
"Peja Stojakovic","SAC",75,2905,312,20,108,21,0,0,48,0.08463949843260188,0.11790393013100436,0
"Karl Malone","UTA",81,2891,676,6,281,67,0,0,88,0.1802437459910199,0.18082368082368083,0
