"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Damian Lillard","POR",82,3167,321,24,127,25,4,0,28,0.09397417503586801,0.14317925591882752,0.007889546351084813
"Kevin Durant","OKC",81,3119,750,34,286,52,6,3,93,0.17485029940119762,0.2145536384096024,0.017804154302670624
"Monta Ellis","MIL",82,3076,374,4,153,27,4,2,42,0.100383631713555,0.1239870340356564,0.012121212121212121
"DeMar DeRozan","TOR",82,3013,427,5,196,37,1,0,32,0.14162473040977713,0.15433070866141732,0.008264462809917356
"Kobe Bryant","LAL",78,3013,625,18,214,41,17,2,87,0.12955692652832304,0.15723732549595884,0.04028436018957346
"James Harden","HOU",78,2985,792,29,337,62,18,5,54,0.21846153846153846,0.29928952042628776,0.036072144288577156
"Stephen Curry","GSW",78,2983,291,32,90,18,9,1,37,0.06743869209809264,0.10465116279069768,0.014802631578947368
"Paul George","IND",79,2972,274,9,103,24,5,2,36,0.08585055643879173,0.13104325699745548,0.01059322033898305
"Klay Thompson","GSW",82,2936,157,7,61,3,1,1,15,0.04908946951702296,0.08276797829036635,0.0019011406844106464
"Jrue Holiday","PHI",78,2926,242,6,103,21,0,0,26,0.07518248175182482,0.0917186108637578,0
"O.J. Mayo","DAL",82,2913,233,11,85,19,5,0,28,0.0820419325432999,0.11440107671601615,0.014124293785310734
"David Lee","GSW",79,2908,320,0,158,32,0,0,18,0.12286158631415241,0.12324492979719189,0
"Luol Deng","CHI",75,2903,282,2,120,26,0,0,33,0.10109519797809605,0.12578616352201258,0
"Brandon Jennings","MIL",80,2897,281,15,101,22,8,5,36,0.08201655379984951,0.11676300578034682,0.017241379310344827
"Evan Turner","PHI",82,2892,208,5,81,13,0,0,27,0.07225691347011597,0.0841995841995842,0
"LeBron James","MIA",76,2877,535,13,212,53,2,1,74,0.14134742404227213,0.16838760921366164,0.00784313725490196
"Russell Westbrook","OKC",82,2861,575,0,245,49,6,1,59,0.1445852534562212,0.17120894479385046,0.019672131147540985
"Kemba Walker","CHA",82,2859,371,17,149,37,5,1,40,0.11323529411764706,0.1455078125,0.01488095238095238
"Deron Williams","BKN",78,2842,369,27,108,23,12,3,60,0.09852216748768473,0.14173228346456693,0.02631578947368421
"Nicolas Batum","POR",73,2807,210,15,69,15,10,2,23,0.08826815642458101,0.15575620767494355,0.022123893805309734
"Marc Gasol","MEM",80,2796,316,0,133,26,0,0,38,0.1362704918032787,0.13825363825363826,0
"LaMarcus Aldridge","POR",74,2790,348,4,166,38,1,0,24,0.11541119557705598,0.11592178770949721,0.06666666666666667
"Andre Iguodala","DEN",80,2779,270,0,111,26,4,1,33,0.1189245087900724,0.16395864106351551,0.013793103448275862
"Chandler Parsons","HOU",76,2758,155,1,75,18,2,1,9,0.07723169508525576,0.12479201331114809,0.005050505050505051
"Mike Conley","MEM",80,2757,282,17,97,30,1,0,49,0.09722222222222222,0.13585434173669467,0.003401360544217687
"Al Horford","ATL",74,2757,208,0,93,23,0,0,23,0.08230088495575222,0.08274021352313167,0
"Dwight Howard","LAL",76,2722,721,0,276,59,0,0,116,0.26796116504854367,0.26953125,0
"Greg Monroe","DET",81,2688,392,0,190,48,0,0,30,0.15833333333333333,0.1588628762541806,0
"Rudy Gay","TOR",75,2687,295,16,127,28,1,1,26,0.09467455621301775,0.1163003663003663,0.0038461538461538464
"Greivis Vasquez","NOH",78,2685,154,3,65,21,3,2,19,0.06433301797540208,0.07995079950799508,0.012295081967213115
"Josh Smith","ATL",76,2683,321,0,163,48,0,0,22,0.12567463377023902,0.14872262773722628,0
"JR Smith","NYK",80,2678,311,5,119,27,3,1,44,0.09084139985107967,0.13149171270718232,0.00684931506849315
