"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Gilbert Arenas","WAS",80,3384,799,43,318,64,8,2,81,0.1690871369294606,0.2301013024602026,0.014652014652014652
"LeBron James","CLE",79,3361,814,35,360,107,1,0,81,0.1738083774675012,0.2121390689451974,0.002631578947368421
"Joe Johnson","ATL",82,3340,330,46,113,35,1,1,45,0.07739307535641547,0.10152740341419586,0.002777777777777778
"Antawn Jamison","WAS",82,3289,297,0,103,27,6,2,52,0.06925031766200762,0.0860484544695071,0.015915119363395226
"Kobe Bryant","LAL",80,3277,819,33,287,67,12,1,122,0.12437603993344426,0.15306666666666666,0.022684310018903593
"Shawn Marion","PHX",81,3263,298,9,131,29,0,0,27,0.08929788684389911,0.11129991503823279,0
"Lamar Odom","LAL",80,3221,313,0,131,35,0,0,43,0.12830558276199805,0.16253101736972705,0
"Ricky Davis","MIN",78,3207,345,13,119,25,3,1,56,0.08714285714285715,0.10294117647058823,0.012295081967213115
"Mike Bibby","SAC",82,3167,403,24,115,24,4,0,80,0.08056872037914692,0.11782786885245902,0.007984031936127744
"Morris Peterson","TOR",82,3140,294,10,115,24,10,3,27,0.10469011725293133,0.15561569688768606,0.02197802197802198
"Pau Gasol","MEM",80,3135,617,0,243,45,0,0,89,0.17456896551724138,0.17608695652173914,0
"Michael Redd","MIL",80,3130,571,30,199,46,6,1,87,0.12246117084826762,0.15843949044585987,0.014354066985645933
"Allen Iverson","PHI",72,3103,829,8,332,66,11,2,97,0.16356700047687173,0.1780160857908847,0.04741379310344827
"Elton Brand","LAC",79,3099,568,0,248,68,0,0,70,0.15356037151702787,0.15384615384615385,0
"Dirk Nowitzki","DAL",81,3089,598,43,212,54,9,2,81,0.12781954887218044,0.14610613370089592,0.03237410071942446
"Andre Iguodala","PHI",82,3086,349,3,146,19,4,0,30,0.18315018315018314,0.2222222222222222,0.024691358024691357
"Paul Pierce","BOS",79,3085,812,42,330,71,2,0,88,0.1926871735345328,0.2345415778251599,0.006329113924050633
"Richard Jefferson","NJN",78,3059,580,8,258,56,1,0,54,0.2144039735099338,0.25318940137389595,0.005291005291005291
"Ray Allen","SEA",78,3022,359,39,119,27,5,1,48,0.07769423558897243,0.12673056443024494,0.0076103500761035
"Dwight Howard","ORL",82,3021,598,0,272,65,0,0,61,0.25,0.2504604051565378,0
"Cuttino Mobley","LAC",79,2979,273,19,86,19,0,0,51,0.08,0.10361445783132531,0
"Jason Kidd","NJN",80,2976,244,30,60,11,6,1,43,0.06882168925964546,0.1073345259391771,0.015
