Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
199,Taurean Prince\princta02,PF,27,MIN,22,6,338,32,89,.360,17,61,.279,15,28,.536,.455,12,17,.706,11,34,45,17,10,5,11,33,93
200,Jae'Sean Tate\tateja01,SF,26,HOU,23,23,649,113,225,.502,17,62,.274,96,163,.589,.540,43,55,.782,48,103,151,63,18,16,46,76,286
201,Dāvis Bertāns\bertada01,PF,29,WAS,15,0,233,23,80,.288,16,64,.250,7,16,.438,.388,14,15,.933,3,21,24,7,4,1,6,25,76
202,Timothé Luwawu-Cabarrot\luwawti01,SF,26,ATL,18,4,173,23,57,.404,16,40,.400,7,17,.412,.544,5,6,.833,1,19,20,9,3,3,3,20,67
203,Kelan Martin\martike03,SF,26,IND,19,1,319,53,127,.417,16,55,.291,37,72,.514,.480,7,11,.636,12,24,36,18,10,7,13,26,129
204,Pascal Siakam\siakapa01,PF,27,TOR,13,13,434,92,197,.467,16,48,.333,76,149,.510,.508,48,63,.762,25,67,92,48,9,11,28,45,248
205,Daniel Theis\theisda01,C,29,HOU,17,15,388,54,110,.491,16,51,.314,38,59,.644,.564,18,24,.750,18,64,82,14,7,9,21,42,142
206,Ziaire Williams\willizi02,SF,20,MEM,19,0,339,35,99,.354,16,65,.246,19,34,.559,.434,4,6,.667,5,23,28,12,8,6,11,33,90
207,Scottie Barnes\barnesc01,PF,20,TOR,22,22,784,135,276,.489,15,42,.357,120,234,.513,.516,47,65,.723,63,114,177,71,26,17,45,61,332
208,PJ Dozier\doziepj01,SG,25,DEN,18,0,340,36,99,.364,15,48,.313,21,51,.412,.439,10,13,.769,14,49,63,29,11,6,13,33,97
209,Josh Hart\hartjo01,PF,26,NOP,19,18,572,78,160,.488,15,46,.326,63,114,.553,.534,39,46,.848,19,100,119,73,18,7,26,53,210
210,De'Andre Hunter\huntede01,SF,24,ATL,11,11,306,50,111,.450,15,38,.395,35,73,.479,.518,4,10,.400,4,26,30,7,7,3,14,32,119
211,Romeo Langford\langfro01,SG,22,BOS,19,0,351,34,82,.415,15,36,.417,19,46,.413,.506,9,12,.750,16,41,57,10,8,2,10,25,92
212,Jaden McDaniels\mcdanja02,PF,21,MIN,21,11,528,53,132,.402,15,56,.268,38,76,.500,.458,7,11,.636,34,59,93,17,20,12,21,79,128
213,Chimezie Metu\metuch01,C,24,SAC,13,10,301,43,109,.394,15,56,.268,28,53,.528,.463,11,15,.733,14,73,87,14,11,12,14,15,112
214,Frank Ntilikina\ntilila01,PG,23,DAL,17,0,237,28,80,.350,15,44,.341,13,36,.361,.444,12,12,1.000,3,29,32,23,12,3,11,18,83
215,Torrey Craig\craigto01,SF,31,IND,25,1,393,52,106,.491,14,51,.275,38,55,.691,.557,17,22,.773,30,52,82,22,11,7,15,41,135
216,Caleb Martin\martica02,SF,26,MIA,22,1,416,57,123,.463,14,45,.311,43,78,.551,.520,19,32,.594,17,48,65,19,20,11,12,31,147
217,Evan Mobley\mobleev01,PF,20,CLE,21,21,711,114,245,.465,14,42,.333,100,203,.493,.494,51,65,.785,37,134,171,55,19,38,36,44,293
218,Chuma Okeke\okekech01,PF,23,ORL,19,0,404,50,131,.382,14,60,.233,36,71,.507,.435,23,27,.852,12,66,78,22,14,6,15,25,137
219,Kelly Olynyk\olynyke01,C,30,DET,10,1,230,45,98,.459,14,41,.341,31,57,.544,.531,21,35,.600,13,40,53,23,14,7,15,27,125
220,Payton Pritchard\pritcpa01,SG,24,BOS,20,0,188,18,65,.277,14,45,.311,4,20,.200,.385,5,5,1.000,6,17,23,28,1,2,13,15,55
221,Dean Wade\wadede01,PF,25,CLE,16,11,358,29,72,.403,14,47,.298,15,25,.600,.500,5,6,.833,12,40,52,21,11,1,5,32,77
222,Kenrich Williams\willike04,SF,27,OKC,20,0,410,55,119,.462,14,40,.350,41,79,.519,.521,17,30,.567,20,50,70,36,17,5,15,35,141
223,Kent Bazemore\bazemke01,SF,32,LAL,18,13,350,27,81,.333,13,43,.302,14,38,.368,.414,10,13,.769,4,31,35,15,16,5,8,42,77
224,Aaron Holiday\holidaa01,PG,25,WAS,24,7,419,57,129,.442,13,37,.351,44,92,.478,.492,13,17,.765,4,34,38,48,14,8,26,39,140
225,Isaiah Joe\joeis01,SG,22,PHI,14,0,136,18,49,.367,13,38,.342,5,11,.455,.500,4,4,1.000,2,15,17,9,2,0,6,11,53
226,Kira Lewis Jr.\lewiski01,PG,20,NOP,23,0,332,57,142,.401,13,57,.228,44,85,.518,.447,9,11,.818,9,30,39,46,10,1,25,17,136
227,Tre Mann\manntr01,PG,20,OKC,15,2,228,40,97,.412,13,37,.351,27,60,.450,.479,13,18,.722,7,20,27,4,7,5,12,20,106
228,Ben McLemore\mclembe01,SG,28,POR,10,0,113,17,42,.405,13,36,.361,4,6,.667,.560,5,5,1.000,3,5,8,7,2,0,5,7,52
229,Gary Payton II\paytoga02,PG,29,GSW,23,1,339,63,93,.677,13,32,.406,50,61,.820,.747,19,29,.655,25,50,75,18,31,3,12,40,158
230,Austin Rivers\riverau01,SG,29,DEN,18,3,314,27,78,.346,13,48,.271,14,30,.467,.429,3,6,.500,7,19,26,14,9,2,10,22,70
231,Lou Williams\willilo02,PG,35,ATL,20,0,270,46,121,.380,13,36,.361,33,85,.388,.434,22,26,.846,6,23,29,26,11,2,18,19,127
232,Oshae Brissett\brissos01,SF,23,IND,15,0,201,26,57,.456,12,28,.429,14,29,.483,.561,3,11,.273,9,31,40,7,4,4,11,15,67
233,Cory Joseph\josepco01,PG,30,DET,22,4,473,49,115,.426,12,39,.308,37,76,.487,.478,34,41,.829,7,33,40,76,18,5,30,34,144
234,Larry Nance Jr.\nancela02,PF,29,POR,25,0,507,63,117,.538,12,39,.308,51,78,.654,.590,18,29,.621,35,88,123,34,22,9,19,35,156
235,Aaron Nesmith\nesmiaa01,SF,22,BOS,20,0,199,23,65,.354,12,45,.267,11,20,.550,.446,4,4,1.000,6,24,30,8,5,0,8,27,62
236,Isaac Okoro\okorois01,SF,21,CLE,18,14,518,47,131,.359,12,55,.218,35,76,.461,.405,26,35,.743,26,47,73,33,17,5,19,42,132
237,Sterling Brown\brownst02,SG,26,DAL,20,0,256,22,62,.355,11,40,.275,11,22,.500,.444,4,4,1.000,14,50,64,15,9,3,14,24,59
238,Rodney Hood\hoodro01,SF,29,MIL,18,0,267,17,59,.288,11,40,.275,6,19,.316,.381,9,9,1.000,5,30,35,14,5,1,2,17,54
239,Corey Kispert\kispeco01,SF,22,WAS,23,0,279,32,78,.410,11,46,.239,21,32,.656,.481,11,14,.786,10,31,41,12,5,3,8,10,86
240,Raul Neto\netora01,PG,29,WAS,24,0,470,71,155,.458,11,40,.275,60,115,.522,.494,28,39,.718,4,43,47,61,18,1,30,38,181
241,Collin Sexton\sextoco01,SG,23,CLE,11,11,316,68,151,.450,11,45,.244,57,106,.538,.487,29,39,.744,13,23,36,23,10,0,31,25,176
242,Matisse Thybulle\thybuma01,SG,24,PHI,17,5,427,40,77,.519,11,37,.297,29,40,.725,.591,6,6,1.000,9,34,43,19,33,22,17,37,97
243,LaMarcus Aldridge\aldrila01,C,36,BRK,23,6,542,138,242,.570,10,29,.345,128,213,.601,.591,33,41,.805,33,101,134,20,7,25,15,38,319
244,Chris Boucher\bouchch01,PF,29,TOR,22,0,301,52,131,.397,10,54,.185,42,77,.545,.435,24,35,.686,30,57,87,7,11,17,12,31,138
245,Trey Burke\burketr01,PG,29,DAL,13,0,141,31,68,.456,10,24,.417,21,44,.477,.529,10,11,.909,0,9,9,18,5,0,12,9,82
246,Amir Coffey\coffeam01,SG,24,LAC,16,3,207,14,40,.350,10,30,.333,4,10,.400,.475,17,19,.895,3,23,26,11,1,2,5,13,55
247,JaMychal Green\greenja01,PF,31,DEN,22,4,324,46,113,.407,10,51,.196,36,62,.581,.451,14,18,.778,20,55,75,19,18,10,25,51,116
248,Javonte Green\greenja02,SF,28,CHI,23,12,474,48,97,.495,10,26,.385,38,71,.535,.546,18,24,.750,35,63,98,16,19,8,16,45,124
249,Talen Horton-Tucker\hortota01,SG,21,LAL,12,9,350,49,129,.380,10,44,.227,39,85,.459,.419,21,23,.913,8,54,62,33,12,8,19,40,129
250,Danuel House\houseda01,SF,28,HOU,16,1,233,25,74,.338,10,34,.294,15,40,.375,.405,17,19,.895,4,39,43,19,5,5,18,16,77
251,John Konchar\konchjo01,SG,25,MEM,22,0,339,36,66,.545,10,25,.400,26,41,.634,.621,3,8,.375,21,61,82,29,16,5,13,26,85
252,Mychal Mulder\muldemy01,PG,27,ORL,12,1,130,13,49,.265,10,34,.294,3,15,.200,.367,2,2,1.000,2,12,14,1,3,1,4,8,38
253,Eric Paschall\pascher01,PF,25,UTA,19,0,230,24,57,.421,10,36,.278,14,21,.667,.509,12,17,.706,13,25,38,14,2,3,10,16,70
254,Aleksej Pokusevski\pokusal01,PF,20,OKC,23,0,336,44,128,.344,10,55,.182,34,73,.466,.383,5,10,.500,24,71,95,28,9,11,28,26,103
255,Michael Porter Jr.\portemi01,SF,23,DEN,9,9,265,37,103,.359,10,48,.208,27,55,.491,.408,5,9,.556,9,50,59,17,10,2,12,16,89
256,Justin Robinson\robinju01,PG,24,MIL,17,0,198,18,57,.316,10,37,.270,8,20,.400,.404,2,2,1.000,2,11,13,21,8,0,11,17,48
257,Alperen Şengün\sengual01,C,19,HOU,22,2,395,63,129,.488,10,27,.370,53,102,.520,.527,54,77,.701,31,69,100,58,25,14,40,66,190
258,Dylan Windler\windldy01,SF,25,CLE,17,0,184,17,37,.459,10,24,.417,7,13,.538,.595,3,4,.750,7,24,31,18,3,2,8,19,47
259,DeAndre' Bembry\bembrde01,SF,27,BRK,23,8,462,58,101,.574,9,22,.409,49,79,.620,.619,9,19,.474,17,59,76,26,22,12,16,53,134
260,Chris Chiozza\chiozch01,PG,26,GSW,11,0,124,11,30,.367,9,22,.409,2,8,.250,.517,1,1,1.000,5,11,16,18,5,0,9,15,32
261,Anthony Davis\davisan02,C,28,LAL,24,24,858,230,439,.524,9,48,.188,221,391,.565,.534,109,151,.722,73,173,246,74,31,53,49,56,578
262,Blake Griffin\griffbl01,PF,32,BRK,17,17,369,34,107,.318,9,56,.161,25,51,.490,.360,16,23,.696,21,63,84,34,9,10,9,39,93
263,Maurice Harkless\harklma01,SF,28,SAC,16,14,327,25,65,.385,9,40,.225,16,25,.640,.454,8,11,.727,3,42,45,9,8,8,7,25,67
264,Kenyon Martin Jr.\martike04,SF,21,HOU,22,0,341,64,116,.552,9,31,.290,55,85,.647,.591,15,23,.652,14,54,68,20,9,10,10,24,152
265,Austin Reaves\reaveau01,SG,23,LAL,14,0,250,24,51,.471,9,30,.300,15,21,.714,.559,9,11,.818,4,22,26,13,3,2,10,24,66
266,Tony Snell\snellto01,SG,30,POR,19,3,230,13,40,.325,9,31,.290,4,9,.444,.438,1,1,1.000,2,26,28,12,4,3,4,17,36
267,Juan Toscano-Anderson\toscaju01,SF,28,GSW,23,1,378,48,88,.545,9,31,.290,39,57,.684,.597,16,24,.667,12,52,64,51,15,10,26,34,121
268,Troy Brown Jr.\browntr01,SF,22,CHI,16,0,169,23,54,.426,8,24,.333,15,30,.500,.500,7,11,.636,6,31,37,10,3,0,5,12,61
269,Serge Ibaka\ibakase01,C,32,LAC,11,3,154,17,47,.362,8,20,.400,9,27,.333,.447,5,8,.625,12,22,34,13,2,3,6,21,47
270,Markieff Morris\morrima02,PF,32,MIA,10,0,187,32,70,.457,8,22,.364,24,48,.500,.514,5,5,1.000,13,15,28,14,3,1,12,22,77
271,Delon Wright\wrighde01,SG,29,ATL,23,0,322,24,62,.387,8,21,.381,16,41,.390,.452,13,17,.765,18,47,65,49,16,3,10,12,69
272,Precious Achiuwa\achiupr01,C,22,TOR,21,17,556,71,184,.386,7,26,.269,64,158,.405,.405,19,35,.543,49,124,173,33,11,12,23,53,168
273,Bruce Brown\brownbr01,SF,25,BRK,21,14,476,60,133,.451,7,23,.304,53,110,.482,.477,9,13,.692,25,62,87,24,26,10,13,51,136
274,Dewayne Dedmon\dedmode01,C,32,MIA,25,7,392,53,96,.552,7,11,.636,46,85,.541,.589,28,36,.778,44,97,141,16,9,12,22,53,141
275,Gorgui Dieng\dienggo01,C,32,ATL,21,0,177,19,45,.422,7,21,.333,12,24,.500,.500,9,14,.643,21,51,72,15,5,6,11,26,54
276,Draymond Green\greendr01,PF,31,GSW,23,23,694,76,135,.563,7,22,.318,69,113,.611,.589,29,49,.592,27,156,183,174,32,23,72,60,188
277,Quentin Grimes\grimequ01,SG,21,NYK,12,0,76,7,19,.368,7,17,.412,0,2,.000,.553,0,0,,2,7,9,3,0,0,3,7,21
278,Derrick Jones Jr.\jonesde02,PF,24,CHI,21,1,378,54,92,.587,7,23,.304,47,69,.681,.625,28,34,.824,29,46,75,12,11,21,11,50,143
279,Herb Jones\joneshe01,C,23,NOP,23,14,607,61,134,.455,7,21,.333,54,113,.478,.481,19,24,.792,29,44,73,38,34,18,26,72,148
280,T.J. McConnell\mccontj01,PG,29,IND,24,6,581,91,181,.503,7,25,.280,84,156,.538,.522,12,15,.800,19,61,80,115,25,9,28,43,201
281,Sam Merrill\merrisa01,SG,25,MEM,6,0,58,8,24,.333,7,23,.304,1,1,1.000,.479,2,4,.500,1,6,7,4,0,0,2,3,25
282,Dwight Powell\poweldw01,C,30,DAL,23,20,459,54,91,.593,7,19,.368,47,72,.653,.632,28,40,.700,45,59,104,26,12,13,15,55,143
283,Rajon Rondo\rondora01,PG,35,LAL,14,0,208,20,63,.317,7,25,.280,13,38,.342,.373,0,0,,8,26,34,50,11,3,23,20,47
284,Obi Toppin\toppiob01,PF,23,NYK,24,0,369,76,143,.531,7,38,.184,69,105,.657,.556,35,46,.761,28,61,89,23,9,15,22,36,194
285,Denzel Valentine\valende01,SG,28,CLE,15,0,97,10,36,.278,7,23,.304,3,13,.231,.375,0,0,,6,11,17,3,5,0,6,9,27
286,Yuta Watanabe\watanyu01,SF,27,TOR,5,0,84,10,26,.385,7,17,.412,3,9,.333,.519,3,6,.500,5,9,14,3,3,2,1,8,30
287,Coby White\whiteco01,PG,21,CHI,9,1,158,22,63,.349,7,31,.226,15,32,.469,.405,4,7,.571,1,22,23,12,1,1,8,15,55
288,Dalano Banton\bantoda01,SF,22,TOR,24,0,315,42,88,.477,6,18,.333,36,70,.514,.511,18,24,.750,16,42,58,40,10,5,26,35,108
289,Brandon Boston Jr.\bostobr01,SG,20,LAC,12,0,121,18,46,.391,6,16,.375,12,30,.400,.457,12,13,.923,1,11,12,4,5,3,9,8,54
290,Jimmy Butler\butleji01,SF,32,MIA,18,18,607,139,273,.509,6,31,.194,133,242,.550,.520,127,149,.852,29,75,104,94,39,5,35,29,411
291,Malachi Flynn\flynnma01,PG,23,TOR,17,0,139,17,50,.340,6,24,.250,11,26,.423,.400,3,5,.600,5,17,22,15,8,2,5,14,43
292,Alex Len\lenal01,C,28,SAC,16,3,261,36,71,.507,6,14,.429,30,57,.526,.549,18,27,.667,15,47,62,16,3,15,18,49,96
293,Paul Millsap\millspa01,PF,36,BRK,19,0,208,22,61,.361,6,23,.261,16,38,.421,.410,12,17,.706,20,48,68,18,4,7,9,39,62
294,Semi Ojeleye\ojelese01,PF,27,MIL,11,0,218,12,47,.255,6,28,.214,6,19,.316,.319,3,5,.600,21,19,40,4,4,5,5,17,33
295,Lamar Stevens\stevela01,PF,24,CLE,15,0,158,17,46,.370,6,16,.375,11,30,.367,.435,4,7,.571,10,14,24,4,4,4,6,18,44
296,Aaron Wiggins\wiggiaa01,SG,23,OKC,9,1,130,8,18,.444,6,16,.375,2,2,1.000,.611,4,7,.571,1,13,14,10,3,1,7,15,26
297,Luka Garza\garzalu01,C,23,DET,14,2,140,18,43,.419,5,15,.333,13,28,.464,.477,11,14,.786,14,17,31,7,6,1,5,24,52
298,Dwight Howard\howardw01,C,36,LAL,22,1,326,41,64,.641,5,7,.714,36,57,.632,.680,26,42,.619,33,86,119,10,18,15,21,41,113
299,Markus Howard\howarma02,SG,22,DEN,12,0,65,8,29,.276,5,21,.238,3,8,.375,.362,4,4,1.000,0,2,2,4,4,0,3,2,25
300,Andre Iguodala\iguodan01,SF,38,GSW,12,0,250,18,43,.419,5,23,.217,13,20,.650,.477,4,6,.667,8,34,42,45,9,10,9,12,45
301,James Johnson\johnsja01,PF,34,BRK,15,0,264,32,63,.508,5,14,.357,27,49,.551,.548,6,14,.429,14,40,54,23,6,7,9,38,75
302,Frank Kaminsky\kaminfr01,C,28,PHO,9,0,181,36,66,.545,5,15,.333,31,51,.608,.583,18,20,.900,11,30,41,13,8,7,5,14,95
303,Jusuf Nurkić\nurkiju01,C,27,POR,25,25,617,128,217,.590,5,20,.250,123,197,.624,.601,74,99,.747,62,192,254,55,28,14,47,73,335
304,Jabari Parker\parkeja01,PF,26,BOS,8,0,79,13,24,.542,5,9,.556,8,15,.533,.646,6,6,1.000,3,14,17,4,3,1,5,11,37
305,Isaiah Roby\robyis01,PF,23,OKC,12,1,160,31,59,.525,5,15,.333,26,44,.591,.568,14,17,.824,12,21,33,10,3,5,8,15,81
306,Dennis Smith Jr.\smithde03,PG,24,POR,14,2,232,29,71,.408,5,16,.313,24,55,.436,.444,17,25,.680,5,25,30,45,20,4,23,18,80
307,Cameron Thomas\thomaca02,SG,20,BRK,17,0,188,26,73,.356,5,31,.161,21,42,.500,.390,11,15,.733,3,20,23,12,6,3,4,6,68
308,Marvin Bagley III\baglema01,PF,22,SAC,9,0,160,22,44,.500,4,15,.267,18,29,.621,.545,11,16,.688,14,39,53,6,1,1,7,9,59
309,Goga Bitadze\bitadgo01,C,22,IND,16,0,138,14,49,.286,4,25,.160,10,24,.417,.327,11,17,.647,16,21,37,3,9,10,5,26,43
310,Jared Butler\butleja02,SG,21,UTA,14,0,65,8,28,.286,4,16,.250,4,12,.333,.357,4,7,.571,0,7,7,7,2,6,7,13,24
311,Josh Christopher\chrisjo01,SG,20,HOU,15,0,112,16,43,.372,4,11,.364,12,32,.375,.419,7,9,.778,4,11,15,12,6,0,10,9,43
312,Hamidou Diallo\diallha01,SG,23,DET,16,1,233,40,77,.519,4,15,.267,36,62,.581,.545,14,18,.778,15,30,45,11,10,7,11,27,98
313,Goran Dragić\dragigo01,PG,35,TOR,5,2,90,13,34,.382,4,14,.286,9,20,.450,.441,10,10,1.000,2,12,14,9,5,1,1,8,40
314,Jaxson Hayes\hayesja02,C,21,NOP,19,0,232,40,77,.519,4,11,.364,36,66,.545,.545,28,37,.757,24,38,62,5,5,12,12,30,112
315,Louis King\kinglo02,SF,22,SAC,3,0,49,7,21,.333,4,14,.286,3,7,.429,.429,6,7,.857,0,7,7,1,2,0,0,7,24
316,Saben Lee\leesa01,PG,22,DET,9,0,114,13,38,.342,4,18,.222,9,20,.450,.395,7,12,.583,1,14,15,14,9,2,6,6,37
317,Sandro Mamukelashvili\mamuksa01,PF,22,MIL,12,1,114,14,31,.452,4,11,.364,10,20,.500,.516,2,3,.667,14,14,28,6,0,1,3,6,34
318,Jordan McLaughlin\mclaujo01,PG,25,MIN,17,0,187,13,41,.317,4,19,.211,9,22,.409,.366,7,9,.778,3,13,16,38,10,0,11,7,37
319,Abdel Nader\naderab01,SF,28,PHO,14,0,145,12,35,.343,4,14,.286,8,21,.381,.400,6,10,.600,4,23,27,7,8,4,11,20,34
320,Joshua Primo\primojo01,SG,19,SAS,7,0,59,6,11,.545,4,8,.500,2,3,.667,.727,0,0,,1,5,6,4,3,4,0,4,16
321,Jay Scrubb\scrubja01,SG,21,LAC,7,0,48,11,26,.423,4,12,.333,7,14,.500,.500,1,2,.500,0,4,4,4,1,2,1,3,27
322,Killian Tillie\tilliki02,C,23,MEM,10,0,77,8,23,.348,4,13,.308,4,10,.400,.435,1,2,.500,5,3,8,2,4,5,3,9,21
323,Xavier Tillman Sr.\tillmxa01,PF,23,MEM,17,0,237,31,72,.431,4,21,.190,27,51,.529,.458,13,17,.765,19,33,52,23,19,7,11,16,79
324,Brad Wanamaker\wanambr01,PG,32,IND,14,0,171,16,46,.348,4,14,.286,12,32,.375,.391,15,17,.882,4,18,22,32,2,5,15,25,51
325,Santi Aldama\aldamsa01,PF,21,MEM,13,0,136,21,59,.356,3,26,.115,18,33,.545,.381,6,10,.600,14,23,37,12,2,3,4,13,51
326,Ignas Brazdeikis\brazdig01,SF,23,ORL,12,0,98,7,28,.250,3,17,.176,4,11,.364,.304,1,2,.500,5,12,17,6,3,0,3,12,18
327,Vlatko Čančar\cancavl01,PF,24,DEN,5,0,27,4,8,.500,3,3,1.000,1,5,.200,.688,3,4,.750,1,1,2,4,1,0,2,3,14
328,Jarrett Culver\culveja01,SG,22,MEM,8,0,65,14,26,.538,3,9,.333,11,17,.647,.596,4,8,.500,2,9,11,11,3,0,2,1,35
329,CJ Elleby\ellebcj01,SF,21,POR,13,0,69,9,21,.429,3,11,.273,6,10,.600,.500,0,0,,1,15,16,4,0,0,7,11,21
330,Anthony Gill\gillan01,PF,29,WAS,9,0,43,7,10,.700,3,3,1.000,4,7,.571,.850,5,6,.833,4,9,13,1,0,2,1,3,22
331,Théo Maledon\maledth01,PG,20,OKC,12,0,155,9,40,.225,3,26,.115,6,14,.429,.263,10,12,.833,5,16,21,12,4,1,14,10,31
332,Naji Marshall\marshna01,SF,24,NOP,18,0,206,19,59,.322,3,23,.130,16,36,.444,.347,25,29,.862,13,40,53,20,8,3,18,20,66
333,Josh Okogie\okogijo01,SG,23,MIN,16,5,248,14,44,.318,3,18,.167,11,26,.423,.352,10,20,.500,15,22,37,16,11,5,8,24,41
334,Davon Reed\reedda01,SG,26,DEN,2,0,37,3,5,.600,3,3,1.000,0,2,.000,.900,0,0,,1,4,5,5,3,1,1,2,9
335,Tomáš Satoranský\satorto01,SG,30,NOP,21,3,322,22,65,.338,3,14,.214,19,51,.373,.362,12,16,.750,13,31,44,43,7,0,15,27,59
336,Ish Smith\smithis01,PG,33,CHO,18,1,245,40,96,.417,3,6,.500,37,90,.411,.432,3,8,.375,2,21,23,44,8,4,16,13,86
337,Patrick Williams\willipa01,PF,20,CHI,5,5,125,13,23,.565,3,6,.500,10,17,.588,.630,4,4,1.000,1,10,11,3,3,2,2,9,33
338,Jose Alvarado\alvarjo01,PG,23,NOP,7,0,38,5,13,.385,2,5,.400,3,8,.375,.462,2,3,.667,2,3,5,9,3,0,0,3,14
339,Keljin Blevins\blevike01,SF,26,POR,3,0,14,2,4,.500,2,3,.667,0,1,.000,.750,0,0,,0,1,1,1,0,0,2,0,6
340,Kessler Edwards\edwarke02,SF,21,BRK,2,0,12,3,6,.500,2,4,.500,1,2,.500,.667,0,0,,1,2,3,0,0,0,1,0,8
341,Derrick Favors\favorde01,C,30,OKC,17,8,284,44,88,.500,2,8,.250,42,80,.525,.511,8,14,.571,25,60,85,7,8,3,5,20,98
342,Usman Garuba\garubus01,PF,19,HOU,7,0,45,5,14,.357,2,8,.250,3,6,.500,.429,0,0,,6,12,18,6,2,4,2,4,12
343,Montrezl Harrell\harremo01,C,28,WAS,25,3,665,147,225,.653,2,8,.250,145,217,.668,.658,94,125,.752,64,142,206,56,15,18,34,49,390
344,Isaiah Hartenstein\harteis01,C,23,LAC,24,0,374,74,114,.649,2,3,.667,72,111,.649,.658,25,42,.595,43,70,113,36,19,29,22,60,175
345,Juan Hernangómez\hernaju01,PF,26,BOS,13,0,56,4,18,.222,2,12,.167,2,6,.333,.278,4,5,.800,6,10,16,1,4,0,5,4,14
346,Willy Hernangómez\hernawi01,C,27,NOP,12,0,168,42,68,.618,2,2,1.000,40,66,.606,.632,18,25,.720,31,51,82,21,6,3,12,25,104
347,Solomon Hill\hillso01,PF,30,ATL,13,1,139,3,20,.150,2,13,.154,1,7,.143,.200,0,0,,6,17,23,12,4,2,1,16,8
348,Richaun Holmes\holmeri01,C,28,SAC,21,21,586,128,181,.707,2,4,.500,126,177,.712,.713,46,57,.807,58,144,202,29,6,21,31,66,304
349,Jalen Johnson\johnsja05,PF,20,ATL,7,0,19,5,10,.500,2,4,.500,3,6,.500,.600,2,2,1.000,0,5,5,0,0,0,0,0,14
350,Georgios Kalaitzakis\kalaige01,SF,23,MIL,9,0,48,5,11,.455,2,4,.500,3,7,.429,.545,4,9,.444,4,4,8,0,1,1,4,8,16
351,Jonathan Kuminga\kuminjo01,SF,19,GSW,15,0,113,20,46,.435,2,15,.133,18,31,.581,.457,9,15,.600,8,18,26,5,5,2,8,17,51
352,Jock Landale\landajo01,C,26,SAS,8,0,24,8,10,.800,2,3,.667,6,7,.857,.900,2,3,.667,2,0,2,2,0,1,1,1,20
353,Brook Lopez\lopezbr01,C,33,MIL,1,1,28,3,9,.333,2,4,.500,1,5,.200,.444,0,0,,2,3,5,0,1,3,0,3,8
354,Wesley Matthews\matthwe02,SG,35,MIL,2,0,27,2,5,.400,2,5,.400,0,0,,.600,0,2,.000,1,2,3,0,2,1,2,3,6
355,Rodney McGruder\mcgruro01,SG,30,DET,9,0,48,5,14,.357,2,8,.250,3,6,.500,.429,2,2,1.000,2,4,6,3,0,1,1,1,14
356,Moses Moody\moodymo01,SG,19,GSW,16,0,93,11,28,.393,2,15,.133,9,13,.692,.429,1,2,.500,1,10,11,3,1,2,1,4,25
357,Matt Thomas\thomama02,SG,27,CHI,8,0,49,5,19,.263,2,9,.222,3,10,.300,.316,0,0,,0,5,5,0,2,1,0,3,12
358,Isaiah Todd\toddis01,PF,20,WAS,4,0,11,2,6,.333,2,3,.667,0,3,.000,.500,1,2,.500,1,1,2,0,2,1,1,1,7
359,Paul Watson\watsopa01,SF,27,OKC,3,0,71,2,14,.143,2,12,.167,0,2,.000,.214,1,2,.500,2,9,11,3,0,3,2,4,7
360,Jarrett Allen\allenja01,C,23,CLE,22,22,736,157,221,.710,1,4,.250,156,217,.719,.713,65,96,.677,74,173,247,39,20,28,46,38,380
361,Deandre Ayton\aytonde01,C,23,PHO,18,18,556,132,215,.614,1,5,.200,131,210,.624,.616,29,47,.617,54,145,199,27,14,13,32,42,294
362,Keita Bates-Diop\bateske01,SF,26,SAS,17,4,236,24,53,.453,1,11,.091,23,42,.548,.462,9,11,.818,12,44,56,6,7,6,12,10,58
363,Leandro Bolmaro\bolmale01,SF,21,MIN,13,1,120,8,24,.333,1,7,.143,7,17,.412,.354,6,7,.857,11,16,27,6,2,0,8,15,23
364,James Bouknight\bouknja01,SG,21,CHO,9,0,40,4,15,.267,1,3,.333,3,12,.250,.300,4,4,1.000,5,2,7,3,0,0,1,4,13
365,Willie Cauley-Stein\caulewi01,C,28,DAL,18,2,177,16,35,.457,1,2,.500,15,33,.455,.471,1,2,.500,13,25,38,9,6,3,7,17,34
366,Brandon Clarke\clarkbr01,PF,25,MEM,19,0,304,64,105,.610,1,11,.091,63,94,.670,.614,18,27,.667,33,50,83,26,7,17,8,33,147
367,DeMarcus Cousins\couside01,C,31,MIL,3,0,44,7,18,.389,1,5,.200,6,13,.462,.417,10,12,.833,4,11,15,3,3,0,3,8,25
368,Gabriel Deck\deckga01,PF,26,OKC,6,0,45,6,12,.500,1,3,.333,5,9,.556,.542,0,0,,1,4,5,3,1,0,2,2,13
369,Sekou Doumbouya\doumbse01,PF,21,LAL,2,0,16,5,8,.625,1,2,.500,4,6,.667,.688,3,4,.750,2,4,6,0,3,2,2,1,14
370,Enes Freedom\kanteen01,C,29,BOS,14,0,174,22,50,.440,1,3,.333,21,47,.447,.450,15,18,.833,30,52,82,3,3,9,9,18,60
371,Damian Jones\jonesda03,C,26,SAC,10,0,84,12,17,.706,1,2,.500,11,15,.733,.735,7,11,.636,11,14,25,5,0,3,2,12,32
