Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
132,Mike Muscala\muscami01,C,30,OKC,17,0,248,46,101,.455,29,67,.433,17,34,.500,.599,24,30,.800,7,49,56,9,7,10,7,22,145
133,Al Horford\horfoal01,C,35,BOS,21,21,613,97,211,.460,28,92,.304,69,119,.580,.526,41,48,.854,33,139,172,71,17,35,23,48,263
134,P.J. Washington\washipj01,PF,23,CHO,14,3,351,54,116,.466,28,63,.444,26,53,.491,.586,16,23,.696,18,57,75,26,11,16,20,27,152
135,Giannis Antetokounmpo\antetgi01,PF,27,MIL,22,22,713,215,406,.530,27,90,.300,188,316,.595,.563,150,221,.679,42,218,260,128,23,37,71,65,607
136,Bryn Forbes\forbebr01,SG,28,SAS,23,0,332,62,132,.470,27,66,.409,35,66,.530,.572,13,16,.813,2,26,28,16,10,1,20,18,164
137,De'Aaron Fox\foxde01,PG,24,SAC,24,24,836,180,420,.429,27,103,.262,153,317,.483,.461,96,131,.733,13,76,89,132,32,12,71,67,483
138,Davion Mitchell\mitchda01,PG,23,SAC,24,0,614,87,233,.373,27,96,.281,60,137,.438,.431,17,26,.654,16,47,63,81,19,5,26,57,218
139,Svi Mykhailiuk\mykhasv01,SF,24,TOR,24,4,448,62,143,.434,27,81,.333,35,62,.565,.528,20,22,.909,16,47,63,27,19,2,16,31,171
140,Gabe Vincent\vincega01,PG,25,MIA,22,1,381,52,118,.441,27,72,.375,25,46,.543,.555,13,16,.813,11,24,35,49,14,2,26,44,144
141,Armoni Brooks\brookar01,SG,23,HOU,19,0,246,34,94,.362,26,78,.333,8,16,.500,.500,7,8,.875,5,22,27,14,11,3,4,24,101
142,R.J. Hampton\hamptrj01,SG,20,ORL,25,0,467,67,159,.421,26,64,.406,41,95,.432,.503,32,54,.593,8,68,76,57,13,4,42,36,192
143,Keldon Johnson\johnske04,SF,22,SAS,23,23,716,128,275,.465,26,64,.406,102,211,.483,.513,49,77,.636,26,121,147,44,22,4,32,39,331
144,Tyrese Maxey\maxeyty01,PG,21,PHI,23,23,815,148,318,.465,26,72,.361,122,246,.496,.506,74,83,.892,9,79,88,112,17,14,27,55,396
145,Jordan Nwora\nworajo01,SF,23,MIL,21,0,372,55,139,.396,26,72,.361,29,67,.433,.489,11,13,.846,11,57,68,24,5,9,25,21,147
146,Kristaps Porziņģis\porzikr01,PF,26,DAL,16,16,486,113,250,.452,26,88,.295,87,162,.537,.504,60,68,.882,37,95,132,34,14,26,23,36,312
147,Jalen Suggs\suggsja01,PG,20,ORL,21,21,583,87,257,.339,26,102,.255,61,155,.394,.389,58,76,.763,16,55,71,75,24,9,67,58,258
148,Reggie Bullock\bullore01,SF,30,DAL,22,6,514,46,135,.341,25,97,.258,21,38,.553,.433,5,8,.625,5,55,60,13,6,2,14,31,122
