"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Kevin Durant","OKC",81,3122,805,45,291,64,20,3,94,0.16097308488612835,0.20435393258426968,0.03937007874015748
"Monta Ellis","DAL",82,3023,430,1,183,38,1,0,49,0.12921348314606743,0.15074135090609556,0.004761904761904762
"DeMar DeRozan","TOR",79,3017,630,27,271,52,7,1,47,0.17034313725490197,0.19138418079096045,0.032407407407407406
"Carmelo Anthony","NYK",77,2982,541,41,195,39,10,2,62,0.11344770337576093,0.14089595375722544,0.02364066193853428
"John Wall","WAS",82,2980,394,17,168,43,2,0,39,0.11612021857923498,0.14558058925476602,0.0064516129032258064
"Nicolas Batum","POR",82,2956,203,2,71,15,6,0,28,0.08740068104426787,0.15010570824524314,0.014705882352941176
"Damian Lillard","POR",82,2937,426,41,158,24,10,2,34,0.11618257261410789,0.17873303167420815,0.017793594306049824
"LeBron James","MIA",77,2902,585,15,249,73,3,1,69,0.16459830176355322,0.2035977105478332,0.00974025974025974
"Paul George","IND",80,2898,463,34,157,33,12,4,62,0.11311914323962517,0.1592292089249493,0.023622047244094488
"DeAndre Jordan","LAC",82,2871,374,1,113,29,0,0,88,0.18864774624373956,0.18864774624373956,0
"Klay Thompson","GSW",81,2868,185,5,79,12,4,1,12,0.062452972159518436,0.09987357774968394,0.007434944237918215
"Blake Griffin","LAC",80,2864,674,0,282,71,0,0,93,0.17961783439490445,0.18479685452162517,0
"Kyle Lowry","TOR",79,2862,384,11,111,24,15,1,67,0.10668924640135478,0.1664167916041979,0.029182879377431907
"Stephen Curry","GSW",78,2846,348,30,88,26,22,7,58,0.07534246575342465,0.10602409638554217,0.03492063492063492
"Joakim Noah","CHI",80,2820,335,0,144,30,0,0,39,0.1575492341356674,0.15789473684210525,0
"Jeff Green","BOS",82,2805,356,9,162,37,3,0,26,0.12702078521939955,0.18,0.007518796992481203
"Gordon Hayward","UTA",77,2800,381,16,145,37,0,0,56,0.12719298245614036,0.1686046511627907,0
"Kevin Love","MIN",77,2797,632,19,214,35,15,2,90,0.14197148171109733,0.1954337899543379,0.02895752895752896
"Chandler Parsons","HOU",74,2783,221,0,101,27,6,1,15,0.10037523452157598,0.14225352112676057,0.016853932584269662
"Wesley Matthews","POR",82,2780,301,2,114,22,9,0,33,0.11081081081081082,0.19322033898305085,0.01730769230769231
"James Harden","HOU",73,2778,665,33,253,41,24,2,51,0.19249478804725503,0.2708779443254818,0.047524752475247525
"Lance Stephenson","IND",78,2752,197,1,89,29,0,0,24,0.0956989247311828,0.12973760932944606,0
"Josh Smith","DET",77,2730,301,0,140,43,2,0,29,0.1066066066066066,0.13145539906103287,0.00749063670411985
"Brandon Jennings","DET",80,2728,321,18,98,18,18,3,39,0.0943089430894309,0.12928759894459102,0.038135593220338986
"Trevor Ariza","WAS",77,2723,193,7,73,14,5,0,20,0.08505997818974918,0.15531914893617021,0.011185682326621925
"Thaddeus Young","PHI",79,2718,229,0,109,27,1,0,18,0.08052708638360176,0.1015843429636533,0.0034129692832764505
"Zach Randolph","MEM",79,2705,337,0,139,31,0,0,45,0.10643185298621746,0.10808709175738725,0
"Greg Monroe","DET",82,2690,367,0,177,41,0,0,27,0.15377932232841007,0.15391304347826087,0
"Goran Dragic","PHX",76,2668,416,26,144,34,4,0,62,0.12261806130903065,0.1592920353982301,0.013201320132013201
"Serge Ibaka","OKC",81,2666,199,0,95,19,0,0,14,0.09013282732447818,0.09557344064386318,0
"Marcin Gortat","WAS",81,2655,229,0,111,28,0,0,19,0.12026002166847237,0.12039045553145336,0
"Ricky Rubio","MIN",82,2638,283,1,94,18,3,0,52,0.1295060080106809,0.1533442088091354,0.022058823529411766
"Dirk Nowitzki","DAL",80,2628,376,33,121,27,8,2,54,0.09395484340859432,0.11657032755298652,0.023880597014925373
"Andre Drummond","DET",81,2619,328,0,144,26,0,0,34,0.16234498308906425,0.16271186440677965,0
"Kemba Walker","CHA",73,2614,337,18,108,15,2,0,56,0.0888529886914378,0.1188118811881188,0.0060790273556231
"Corey Brewer","MIN",81,2609,227,0,109,31,0,0,20,0.12316384180790961,0.16172106824925817,0
"Robin Lopez","POR",82,2604,242,0,104,19,0,0,27,0.14266117969821673,0.14285714285714285,0
"Tristan Thompson","CLE",82,2594,339,0,142,26,0,0,41,0.1619156214367161,0.16210045662100456,0
"Jimmy Butler","CHI",67,2591,338,0,145,21,5,1,28,0.18270401948842874,0.2512998266897747,0.020491803278688523
"Mike Dunleavy","CHI",82,2584,164,21,49,6,6,0,17,0.06682867557715674,0.09939148073022312,0.01818181818181818
"Joe Johnson","BKN",79,2575,195,11,64,16,1,1,36,0.06097560975609756,0.09667673716012085,0.0024752475247524753
"Jodie Meeks","LAL",77,2556,258,17,113,33,4,0,18,0.11987704918032786,0.198943661971831,0.00980392156862745
"Al Jefferson","CHA",73,2553,277,0,144,39,0,0,14,0.09723160027008777,0.09822646657571624,0
"Arron Afflalo","ORL",73,2552,336,21,123,27,12,4,34,0.1210762331838565,0.1524163568773234,0.03896103896103896
"Jeff Teague","ATL",79,2542,376,8,146,35,1,0,54,0.12760416666666666,0.15766738660907129,0.004424778761061947
"Chris Bosh","MIA",79,2531,272,3,129,24,1,0,16,0.12275731822474033,0.15357142857142858,0.0045662100456621
"Rudy Gay","SAC",73,2531,387,12,167,31,0,0,36,0.1269961977186312,0.14937388193202147,0
"Bradley Beal","WAS",73,2530,189,16,71,14,3,1,19,0.061258278145695365,0.08227114716106605,0.008695652173913044
"LaMarcus Aldridge","POR",69,2499,360,0,157,38,0,0,42,0.10181582360570687,0.10281597904387688,0
"Isaiah Thomas","SAC",72,2497,407,34,107,28,9,2,82,0.09813874788494077,0.1319358816276202,0.02425876010781671
"Kyrie Irving","CLE",71,2496,338,33,126,36,3,0,40,0.09699248120300752,0.12817904374364192,0.008645533141210375
"PJ Tucker","PHX",81,2490,201,0,67,16,3,1,38,0.10479041916167664,0.14105263157894737,0.015544041450777202
"Victor Oladipo","ORL",80,2486,318,2,140,25,1,0,29,0.13403041825095058,0.1696969696969697,0.004405286343612335
"Randy Foye","DEN",81,2485,184,23,61,10,3,0,21,0.0688912809472551,0.1425233644859813,0.005988023952095809
"Paul Millsap","ATL",74,2482,391,0,179,38,3,0,31,0.1528127623845508,0.1834016393442623,0.013953488372093023
"David West","IND",80,2472,251,1,96,19,0,0,39,0.09448818897637795,0.0959040959040959,0
"Spencer Hawes","CLE",80,2470,152,4,71,14,0,0,10,0.07553191489361702,0.11234177215189874,0
"Jose Calderon","DAL",81,2469,63,9,15,2,0,0,13,0.01971090670170828,0.044642857142857144,0
