"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Andre Iguodala","PHI",82,3269,521,9,216,40,6,0,51,0.1670428893905192,0.2033898305084746,0.02247191011235955
"Joe Johnson","ATL",79,3125,362,45,121,21,0,0,48,0.07960526315789473,0.10940325497287523,0
"O.J. Mayo","MEM",82,3120,281,37,88,19,3,0,39,0.06715867158671587,0.09034907597535935,0.007874015748031496
"Antawn Jamison","WAS",81,3096,452,3,203,51,6,1,40,0.13078848560700876,0.15934065934065933,0.018518518518518517
"Raymond Felton","CHA",82,3086,272,22,92,21,1,0,42,0.08051948051948052,0.09714889123548047,0.004807692307692308
"Tayshaun Prince","DET",82,3057,243,11,99,20,0,0,27,0.09008189262966333,0.10334029227557412,0
"LeBron James","CLE",81,3054,762,4,367,96,5,1,54,0.19703389830508475,0.24466666666666667,0.01288659793814433
"Dirk Nowitzki","DAL",81,3051,545,50,210,52,2,0,61,0.11936936936936937,0.13092269326683292,0.011627906976744186
"Dwyane Wade","MIA",79,3048,771,17,343,83,3,0,71,0.17282717282717283,0.19930273097036608,0.010676156583629894
"Paul Pierce","BOS",81,3036,554,7,216,46,6,0,71,0.16359616801768606,0.20630372492836677,0.01935483870967742
"LaMarcus Aldridge","POR",81,3004,334,0,155,33,0,0,29,0.11355311355311355,0.11593118922961855,0
"Chris Paul","NOH",78,3002,524,4,154,45,4,0,123,0.1154970760233918,0.12962962962962962,0.022222222222222223
"Derrick Rose","CHI",81,3000,250,1,117,35,0,0,25,0.09069767441860466,0.0960591133004926,0
"Pau Gasol","LAL",81,3000,439,0,182,38,0,0,57,0.15306980656013458,0.15332771693344566,0
