"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"James Harden","HOU",81,2981,824,38,308,45,27,5,73,0.1908831908831909,0.2614601018675722,0.04679376083188908
"Andrew Wiggins","MIN",82,2969,466,0,226,44,0,0,29,0.17134192570128887,0.18943839061190276,0
"Trevor Ariza","HOU",82,2930,143,1,59,9,5,2,11,0.06645898234683281,0.145679012345679,0.008960573476702509
"Damian Lillard","POR",82,2925,398,24,147,31,13,5,42,0.1078167115902965,0.16261061946902655,0.022413793103448276
"Chris Paul","LAC",82,2858,321,15,46,13,3,0,109,0.0406301824212272,0.053864168618266976,0.008522727272727272
"John Wall","WAS",79,2837,362,10,150,33,3,2,40,0.1191588785046729,0.14071294559099437,0.013761467889908258
"DeAndre Jordan","LAC",82,2821,471,0,139,38,0,0,117,0.2188976377952756,0.2202852614896989,0
"Eric Bledsoe","PHX",81,2800,441,26,180,51,2,0,50,0.1546304163126593,0.19933554817275748,0.0072992700729927005
"Joe Johnson","BKN",80,2791,176,5,50,10,2,0,38,0.04873477038425492,0.06868131868131869,0.0058997050147492625
"Kyrie Irving","CLE",75,2730,365,27,139,35,7,1,38,0.10855018587360594,0.14464099895941726,0.018229166666666668
"Monta Ellis","DAL",80,2699,303,14,109,22,1,0,45,0.07628294036061026,0.09420916162489196,0.0035087719298245615
"Tyreke Evans","NOP",79,2690,291,0,133,33,0,0,29,0.10513833992094862,0.128131021194605,0
"Marc Gasol","MEM",81,2687,440,0,193,50,1,0,51,0.15953947368421054,0.16110183639398998,0.05555555555555555
"Pau Gasol","CHI",78,2681,366,0,142,34,0,0,59,0.11260904044409199,0.11497975708502024,0
"Ben McLemore","SAC",82,2670,160,6,61,13,5,0,15,0.0746606334841629,0.125,0.012626262626262626
"Ty Lawson","DEN",75,2666,363,1,145,22,7,0,37,0.14393939393939395,0.17180094786729858,0.0330188679245283
"Goran Dragic","MIA",78,2640,234,7,95,27,0,0,32,0.08878504672897196,0.11713933415536375,0
"Gordon Hayward","UTA",76,2618,462,12,187,36,2,0,53,0.15241935483870966,0.20594713656387664,0.006024096385542169
"Stephen Curry","GSW",80,2613,337,30,96,24,17,5,49,0.07929824561403509,0.12516297262059975,0.025835866261398176
"Kentavious Caldwell-Pope","DET",82,2587,158,1,63,12,9,4,12,0.07003891050583658,0.10880829015544041,0.0200445434298441
"Markieff Morris","PHX",82,2581,232,2,105,27,1,1,23,0.0899830220713073,0.10510510510510511,0.00558659217877095
"Victor Oladipo","ORL",72,2573,320,3,136,19,1,0,31,0.11378737541528239,0.1424083769633508,0.004016064257028112
"Giannis Antetokounmpo","MIL",81,2541,347,0,155,37,0,0,37,0.17260579064587972,0.18149882903981265,0
"Kevin Love","CLE",75,2532,321,4,115,18,7,0,42,0.11553030303030302,0.1750380517503805,0.017543859649122806
"Nikola Vucevic","ORL",74,2529,218,0,102,27,0,0,21,0.07962529274004684,0.08,0
"Jimmy Butler","CHI",65,2514,463,8,199,29,4,1,38,0.1870967741935484,0.22384701912260968,0.02040816326530612
"LaMarcus Aldridge","POR",71,2512,362,8,165,36,0,0,30,0.10686528497409327,0.11466296038915914,0
"Andre Drummond","DET",82,2502,365,0,161,35,0,0,39,0.14811407543698252,0.14838709677419354,0
"Arron Afflalo","POR",78,2502,198,16,61,15,7,2,29,0.07272727272727272,0.10217755443886097,0.020710059171597635
"LeBron James","CLE",69,2494,528,13,236,62,3,0,49,0.16414835164835165,0.2118491921005386,0.008771929824561403
"Draymond Green","GSW",79,2490,200,0,85,22,2,0,23,0.10481927710843374,0.17034068136272545,0.006042296072507553
"Elfrid Payton","ORL",82,2489,214,0,96,19,1,0,19,0.12340966921119594,0.12920592193808883,0.023255813953488372
"Wilson Chandler","DEN",78,2471,142,1,62,17,6,2,10,0.06640625,0.10097719869706841,0.014634146341463415
"Anthony Davis","NOP",68,2455,461,18,210,53,0,0,38,0.15486725663716813,0.15625,0
"Jeff Green","MEM",78,2455,287,6,127,25,2,0,23,0.12044817927170869,0.16344916344916344,0.006802721088435374
"Klay Thompson","GSW",77,2455,255,9,105,19,6,1,20,0.07985611510791367,0.125,0.01090909090909091
"Marcin Gortat","WAS",82,2453,175,0,79,17,0,0,17,0.09438470728793309,0.09472422062350119,0
"Thaddeus Young","BKN",76,2434,200,0,91,14,0,0,16,0.08708133971291866,0.0978494623655914,0
"Avery Bradley","BOS",77,2428,100,7,33,7,4,0,11,0.03547459252157239,0.048034934497816595,0.011235955056179775
"Luol Deng","MIA",72,2421,251,0,104,13,0,0,28,0.11845102505694761,0.1580547112462006,0
"Kyle Korver","ATL",75,2418,118,17,13,4,13,3,23,0.0420032310177706,0.08125,0.02832244008714597
"Kyle Lowry","TOR",70,2415,312,6,117,22,10,4,36,0.11101398601398602,0.1566265060240964,0.02518891687657431
"JJ Redick","LAC",78,2409,203,34,44,5,19,7,22,0.06370070778564206,0.08477842003853564,0.04042553191489362
"Rudy Gay","SAC",68,2408,393,28,155,29,0,0,42,0.1247987117552335,0.15166340508806261,0
"Paul Millsap","ATL",73,2390,337,0,140,30,3,2,41,0.1373679154658982,0.16990291262135923,0.013824884792626729
"PJ Tucker","PHX",78,2383,143,1,54,10,0,0,22,0.084375,0.13917525773195877,0
"Solomon Hill","IND",82,2381,193,0,78,11,0,0,24,0.11126961483594865,0.15821501014198783,0
"Nicolas Batum","POR",71,2380,98,0,33,6,3,1,16,0.057233704292527825,0.10377358490566038,0.00964630225080386
"Khris Middleton","MIL",79,2378,156,10,58,13,3,0,17,0.06652126499454744,0.08978328173374613,0.01107011070110701
"Tobias Harris","ORL",68,2369,245,6,106,30,3,1,25,0.10613437195715676,0.13486005089058525,0.012448132780082987
"Mario Chalmers","MIA",80,2368,266,13,90,19,4,0,40,0.12737127371273713,0.18518518518518517,0.015873015873015872
"Blake Griffin","LAC",67,2356,427,0,188,45,2,0,46,0.1474010861132661,0.14896988906497624,0.07407407407407407
"Courtney Lee","MEM",77,2354,129,32,34,5,0,0,17,0.050595238095238096,0.07589285714285714,0
"Harrison Barnes","GSW",82,2318,150,0,73,13,1,0,7,0.10320781032078104,0.14570858283433133,0.004629629629629629
"Al Horford","ATL",76,2318,141,0,68,17,0,0,11,0.06692913385826772,0.06938775510204082,0
"Gerald Henderson","CHA",80,2315,217,2,96,19,0,0,21,0.1038961038961039,0.1218274111675127,0
"Danny Green","SAS",81,2311,127,25,24,4,8,1,18,0.04183006535947712,0.07973421926910298,0.017241379310344827
"Nerlens Noel","PHI",75,2311,230,0,99,20,0,0,26,0.13524590163934427,0.13524590163934427,0
"Zach Randolph","MEM",71,2304,298,0,138,33,0,0,28,0.133076181292189,0.13569321533923304,0
"Russell Westbrook","OKC",67,2302,654,22,252,44,12,1,69,0.15621301775147928,0.1811646297627606,0.04013377926421405
"Josh Smith","HOU",83,2301,255,0,102,19,0,0,35,0.09532710280373832,0.12114014251781473,0
"Trey Burke","UTA",76,2288,145,8,53,9,0,0,20,0.05052430886558627,0.08042488619119878,0
"Tyson Chandler","DAL",75,2286,257,0,111,23,0,0,31,0.21022727272727273,0.21022727272727273,0
"Dirk Nowitzki","DAL",77,2282,289,17,79,13,5,1,57,0.07420494699646643,0.09250585480093677,0.017985611510791366
"Derrick Favors","UTA",74,2280,332,0,169,34,0,0,14,0.16049382716049382,0.16141356255969436,0
"Matt Barnes","LAC",76,2271,95,0,47,6,1,1,3,0.07218045112781955,0.16262975778546712,0.0026595744680851063
"Reggie Jackson","DET",77,2268,218,9,85,23,1,0,30,0.08120868744098206,0.10403916768665851,0.004132231404958678
"Evan Turner","BOS",82,2260,141,0,51,9,0,0,24,0.06472081218274112,0.07623318385650224,0
"Wesley Johnson","LAL",76,2245,112,3,48,10,3,1,8,0.06976744186046512,0.10212765957446808,0.011494252873563218
"Jarrett Jack","BKN",80,2241,227,11,76,13,2,0,36,0.08843537414965986,0.10354223433242507,0.013513513513513514
"Jeff Teague","ATL",73,2228,319,10,121,17,0,0,42,0.12209889001009082,0.15433673469387754,0
"Tim Duncan","SAS",77,2227,311,0,151,31,0,0,20,0.16080937167199147,0.16201716738197425,0
"Mike Conley","MEM",70,2225,249,18,89,20,3,1,34,0.09653725078698845,0.13204747774480713,0.010752688172043012
"Dion Waiters","OKC",80,2208,172,0,76,17,1,0,17,0.07654075546719682,0.10013175230566534,0.004048582995951417
"Tristan Thompson","CLE",82,2194,248,0,100,18,0,0,33,0.17543859649122806,0.17543859649122806,0
"Gorgui Dieng","MIN",73,2193,244,0,109,20,0,0,23,0.18136439267886856,0.18319327731092436,0
"DeMarre Carroll","ATL",70,2189,181,0,72,18,5,0,20,0.10814606741573034,0.17866004962779156,0.016181229773462782
"Chandler Parsons","DAL",66,2186,193,0,85,23,8,3,14,0.10379464285714286,0.15625,0.022727272727272728
"Rudy Gobert","UTA",82,2158,273,0,129,23,0,0,19,0.24202626641651032,0.24293785310734464,0
"Patrick Patterson","TOR",81,2156,80,0,30,6,2,0,10,0.0570409982174688,0.10869565217391304,0.007017543859649123
"Michael Carter-Williams","MIL",66,2150,291,2,117,23,2,0,36,0.11724137931034483,0.13604651162790699,0.012903225806451613
"Greg Monroe","DET",69,2137,336,0,164,33,0,0,21,0.16666666666666666,0.16666666666666666,0
"Enes Kanter","OKC",75,2136,234,0,115,31,0,0,18,0.11363636363636363,0.1189245087900724,0
"Kemba Walker","CHA",62,2119,283,18,110,33,2,0,36,0.10566037735849057,0.14138817480719795,0.0070921985815602835
"Serge Ibaka","OKC",64,2116,110,1,47,7,2,0,9,0.059178743961352656,0.07568438003220612,0.00966183574879227
"Deron Williams","BKN",68,2114,241,18,87,11,6,1,22,0.10915492957746478,0.14262295081967213,0.024793388429752067
"Bradley Beal","WAS",63,2108,166,19,56,12,1,0,22,0.06361607142857142,0.0880503144654088,0.0038461538461538464
"Brook Lopez","BKN",72,2101,274,1,138,47,0,0,22,0.1280148423005566,0.12921348314606743,0
