"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Kevon Looney","GSW",9,212,436,63,28,43,0.6511627906976745,0,0,0,0,7,44,12,0,0,0.7857142857142857,0.9565217391304348,0,0,0.5405953488372093,0.6511627906976745,0.65625,10,3,0.06976744186046512,0,0,10.183299389002036
"Domantas Sabonis","SAC",7,212,442,103,37,63,0.5873015873015873,1,8,0.125,0.125,26,50,24,3,0,0.6756756756756757,0.7575757575757576,1,0.11267605633802817,0.5299288732394366,0.5422535211267606,0.5786516853932584,8,5,0.07936507936507936,0,0,21.384928716904277
"Jalen McDaniels","CHA",8,210,440,87,17,46,0.3695652173913043,14,28,0.5,0.5,11,22,12,42,0,0.6470588235294118,0.7857142857142857,1,0.3783783783783784,0.5647885135135136,0.5135135135135135,0.54375,6,8,0.17391304347826086,0,0,17.857142857142858
"Clint Capela","ATL",8,210,449,67,30,54,0.5555555555555556,0,0,0,0,7,46,14,0,0,0.7666666666666667,1,0,0,0.5900296296296296,0.5555555555555556,0.5677966101694916,14,2,0.037037037037037035,0,0,12.815533980582524
"Tre Mann","OKC",8,208,436,95,25,49,0.5102040816326531,12,43,0.27906976744186046,0.2857142857142857,9,16,34,30,6,0.32,0.3333333333333333,0.8333333333333334,0.4673913043478261,0.5029043956043956,0.4673913043478261,0.4895833333333333,2,4,0.08163265306122448,1,0.023255813953488372,20.570264765784113
"Gabe Vincent","MIA",9,208,414,65,15,32,0.46875,8,31,0.25806451612903225,0.25806451612903225,11,16,14,15,9,0.5333333333333333,0.5333333333333333,0.625,0.49206349206349204,0.48884603174603175,0.42857142857142855,0.47101449275362317,0,2,0.0625,1,0.03225806451612903,17.849462365591396
"Joel Embiid","PHI",6,207,403,163,52,89,0.5842696629213483,6,20,0.3,0.3157894736842105,41,70,34,15,3,0.6730769230769231,0.7,0.8333333333333334,0.1834862385321101,0.5375087962962963,0.5596330275229358,0.6221374045801527,4,9,0.10112359550561797,0,0,34.93150684931507
"Norman Powell","LAC",8,207,425,85,24,50,0.48,8,33,0.24242424242424243,0.24242424242424243,13,36,12,24,0,0.75,0.75,1,0.39759036144578314,0.5241909638554216,0.43373493975903615,0.46195652173913043,0,6,0.12,2,0.06060606060606061,23.789473684210527
"Keegan Murray","SAC",6,205,432,94,20,31,0.6451612903225806,16,43,0.37209302325581395,0.37209302325581395,6,30,10,45,3,0.75,0.75,0.9375,0.581081081081081,0.5360905405405405,0.5945945945945946,0.6118421052631579,0,1,0.03225806451612903,1,0.023255813953488372,18.94736842105263
"Scottie Barnes","TOR",7,204,414,108,31,57,0.543859649122807,12,25,0.48,0.5217391304347826,10,36,26,27,9,0.5806451612903226,0.5806451612903226,0.75,0.3048780487804878,0.5284831249999999,0.5975609756097561,0.6206896551724138,0,3,0.05263157894736842,0,0,21.186440677966104
"Michael Porter Jr.","DEN",7,203,427,122,16,38,0.42105263157894735,26,53,0.49056603773584906,0.49056603773584906,12,20,12,75,3,0.625,0.7692307692307693,0.9615384615384616,0.5824175824175825,0.5390851648351649,0.6043956043956044,0.6224489795918368,6,5,0.13157894736842105,1,0.018867924528301886,21.855670103092784
"Tyus Jones","MEM",8,203,422,95,25,50,0.5,14,38,0.3684210526315789,0.3684210526315789,3,10,40,27,15,0.2,0.2,0.6428571428571429,0.4318181818181818,0.4837806818181818,0.5227272727272727,0.5163043478260869,0,2,0.04,0,0,21.38364779874214
"Jalen Smith","IND",8,202,416,95,28,51,0.5490196078431373,8,28,0.2857142857142857,0.2857142857142857,15,46,10,24,0,0.8214285714285714,0.9583333333333334,1,0.35443037974683544,0.5464839743589743,0.5063291139240507,0.5397727272727273,8,5,0.09803921568627451,0,0,20.206185567010312
"Zach LaVine","CHI",6,198,408,129,22,55,0.4,20,46,0.43478260869565216,0.43478260869565216,25,20,24,42,18,0.45454545454545453,0.47619047619047616,0.7,0.45544554455445546,0.551307,0.5148514851485149,0.5669642857142857,2,10,0.18181818181818182,1,0.021739130434782608,26.855895196506548
"Cameron Johnson","PHX",7,197,400,104,15,31,0.4838709677419355,22,50,0.44,0.44,8,26,4,63,3,0.8666666666666667,0.9285714285714286,0.9545454545454546,0.6172839506172839,0.5521901234567902,0.5925925925925926,0.6046511627906976,2,2,0.06451612903225806,0,0,19.90950226244344
"Luke Kennard","LAC",8,196,387,70,13,25,0.52,14,30,0.4666666666666667,0.4666666666666667,2,18,8,36,6,0.6923076923076923,0.75,0.8571428571428571,0.5454545454545454,0.5038879629629629,0.6181818181818182,0.625,2,4,0.16,1,0.03333333333333333,16.028708133971293
"Will Barton","WAS",8,196,401,76,16,37,0.43243243243243246,12,28,0.42857142857142855,0.42857142857142855,8,8,24,24,12,0.25,0.25,0.6666666666666666,0.4307692307692308,0.48569921875,0.5230769230769231,0.5507246376811594,0,4,0.10810810810810811,2,0.07142857142857142,17.713004484304932
"Mason Plumlee","CHA",8,196,409,67,25,41,0.6097560975609756,0,0,0,0,17,30,20,0,0,0.6,0.7894736842105263,0,0,0.5816,0.6097560975609756,0.6090909090909091,12,3,0.07317073170731707,0,0,14.90280777537797
"Patrick Beverley","LAL",7,194,408,32,4,10,0.4,4,21,0.19047619047619047,0.19047619047619047,12,0,8,9,3,0,0,0.75,0.6774193548387096,0.5048935483870968,0.3225806451612903,0.43243243243243246,0,2,0.2,0,0,9.803921568627452
"Rui Hachimura","WAS",8,193,391,88,31,61,0.5081967213114754,4,16,0.25,0.25,14,26,36,12,0,0.41935483870967744,0.5,1,0.2077922077922078,0.508401948051948,0.4805194805194805,0.5238095238095238,10,2,0.03278688524590164,0,0,21.96796338672769
"Jamal Murray","DEN",7,193,395,107,28,65,0.4307692307692308,14,36,0.3888888888888889,0.3888888888888889,9,18,38,18,24,0.32142857142857145,0.32142857142857145,0.42857142857142855,0.3564356435643564,0.500069801980198,0.48514851485148514,0.49528301886792453,0,2,0.03076923076923077,0,0,27.25225225225225
"Bol Bol","ORL",9,192,391,93,35,48,0.7291666666666666,3,10,0.3,0.3,14,34,36,9,0,0.4857142857142857,0.68,1,0.1724137931034483,0.5907663793103448,0.6810344827586207,0.7265625,20,2,0.041666666666666664,1,0.1,17.954545454545453
"Ben Simmons","BKN",6,191,391,37,15,33,0.45454545454545453,0,1,0,0,7,24,6,0,0,0.8,0.8,0,0.029411764705882353,0.5304985294117648,0.4411764705882353,0.45121951219512196,0,2,0.06060606060606061,0,0,12.993039443155453
"Alperen Sengun","HOU",7,190,392,117,39,63,0.6190476190476191,3,11,0.2727272727272727,0.3,30,26,52,9,0,0.3333333333333333,0.40625,1,0.14864864864864866,0.5069123287671233,0.5878378378378378,0.6428571428571429,14,5,0.07936507936507936,0,0,22.489082969432314
"Derrick White","BOS",7,189,385,61,10,22,0.45454545454545453,11,26,0.4230769230769231,0.4230769230769231,8,14,6,30,3,0.7,0.7,0.9090909090909091,0.5416666666666666,0.5387864583333334,0.5520833333333334,0.5865384615384616,0,5,0.22727272727272727,0,0,13.83495145631068
"Collin Sexton","UTA",9,188,397,119,29,56,0.5178571428571429,10,28,0.35714285714285715,0.35714285714285715,31,22,36,18,12,0.3793103448275862,0.39285714285714285,0.6,0.3333333333333333,0.5362333333333333,0.5238095238095238,0.595,2,9,0.16071428571428573,0,0,25.330396475770925
"Al Horford","BOS",6,187,379,52,9,15,0.6,11,29,0.3793103448275862,0.3793103448275862,1,12,6,33,0,0.6666666666666666,0.6666666666666666,1,0.6590909090909091,0.5764284090909091,0.5795454545454546,0.5909090909090909,0,0,0,0,0,12.285012285012284
"Maxi Kleber","DAL",7,187,371,37,5,8,0.625,6,19,0.3157894736842105,0.3157894736842105,9,6,4,18,0,0.6,1,1,0.7037037037037037,0.5728166666666666,0.5185185185185185,0.5606060606060606,4,2,0.25,0,0,9.405940594059405
"John Konchar","MEM",7,186,385,55,9,15,0.6,12,30,0.4,0.4,1,16,2,36,0,0.8888888888888888,0.8888888888888888,1,0.6666666666666666,0.5835133333333333,0.6,0.5978260869565217,0,2,0.13333333333333333,0,0,11.11111111111111
"Naji Marshall","NOP",7,185,380,73,20,35,0.5714285714285714,7,19,0.3684210526315789,0.3888888888888889,12,18,22,21,0,0.45,0.5,1,0.35185185185185186,0.5434471698113208,0.5648148148148148,0.6101694915254238,4,2,0.05714285714285714,0,0,16.159250585480095
"De'Aaron Fox","SAC",6,185,394,147,45,73,0.6164383561643836,12,31,0.3870967741935484,0.3870967741935484,21,20,70,33,3,0.2222222222222222,0.2222222222222222,0.9166666666666666,0.2980769230769231,0.4975932692307692,0.6057692307692307,0.6447368421052632,0,3,0.0410958904109589,0,0,31.42201834862385
"Grayson Allen","MIL",7,182,382,61,7,19,0.3684210526315789,11,35,0.3142857142857143,0.3142857142857143,14,10,4,27,6,0.7142857142857143,0.8333333333333334,0.8181818181818182,0.6481481481481481,0.5517055555555556,0.4351851851851852,0.4745762711864407,2,4,0.21052631578947367,0,0,15.596330275229356
