"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Pascal Siakam","TOR",5,216,404,113,38,77,0.4935064935064935,4,13,0.3076923076923077,0.3076923076923077,25,22,54,12,0,0.2894736842105263,0.2894736842105263,1,0.14444444444444443,0.46821,0.4888888888888889,0.5485436893203883,0,4,0.05194805194805195,0,0,25.11111111111111
"Dorian Finney-Smith","DAL",5,214,401,61,8,14,0.5714285714285714,13,34,0.38235294117647056,0.38235294117647056,6,12,4,36,3,0.75,0.8571428571428571,0.9230769230769231,0.7083333333333334,0.56438125,0.5729166666666666,0.5980392156862745,2,3,0.21428571428571427,0,0,12.44343891402715
"Reggie Bullock","DAL",5,210,398,58,4,5,0.8,15,36,0.4166666666666667,0.4166666666666667,5,8,0,45,0,1,1,1,0.8780487804878049,0.5609768292682927,0.6463414634146342,0.6666666666666666,0,1,0.2,0,0,9.953703703703702
"Tyrese Maxey","PHI",5,208,392,103,29,51,0.5686274509803921,10,25,0.4,0.4,15,28,30,24,6,0.4827586206896552,0.5,0.8,0.32894736842105265,0.5155861842105264,0.5789473684210527,0.6234567901234568,2,1,0.0196078431372549,0,0,20.45977011494253
"Tobias Harris","PHI",5,208,384,88,23,40,0.575,10,22,0.45454545454545453,0.45454545454545453,12,22,24,27,3,0.4782608695652174,0.4782608695652174,0.9,0.3548387096774194,0.5149661290322581,0.6129032258064516,0.6376811594202898,0,3,0.075,0,0,18.501170960187356
"Mikal Bridges","PHX",5,207,400,86,25,44,0.5681818181818182,6,13,0.46153846153846156,0.46153846153846156,18,46,4,18,0,0.92,0.9583333333333334,1,0.22807017543859648,0.5432307017543859,0.5964912280701754,0.6515151515151515,2,3,0.06818181818181818,1,0.07692307692307693,16.05504587155963
"DeMar DeRozan","CHI",5,203,423,104,39,86,0.45348837209302323,0,9,0,0,26,22,56,0,0,0.28205128205128205,0.28205128205128205,0,0.09473684210526316,0.46219157894736845,0.4105263157894737,0.47706422018348627,0,8,0.09302325581395349,0,0,25.862068965517242
"James Harden","PHI",5,201,375,92,14,38,0.3684210526315789,11,29,0.3793103448275862,0.3793103448275862,31,4,24,12,21,0.14285714285714285,0.14285714285714285,0.36363636363636365,0.43283582089552236,0.5182216417910448,0.4552238805970149,0.5542168674698795,0,10,0.2631578947368421,1,0.034482758620689655,24.16267942583732
"CJ McCollum","NOP",5,200,390,117,26,63,0.4126984126984127,16,46,0.34782608695652173,0.34782608695652173,17,14,38,30,18,0.2692307692307692,0.28,0.625,0.42201834862385323,0.4855550458715596,0.45871559633027525,0.4834710743801653,2,5,0.07936507936507936,0,0,28.29787234042553
"Joel Embiid","PHI",5,198,370,124,36,65,0.5538461538461539,4,17,0.23529411764705882,0.23529411764705882,40,44,28,12,0,0.6111111111111112,0.6470588235294118,1,0.2073170731707317,0.5031890243902439,0.5121951219512195,0.6019417475728155,4,6,0.09230769230769231,0,0,29.75609756097561
"Brandon Ingram","NOP",5,192,374,141,39,78,0.5,9,21,0.42857142857142855,0.42857142857142855,36,36,42,24,3,0.46153846153846156,0.47368421052631576,0.8888888888888888,0.21212121212121213,0.4501368686868687,0.5303030303030303,0.594017094017094,2,4,0.05128205128205128,0,0,29.490022172949004
"Donovan Mitchell","UTA",5,191,361,130,36,75,0.48,8,41,0.1951219512195122,0.1951219512195122,34,16,56,9,15,0.2222222222222222,0.23529411764705882,0.375,0.35344827586206895,0.4946612068965517,0.41379310344827586,0.48863636363636365,4,4,0.05333333333333334,0,0,35.221674876847295
"Jalen Brunson","DAL",5,190,356,143,42,80,0.525,10,29,0.3448275862068966,0.3448275862068966,29,6,78,15,15,0.07142857142857142,0.07142857142857142,0.5,0.26605504587155965,0.46886009174311927,0.5229357798165137,0.5826446280991735,0,3,0.0375,0,0,32.21649484536083
"OG Anunoby","TOR",5,187,350,99,24,38,0.631578947368421,13,37,0.35135135135135137,0.3611111111111111,12,18,30,36,3,0.375,0.391304347826087,0.9230769230769231,0.49333333333333335,0.5341148648648649,0.58,0.6036585365853658,2,5,0.13157894736842105,1,0.02702702702702703,23.958333333333336
"Herbert Jones","NOP",5,187,360,48,12,25,0.48,4,10,0.4,0.4,12,16,8,12,0,0.6666666666666666,0.7272727272727273,1,0.2857142857142857,0.5177614285714286,0.5142857142857142,0.5714285714285714,2,2,0.08,0,0,11.085450346420323
"Trae Young","ATL",5,186,365,77,15,31,0.4838709677419355,7,38,0.18421052631578946,0.18421052631578946,26,4,26,12,9,0.13333333333333333,0.14285714285714285,0.5714285714285714,0.5507246376811594,0.504336231884058,0.3695652173913043,0.4578313253012048,2,2,0.06451612903225806,0,0,27.764127764127764
"Anthony Edwards","MIN",5,186,392,121,21,39,0.5384615384615384,19,47,0.40425531914893614,0.40425531914893614,22,14,28,36,21,0.3333333333333333,0.3333333333333333,0.631578947368421,0.5465116279069767,0.5468168604651162,0.5755813953488372,0.6173469387755102,0,1,0.02564102564102564,0,0,25.874125874125873
"Chris Paul","PHX",5,185,358,101,30,51,0.5882352941176471,7,25,0.28,0.2916666666666667,20,6,54,0,21,0.1,0.10344827586206896,0,0.32894736842105265,0.4604586666666666,0.5328947368421053,0.5872093023255814,2,1,0.0196078431372549,0,0,23.83419689119171
"Desmond Bane","MEM",5,185,393,118,17,35,0.4857142857142857,22,47,0.46808510638297873,0.46808510638297873,18,24,10,66,0,0.7058823529411765,0.7058823529411765,1,0.573170731707317,0.5480628048780488,0.6097560975609756,0.6388888888888888,0,8,0.22857142857142856,2,0.0425531914893617,20.87912087912088
"Ja Morant","MEM",5,184,386,112,31,72,0.4305555555555556,4,15,0.26666666666666666,0.26666666666666666,38,10,52,3,9,0.16129032258064516,0.1724137931034483,0.25,0.1724137931034483,0.574216091954023,0.42528735632183906,0.5045045045045045,4,9,0.125,0,0,29.01785714285714
"Karl-Anthony Towns","MIN",5,181,381,113,23,42,0.5476190476190477,10,19,0.5263157894736842,0.5555555555555556,37,28,18,24,6,0.6086956521739131,0.7368421052631579,0.8,0.3114754098360656,0.5741433333333333,0.6229508196721312,0.7151898734177216,8,7,0.16666666666666666,0,0,24.70308788598575
"Nikola Vucevic","CHI",5,181,374,97,27,49,0.5510204081632653,13,42,0.30952380952380953,0.30952380952380953,4,40,14,39,0,0.7407407407407407,0.8,1,0.46153846153846156,0.5075664835164835,0.510989010989011,0.521505376344086,4,2,0.04081632653061224,0,0,24.69437652811736
"Jrue Holiday","MIL",5,180,372,82,23,52,0.4423076923076923,10,29,0.3448275862068966,0.37037037037037035,6,12,34,18,12,0.2608695652173913,0.2727272727272727,0.6,0.35802469135802467,0.5112848101265823,0.4691358024691358,0.4823529411764706,2,1,0.019230769230769232,0,0,25.67237163814181
"Bojan Bogdanovic","UTA",5,179,334,89,24,39,0.6153846153846154,8,27,0.2962962962962963,0.2962962962962963,17,28,20,24,0,0.5833333333333334,0.5833333333333334,1,0.4090909090909091,0.4895621212121213,0.5454545454545454,0.5866666666666667,0,2,0.05128205128205128,0,0,22.546419098143236
"Kevin Durant","BKN",4,176,347,105,25,62,0.4032258064516129,7,21,0.3333333333333333,0.3333333333333333,34,20,30,9,12,0.4,0.43478260869565216,0.42857142857142855,0.25301204819277107,0.45992891566265065,0.42771084337349397,0.5198019801980198,4,7,0.11290322580645161,0,0,31.362467866323907
"De'Andre Hunter","ATL",5,175,337,106,27,44,0.6136363636363636,12,26,0.46153846153846156,0.46153846153846156,16,30,24,33,3,0.5555555555555556,0.5555555555555556,0.9166666666666666,0.37142857142857144,0.5095314285714286,0.6428571428571429,0.6708860759493671,0,1,0.022727272727272728,1,0.038461538461538464,24.390243902439025
